Name,Rating,Reviews,Category,Address,Website,Phone,Url
"The Bristal Assisted Living at York Avenue","4.8","26","Assisted living facility","1622 York Ave, New York, NY 10028, United States","https://thebristal.com/find-a-community/manhattan-ny/york-avenue/","+1 646-370-6446","https://www.google.com/maps/place/The+Bristal+Assisted+Living+at+York+Avenue/data=!4m7!3m6!1s0x89c259cc3992cdb5:0x9ec0f715b22dc01b!8m2!3d40.7756242!4d-73.9470587!16s%2Fg%2F11q8g4141l!19sChIJtc2SOcxZwokRG8AtshX3wJ4?authuser=0&hl=en&rclk=1"
"1880 Boston Road Apartments by RiverSpring Living","5.0","1","Low income housing program","1880 Boston Rd, Bronx, NY 10460, United States","https://www.riverspringliving.org/1880-boston-road/","","https://www.google.com/maps/place/1880+Boston+Road+Apartments+by+RiverSpring+Living/data=!4m7!3m6!1s0x89c2f58f5e2f6fbf:0x6862849ea0a85bee!8m2!3d40.839212!4d-73.882608!16s%2Fg%2F11j7k5c_qh!19sChIJv28vXo_1wokR7luooJ6EYmg?authuser=0&hl=en&rclk=1"
"Little Neck Care Center","4.0","139","Nursing home","260-19 Nassau Blvd, Little Neck, NY 11362, United States","https://www.littlenecknursing.com/","+1 718-423-6400","https://www.google.com/maps/place/Little+Neck+Care+Center/data=!4m7!3m6!1s0x89c289e78f728a79:0x3399506be82c4fc0!8m2!3d40.7661686!4d-73.7242958!16s%2Fg%2F1td7d230!19sChIJeYpyj-eJwokRwE8s6GtQmTM?authuser=0&hl=en&rclk=1"
"Glengariff Rehabilitation and Healthcare Center","4.0","226","Nursing home","141 Dosoris Ln, Glen Cove, NY 11542, United States","http://glengariffrehab.com/","+1 516-676-1100","https://www.google.com/maps/place/Glengariff+Rehabilitation+and+Healthcare+Center/data=!4m7!3m6!1s0x89c2856ab3031f13:0x7661bcb02f4e6748!8m2!3d40.8826743!4d-73.6362891!16s%2Fg%2F1thd7lyy!19sChIJEx8Ds2qFwokRSGdOL7C8YXY?authuser=0&hl=en&rclk=1"
"Queens Nassau Rehabilitation & Nursing Center","3.7","41","Rehabilitation center","520 Beach 19th St, Queens, NY 11691, United States","http://www.queensnassaurehab.com/","+1 718-471-7400","https://www.google.com/maps/place/Queens+Nassau+Rehabilitation+%26+Nursing+Center/data=!4m7!3m6!1s0x89c268ac1a8bb94d:0x63c4b5a9ea69b76f!8m2!3d40.5999648!4d-73.7518863!16s%2Fg%2F11c1_wf0z9!19sChIJTbmLGqxowokRb7dp6qm1xGM?authuser=0&hl=en&rclk=1"
"The Grand Pavilion For Rehabilitation And Nursing At Rockville Centre","4.2","244","Nursing home","41 Maine Ave, Rockville Centre, NY 11570, United States","http://thegrandpavilionrc.com/","+1 516-536-7730","https://www.google.com/maps/place/The+Grand+Pavilion+For+Rehabilitation+And+Nursing+At+Rockville+Centre/data=!4m7!3m6!1s0x89c27b548beb89bd:0x5c0aea554be81ffe!8m2!3d40.6643557!4d-73.6506777!16s%2Fg%2F1q5brc4bw!19sChIJvYnri1R7wokR_h_oS1XqClw?authuser=0&hl=en&rclk=1"
"Parker Jewish Institute for Health Care and Rehabilitation","2.7","171","Adult day care center","271-11 76th Ave, Queens, NY 11040, United States","http://www.parkerinstitute.org/","+1 718-289-2100","https://www.google.com/maps/place/Parker+Jewish+Institute+for+Health+Care+and+Rehabilitation/data=!4m7!3m6!1s0x89c2627f497e78cd:0x746da5daae1426b9!8m2!3d40.7555476!4d-73.7074942!16s%2Fg%2F1tdy0tb3!19sChIJzXh-SX9iwokRuSYUrtqlbXQ?authuser=0&hl=en&rclk=1"
"Sunharbor Manor","3.3","96","Nursing home","255 Warner Ave, Roslyn Heights, NY 11577, United States","https://www.sunharbormanor.com/","+1 516-621-5400","https://www.google.com/maps/place/Sunharbor+Manor/data=!4m7!3m6!1s0x89c2862e937c597b:0x8e51a7947f84a212!8m2!3d40.792551!4d-73.645743!16s%2Fg%2F1tgc0p_q!19sChIJe1l8ky6GwokREqKEf5SnUY4?authuser=0&hl=en&rclk=1"
"Mount Sinai South Nassau","2.7","662","General hospital","One Healthy Way, Oceanside, NY 11572, United States","https://www.southnassau.org/","+1 516-632-3000","https://www.google.com/maps/place/Mount+Sinai+South+Nassau/data=!4m7!3m6!1s0x89c27b42707c5b71:0xba44a917fcef1a39!8m2!3d40.6529316!4d-73.6297391!16s%2Fg%2F11cjqt0tjn!19sChIJcVt8cEJ7wokRORrv_BepRLo?authuser=0&hl=en&rclk=1"
"National Health Care Associates Inc","4.2","5","Nursing home","20 Sunrise Hwy, Valley Stream, NY 11581, United States","http://www.nhca.com/","+1 516-705-4800","https://www.google.com/maps/place/National+Health+Care+Associates+Inc/data=!4m7!3m6!1s0x89c264bea4e39471:0x8e009fb01ad9bd16!8m2!3d40.6592171!4d-73.6992883!16s%2Fg%2F1tm8lhy0!19sChIJcZTjpL5kwokRFr3ZGrCfAI4?authuser=0&hl=en&rclk=1"
