Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Queens Hospital Center","3.9","1,508","Hospital","82-68 164th St, Queens, NY 11432, United States","https://www.nychealthandhospitals.org/queens/","+1 718-883-3000","https://www.google.com/maps/place/Queens+Hospital+Center/data=!4m7!3m6!1s0x89c261a7434249ed:0x848e724f222deb9!8m2!3d40.7171262!4d-73.8043176!16s%2Fg%2F11f006dpjf!19sChIJ7UlCQ6dhwokRud4i8iTnSAg?authuser=0&hl=en&rclk=1"
"NYC Health + Hospitals / Queens","4.0","120","Hospital","82-68 164th St, Jamaica, NY 11432, United States","https://www.nychealthandhospitals.org/queens/","+1 718-883-2134","https://www.google.com/maps/place/NYC+Health+%2B+Hospitals+%2F+Queens/data=!4m7!3m6!1s0x89c260e4ff0ad11f:0x3b4d3f119976a190!8m2!3d40.7173378!4d-73.8038952!16s%2Fg%2F11f78w95pm!19sChIJH9EK_-RgwokRkKF2mRE_TTs?authuser=0&hl=en&rclk=1"
"Queens Health Center","2.9","237","Medical Center","37-11 Queens Blvd, Queens, NY 11101, United States","http://www.hotelfunds.org/","+1 718-606-3863","https://www.google.com/maps/place/Queens+Health+Center/data=!4m7!3m6!1s0x89c25ed6f970ec1b:0x6aba554d91df0702!8m2!3d40.744501!4d-73.9274018!16s%2Fg%2F1tj3l_p_!19sChIJG-xw-dZewokRAgffkU1Vumo?authuser=0&hl=en&rclk=1"
"Rego Park Health Care","4.0","90","Nursing home","111-26 Corona Ave., Flushing, NY 11368, United States","http://www.regoparkhealthcare.com/","+1 718-592-6400","https://www.google.com/maps/place/Rego+Park+Health+Care/data=!4m7!3m6!1s0x89c25fd3e8671eb9:0x8029fd5360e4f4c5!8m2!3d40.7400935!4d-73.8489551!16s%2Fg%2F1tv251nq!19sChIJuR5n6NNfwokRxfTkYFP9KYA?authuser=0&hl=en&rclk=1"
"NYC Health + Hospitals/Gotham Health, South Queens","3.3","16","Medical clinic","114-02 Guy R Brewer Blvd, Queens, NY 11434, United States","https://www.nychealthandhospitals.org/gotham-health/gotham-centers//#infocus","+1 844-692-4692","https://www.google.com/maps/place/NYC+Health+%2B+Hospitals%2FGotham+Health,+South+Queens/data=!4m7!3m6!1s0x89c26145392ad1b5:0xb6abeca7dbbf10a4!8m2!3d40.6885239!4d-73.7858063!16s%2Fg%2F1tq6fdpp!19sChIJtdEqOUVhwokRpBC_26fsq7Y?authuser=0&hl=en&rclk=1"
"Queens Medical Center","4.3","4","Medical group","17660 Union Tpke # 3, Flushing, NY 11366, United States","","+1 718-591-1657","https://www.google.com/maps/place/Queens+Medical+Center/data=!4m7!3m6!1s0x89c260efd9a4765d:0x7deb033f75f31143!8m2!3d40.7257315!4d-73.7911332!16s%2Fg%2F1261h6h7b!19sChIJXXak2e9gwokRQxHzdT8D630?authuser=0&hl=en&rclk=1"
"QUEENS HEALTH CENTER SITE","","","Community health centre","9704 Sutphin Blvd, Jamaica, NY 11435, United States","","+1 718-657-7088","https://www.google.com/maps/place/QUEENS+HEALTH+CENTER+SITE/data=!4m7!3m6!1s0x89c260d1c5500001:0x1466a101101f4936!8m2!3d40.697031!4d-73.8058351!16s%2Fg%2F11sk2yjvsp!19sChIJAQBQxdFgwokRNkkfEAGhZhQ?authuser=0&hl=en&rclk=1"
"Sun River Health Queens Health Center","","","Community health centre","10504 Sutphin Blvd, Jamaica, NY 11435, United States","","+1 718-725-5000","https://www.google.com/maps/place/Sun+River+Health+Queens+Health+Center/data=!4m7!3m6!1s0x89c260d178b00001:0xff8f2174ef8d004c!8m2!3d40.695247!4d-73.8036292!16s%2Fg%2F11ttbhtctr!19sChIJAQCweNFgwokRTACN73Qhj_8?authuser=0&hl=en&rclk=1"
"Union Plaza Care Center","4.8","246","Rehabilitation center","33-23 Union St, Queens, NY 11354, United States","http://unionplazacares.com/","+1 718-670-0700","https://www.google.com/maps/place/Union+Plaza+Care+Center/data=!4m7!3m6!1s0x89c2601b87327b0d:0x10c2236fd3b7c9ed!8m2!3d40.7672806!4d-73.8268649!16s%2Fg%2F1tdgw9qg!19sChIJDXsyhxtgwokR7cm3028jwhA?authuser=0&hl=en&rclk=1"
"NewYork-Presbyterian Queens - Ambulatory Care Center","2.9","40","Hospital","182-15 Horace Harding Expy, Flushing, NY 11365, United States","http://www.nyp.org/queens","+1 718-670-2903","https://www.google.com/maps/place/NewYork-Presbyterian+Queens+-+Ambulatory+Care+Center/data=!4m7!3m6!1s0x89c261b25461bc11:0xdf64c15dcc815b51!8m2!3d40.7399553!4d-73.7916003!16s%2Fg%2F1tnbm1cr!19sChIJEbxhVLJhwokRUVuBzF3BZN8?authuser=0&hl=en&rclk=1"
"Jamaica Hospital Nursing Home","2.9","42","Rehabilitation center","89-40 135th St, Queens, NY 11418, United States","https://jamaicahospitalnursinghome.org/","+1 718-206-5000","https://www.google.com/maps/place/Jamaica+Hospital+Nursing+Home/data=!4m7!3m6!1s0x89c260c83813e61f:0x199c259b1efe770f!8m2!3d40.700102!4d-73.8165728!16s%2Fg%2F1hd_l728d!19sChIJH-YTOMhgwokRD3f-HpslnBk?authuser=0&hl=en&rclk=1"
"NYC Health + Hospitals/Elmhurst","2.5","1,452","Hospital","79-01 Broadway, Queens, NY 11373, United States","https://www.nychealthandhospitals.org/elmhurst/","+1 718-334-4000","https://www.google.com/maps/place/NYC+Health+%2B+Hospitals%2FElmhurst/data=!4m7!3m6!1s0x89c25f952277668b:0xe966fa47d6e25e55!8m2!3d40.7446774!4d-73.8860322!16s%2Fm%2F04g38cw!19sChIJi2Z3IpVfwokRVV7i1kf6Zuk?authuser=0&hl=en&rclk=1"
"NYC Health + Hospitals/Gotham Health, Parsons","4.1","21","Medical clinic","90-37 Parsons Blvd, Queens, NY 11432, United States","https://www.nychealthandhospitals.org/gotham-health/gotham-centers//#infocus","+1 844-692-4692","https://www.google.com/maps/place/NYC+Health+%2B+Hospitals%2FGotham+Health,+Parsons/data=!4m7!3m6!1s0x89c26185c7987365:0xd42bb76eaef71bca!8m2!3d40.7039473!4d-73.8002285!16s%2Fg%2F1tmy5zr0!19sChIJZXOYx4VhwokRyhv3rm63K9Q?authuser=0&hl=en&rclk=1"
"South Queens Community Health Center","","","Community health centre","11420 Guy R Brewer Blvd, Addisleigh Park, NY 11434, United States","","+1 718-883-6699","https://www.google.com/maps/place/South+Queens+Community+Health+Center/data=!4m7!3m6!1s0x89c2612d26b595ff:0xac66a03f77c96a56!8m2!3d40.6883012!4d-73.7857461!16s%2Fg%2F11ttbhql6h!19sChIJ_5W1Ji1hwokRVmrJdz-gZqw?authuser=0&hl=en&rclk=1"
"Queens Boulevard Extended Care Facility","3.7","365","Social services organization","6111 Queens Blvd, Woodside, NY 11377, United States","http://qbecf.com/","+1 718-205-0287","https://www.google.com/maps/place/Queens+Boulevard+Extended+Care+Facility/data=!4m7!3m6!1s0x89c25ee2fa9669e5:0x2138cb4ef5f88c5a!8m2!3d40.7416667!4d-73.9030556!16s%2Fg%2F1tdgw9ps!19sChIJ5WmW-uJewokRWoz49U7LOCE?authuser=0&hl=en&rclk=1"
"The Pavilion at Queens for Rehabilitation & Nursing","3.8","240","Nursing home","36-17 Parsons Blvd, Queens, NY 11354, United States","https://www.pavilionrehab.com/","+1 718-888-5200","https://www.google.com/maps/place/The+Pavilion+at+Queens+for+Rehabilitation+%26+Nursing/data=!4m7!3m6!1s0x89c26019a1d6c4c1:0xc3f4a77e96caf37b!8m2!3d40.764149!4d-73.822773!16s%2Fg%2F11bc7ms1v7!19sChIJwcTWoRlgwokRe_PKln6n9MM?authuser=0&hl=en&rclk=1"
"Northwell Health Queens World Trade Center Health Program","5.0","2","Medical clinic","97-77 Queens Blvd 9th Floor, Rego Park, NY 11374, United States","https://www.northwell.edu/occupational-medicine-epidemiology-prevention/northwell-health-queens-world-trade-center-health-program","+1 718-267-2420","https://www.google.com/maps/place/Northwell+Health+Queens+World+Trade+Center+Health+Program/data=!4m7!3m6!1s0x89c25e30c6c08249:0x5a1cec6e55373c17!8m2!3d40.729156!4d-73.8584415!16s%2Fg%2F11bv5whhfr!19sChIJSYLAxjBewokRFzw3VW7sHFo?authuser=0&hl=en&rclk=1"
"Jamaica Hospital Medical Center","3.3","1,788","Medical Center","8900 Van Wyck Expy, Queens, NY 11418, United States","http://www.jamaicahospital.org/","+1 718-206-6000","https://www.google.com/maps/place/Jamaica+Hospital+Medical+Center/data=!4m7!3m6!1s0x89c260c859db1b53:0x1d217244288f4381!8m2!3d40.701006!4d-73.816713!16s%2Fg%2F1td2ndq9!19sChIJUxvbWchgwokRgUOPKERyIR0?authuser=0&hl=en&rclk=1"
"Queens Hospital Center: Gentile Janelle S","","","Medical clinic","8268 164th St, Jamaica, NY 11432, United States","","+1 718-883-2400","https://www.google.com/maps/place/Queens+Hospital+Center:+Gentile+Janelle+S/data=!4m7!3m6!1s0x89c260e4fdbce177:0x956b3bcd8cfcf4cb!8m2!3d40.7168484!4d-73.8043186!16s%2Fg%2F1tz76x9s!19sChIJd-G8_eRgwokRy_T8jM07a5U?authuser=0&hl=en&rclk=1"
"NewYork-Presbyterian Queens Hospital","3.0","1,311","Hospital","56-45 Main St, Flushing, NY 11355, United States","https://www.nyp.org/queens?utm_source=yextgmb&utm_medium=organic&utm_campaign=yext_doctor_listings&y_source=1_MTM4MTIwMzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 718-670-2000","https://www.google.com/maps/place/NewYork-Presbyterian+Queens+Hospital/data=!4m7!3m6!1s0x89c2606ea68be827:0xaff89e0ec1df648e!8m2!3d40.7472479!4d-73.8253356!16s%2Fm%2F04g3fxh!19sChIJJ-iLpm5gwokRjmTfwQ6e-K8?authuser=0&hl=en&rclk=1"
"Queens Hospital Center: Gentile Janelle S","","","Medical clinic","8268 164th St, Jamaica, NY 11432, United States","","+1 718-883-2400","https://www.google.com/maps/place/Queens+Hospital+Center:+Gentile+Janelle+S/data=!4m7!3m6!1s0x89c260e4fdbce177:0x956b3bcd8cfcf4cb!8m2!3d40.7168484!4d-73.8043186!16s%2Fg%2F1tz76x9s!19sChIJd-G8_eRgwokRy_T8jM07a5U?authuser=0&hl=en&rclk=1"
"Qhn Medical Center At Corona","","","Medical clinic","11402 Guy R Brewer Blvd, Addisleigh Park, NY 11434, United States","","+1 718-883-6626","https://www.google.com/maps/place/Qhn+Medical+Center+At+Corona/data=!4m7!3m6!1s0x89c2612d1ec12bb7:0x2c2e42dcac5344a4!8m2!3d40.6887715!4d-73.7858914!16s%2Fg%2F12637t_p4!19sChIJtyvBHi1hwokRpERTrNxCLiw?authuser=0&hl=en&rclk=1"
"NewYork-Presbyterian Queens Hospital","3.0","1,311","Hospital","56-45 Main St, Flushing, NY 11355, United States","https://www.nyp.org/queens?utm_source=yextgmb&utm_medium=organic&utm_campaign=yext_doctor_listings&y_source=1_MTM4MTIwMzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 718-670-2000","https://www.google.com/maps/place/NewYork-Presbyterian+Queens+Hospital/data=!4m7!3m6!1s0x89c2606ea68be827:0xaff89e0ec1df648e!8m2!3d40.7472479!4d-73.8253356!16s%2Fm%2F04g3fxh!19sChIJJ-iLpm5gwokRjmTfwQ6e-K8?authuser=0&hl=en&rclk=1"
"NYC Health + Hospitals/Gotham Health, Lefrak","4.6","10","Medical clinic","59-17 Junction Blvd, Queens, NY 11368, United States","https://www.nychealthandhospitals.org/gotham-health/gotham-centers//#infocus","+1 844-692-4692","https://www.google.com/maps/place/NYC+Health+%2B+Hospitals%2FGotham+Health,+Lefrak/data=!4m7!3m6!1s0x89c25f7bd025e167:0xefd9e60406b7ddcd!8m2!3d40.7348102!4d-73.8644434!16s%2Fg%2F11grrn9mz7!19sChIJZ-El0HtfwokRzd23BgTm2e8?authuser=0&hl=en&rclk=1"
"Flushing Hospital Medical Center","2.9","732","General hospital","4500 Parsons Blvd, Queens, NY 11355, United States","http://www.flushinghospital.org/","+1 718-670-5000","https://www.google.com/maps/place/Flushing+Hospital+Medical+Center/data=!4m7!3m6!1s0x89c2603e7e81613f:0x6968e2f82b599add!8m2!3d40.7554667!4d-73.8161975!16s%2Fg%2F1tlbq1v6!19sChIJP2GBfj5gwokR3ZpZK_jiaGk?authuser=0&hl=en&rclk=1"
"Northwell Healthcare Cntre","2.6","28","Hospital","102-01 66th Rd, Flushing, NY 11375, United States","","","https://www.google.com/maps/place/Northwell+Healthcare+Cntre/data=!4m7!3m6!1s0x89c25e2e4d6997a3:0xd8796c90108ed2b6!8m2!3d40.7290277!4d-73.8515267!16s%2Fg%2F11g9jflzx1!19sChIJo5dpTS5ewokRttKOEJBsedg?authuser=0&hl=en&rclk=1"
"Forest View Center","4.3","160","Nursing home","71-20 110th St, Forest Hills, NY 11375, United States","http://www.fvrehab.com/","+1 718-793-3200","https://www.google.com/maps/place/Forest+View+Center/data=!4m7!3m6!1s0x89c2609d8fbadc6f:0x8816d3b5076d637e!8m2!3d40.721763!4d-73.841538!16s%2Fg%2F1tk640z9!19sChIJb9y6j51gwokRfmNtB7XTFog?authuser=0&hl=en&rclk=1"
"Sapphire Center for Rehabilitation and Nursing of Central Queens","3.8","58","Nursing home","35-15 Parsons Blvd, Queens, NY 11354, United States","https://www.sapphirerehab.com/","+1 718-961-3500","https://www.google.com/maps/place/Sapphire+Center+for+Rehabilitation+and+Nursing+of+Central+Queens/data=!4m7!3m6!1s0x89c260196be5333b:0xda8bdd2befe16410!8m2!3d40.7653728!4d-73.823355!16s%2Fg%2F1tfcjpj4!19sChIJOzPlaxlgwokREGTh7yvdi9o?authuser=0&hl=en&rclk=1"
"Queens Health Home","5.0","2","Wellness program","89-31 161st St 10th Floor, Jamaica, NY 11432, United States","https://www.sunriver.org/your-health/queens-health-home/","+1 855-681-8700","https://www.google.com/maps/place/Queens+Health+Home/data=!4m7!3m6!1s0x89c260deeb3dda83:0x3f95543e35dbd02e!8m2!3d40.7055898!4d-73.7991801!16s%2Fg%2F11ckjcf7b_!19sChIJg9o9695gwokRLtDbNT5UlT8?authuser=0&hl=en&rclk=1"
"Forest Hills Care Center","3.7","51","Nursing home","7144 Yellowstone Blvd, Forest Hills, NY 11375, United States","http://www.foresthillsnh.com/","+1 718-544-4300","https://www.google.com/maps/place/Forest+Hills+Care+Center/data=!4m7!3m6!1s0x89c25e3ca3814f01:0xbab79968981c70ee!8m2!3d40.7216185!4d-73.8548942!16s%2Fg%2F1v62jl1y!19sChIJAU-BozxewokR7nAcmGiZt7o?authuser=0&hl=en&rclk=1"
"The Floating Hospital: Astoria Health Center","5.0","3","Community health centre","8-13 Astoria Blvd, Queens, NY 11102, United States","http://www.thefloatinghospital.org/","+1 718-545-0934","https://www.google.com/maps/place/The+Floating+Hospital:+Astoria+Health+Center/data=!4m7!3m6!1s0x89c25f4c7440263b:0x7c253b6f36c793!8m2!3d40.7727467!4d-73.9318405!16s%2Fg%2F11dfjzp2m4!19sChIJOyZAdExfwokRk8c2bzslfAA?authuser=0&hl=en&rclk=1"
"Elmhurst Hospital: Center Ob/Gyn, Broadway, Queens, NY","2.5","52","Hospital","78-02 41st Ave, Queens, NY 11373, United States","https://www.nychealthandhospitals.org/elmhurst/","+1 718-334-4000","https://www.google.com/maps/place/Elmhurst+Hospital:+Center+Ob%2FGyn,+Broadway,+Queens,+NY/data=!4m7!3m6!1s0x89c25faa3d999665:0x1474821a9006770d!8m2!3d40.7450074!4d-73.8859279!16s%2Fg%2F11gfm84jvw!19sChIJZZaZPapfwokRDXcGkBqCdBQ?authuser=0&hl=en&rclk=1"
"Forest Urgent Care Forest hills Queens","4.5","258","Urgent care center","112-01 75th Ave, Forest Hills, NY 11375, United States","https://www.foresturgentcare.com/","+1 718-268-6808","https://www.google.com/maps/place/Forest+Urgent+Care+Forest+hills+Queens/data=!4m7!3m6!1s0x89c25e20a6327321:0x378bb1150b1c2c4!8m2!3d40.7191494!4d-73.8372301!16s%2Fg%2F1vj603mr!19sChIJIXMypiBewokRxMKxUBG7eAM?authuser=0&hl=en&rclk=1"
"Ozanam Hall of Queens Nursing Home","3.3","51","Retirement community","42-41 201st St, Auburndale, NY 11361, United States","http://www.ozanamhall.org/","+1 718-423-2000","https://www.google.com/maps/place/Ozanam+Hall+of+Queens+Nursing+Home/data=!4m7!3m6!1s0x89c261da6490c41f:0xd63b252b45b07175!8m2!3d40.758739!4d-73.782191!16s%2Fg%2F1tj1s_yy!19sChIJH8SQZNphwokRdXGwRSslO9Y?authuser=0&hl=en&rclk=1"
"NYC Health + Hospitals/Gotham Health, Roosevelt","4.7","12","Medical clinic","37-50 72nd St, Jackson Heights, NY 11372, United States","https://www.nychealthandhospitals.org/get-care/gotham-health/","+1 844-692-4692","https://www.google.com/maps/place/NYC+Health+%2B+Hospitals%2FGotham+Health,+Roosevelt/data=!4m7!3m6!1s0x89c25fa805c711bb:0x927a464c9407eb5b!8m2!3d40.747284!4d-73.8943335!16s%2Fg%2F11lsgqg0kn!19sChIJuxHHBahfwokRW-sHlExGepI?authuser=0&hl=en&rclk=1"
"Mount Sinai Queens","2.4","624","General hospital","25-10 30th Ave., Long Island City, NY 11102, United States","https://www.mountsinai.org/locations/queens?utm_source=Yext&utm_medium=local_listing&utm_campaign=MSHQ&y_source=1_MTgwODM1NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","+1 718-932-1000","https://www.google.com/maps/place/Mount+Sinai+Queens/data=!4m7!3m6!1s0x89c25f4870578f43:0x909638963f87c55b!8m2!3d40.7680983!4d-73.9248696!16s%2Fm%2F04g3nps!19sChIJQ49XcEhfwokRW8WHP5Y4lpA?authuser=0&hl=en&rclk=1"
