Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Highfield Gardens Care Center","3.9","161","Nursing home","199 Community Dr, Great Neck, NY 11021, United States","http://www.highfieldgardens.com/","+1 516-303-0100","https://www.google.com/maps/place/Highfield+Gardens+Care+Center/data=!4m7!3m6!1s0x89c289b24b2e3831:0x4fe61b75a664a3e0!8m2!3d40.7819096!4d-73.704656!16s%2Fg%2F1trqj46c!19sChIJMTguS7KJwokR4KNkpnUb5k8?authuser=0&hl=en&rclk=1"
"Long Beach Nursing and Rehabilitation Center","4.4","160","Nursing home","375 E Bay Dr #1, Long Beach, NY 11561, United States","http://longbeachnrc.com/","+1 516-897-1000","https://www.google.com/maps/place/Long+Beach+Nursing+and+Rehabilitation+Center/data=!4m7!3m6!1s0x89c26553518335af:0x33dc320128a91eae!8m2!3d40.5943658!4d-73.6534993!16s%2Fg%2F11bxf4ys8m!19sChIJrzWDUVNlwokRrh6pKAEy3DM?authuser=0&hl=en&rclk=1"
"Garden Care Center","4.0","57","Nursing home","135 Franklin Ave, Franklin Square, NY 11010, United States","https://gardencarerehab.com/","+1 516-775-2100","https://www.google.com/maps/place/Garden+Care+Center/data=!4m7!3m6!1s0x89c2632270f51115:0x349e0cbc394582a9!8m2!3d40.7045627!4d-73.6768235!16s%2Fg%2F1hc4p4h4p!19sChIJFRH1cCJjwokRqYJFObwMnjQ?authuser=0&hl=en&rclk=1"
"Rockville Skilled Nursing and Rehabilitation Center","4.1","68","Nursing home","50 Maine Ave, Rockville Centre, NY 11570, United States","http://www.rockvillerehab.com/","+1 516-536-8000","https://www.google.com/maps/place/Rockville+Skilled+Nursing+and+Rehabilitation+Center/data=!4m7!3m6!1s0x89c27b54883183bd:0xb9a2a79bb68c76fd!8m2!3d40.6637374!4d-73.6507342!16s%2Fg%2F1vxzbk42!19sChIJvYMxiFR7wokR_XaMtpunork?authuser=0&hl=en&rclk=1"
"The Grand Rehabilitation and Nursing at South Point","4.0","68","Nursing home","1 Long Beach Rd, Island Park, NY 11558, United States","http://thegrandhealthcare.com/southpoint","+1 516-432-0300","https://www.google.com/maps/place/The+Grand+Rehabilitation+and+Nursing+at+South+Point/data=!4m7!3m6!1s0x89c2655261b6b539:0x45f0b8886589ee57!8m2!3d40.5981509!4d-73.6568233!16s%2Fg%2F1tctmqjf!19sChIJObW2YVJlwokRV-6JZYi48EU?authuser=0&hl=en&rclk=1"
"Glengariff Rehabilitation and Healthcare Center","4.0","226","Nursing home","141 Dosoris Ln, Glen Cove, NY 11542, United States","http://glengariffrehab.com/","+1 516-676-1100","https://www.google.com/maps/place/Glengariff+Rehabilitation+and+Healthcare+Center/data=!4m7!3m6!1s0x89c2856ab3031f13:0x7661bcb02f4e6748!8m2!3d40.8826743!4d-73.6362891!16s%2Fg%2F1thd7lyy!19sChIJEx8Ds2qFwokRSGdOL7C8YXY?authuser=0&hl=en&rclk=1"
"Meadowbrook Care Center","4.5","276","Rehabilitation center","320 W Merrick Rd, Freeport, NY 11520, United States","http://www.meadowbrookcarecenter.com/","+1 516-377-8200","https://www.google.com/maps/place/Meadowbrook+Care+Center/data=!4m7!3m6!1s0x89c27b8f7e9508cf:0xe79ec00e35f2b82d!8m2!3d40.65254!4d-73.59447!16s%2Fg%2F1tgmx62v!19sChIJzwiVfo97wokRLbjyNQ7Anuc?authuser=0&hl=en&rclk=1"
"Sunharbor Manor","3.3","96","Nursing home","255 Warner Ave, Roslyn Heights, NY 11577, United States","https://www.sunharbormanor.com/","+1 516-621-5400","https://www.google.com/maps/place/Sunharbor+Manor/data=!4m7!3m6!1s0x89c2862e937c597b:0x8e51a7947f84a212!8m2!3d40.792551!4d-73.645743!16s%2Fg%2F1tgc0p_q!19sChIJe1l8ky6GwokREqKEf5SnUY4?authuser=0&hl=en&rclk=1"
"Northwell Health Stern Family Center for Rehabilitation","2.7","96","Rehabilitation center","330 Community Dr, Manhasset, NY 11030, United States","https://www.northwell.edu/rehabilitation-network/locations/northwell-health-stern-family-center-rehabilitation","+1 516-562-8000","https://www.google.com/maps/place/Northwell+Health+Stern+Family+Center+for+Rehabilitation/data=!4m7!3m6!1s0x89c288354de98bb9:0x314c9131b4720d8c!8m2!3d40.7727856!4d-73.7005249!16s%2Fg%2F11b773tfdq!19sChIJuYvpTTWIwokRjA1ytDGRTDE?authuser=0&hl=en&rclk=1"
"Margaret Tietz Nursing and Rehabilitation Center","4.2","221","Adult day care center","16411 Chapin Pkwy # 1, Jamaica, NY 11432, United States","http://www.margarettietz.org/","+1 718-298-7800","https://www.google.com/maps/place/Margaret+Tietz+Nursing+and+Rehabilitation+Center/data=!4m7!3m6!1s0x89c260e41e1ea459:0x9507045eda009d00!8m2!3d40.7142082!4d-73.8018153!16s%2Fg%2F1tdwwm1m!19sChIJWaQeHuRgwokRAJ0A2l4EB5U?authuser=0&hl=en&rclk=1"
"Forest View Center","4.3","160","Nursing home","71-20 110th St, Forest Hills, NY 11375, United States","http://www.fvrehab.com/","+1 718-793-3200","https://www.google.com/maps/place/Forest+View+Center/data=!4m7!3m6!1s0x89c2609d8fbadc6f:0x8816d3b5076d637e!8m2!3d40.721763!4d-73.841538!16s%2Fg%2F1tk640z9!19sChIJb9y6j51gwokRfmNtB7XTFog?authuser=0&hl=en&rclk=1"
"Ross Center for Nursing and Rehabilitation","4.4","95","Nursing home","839 Suffolk Ave, Brentwood, NY 11717, United States","http://www.rosshealthcare.com/","+1 631-273-4700","https://www.google.com/maps/place/Ross+Center+for+Nursing+and+Rehabilitation/data=!4m7!3m6!1s0x89e83197780f1c35:0x3bafa4a148be59a9!8m2!3d40.7829306!4d-73.2418316!16s%2Fg%2F1tcy5bky!19sChIJNRwPeJcx6IkRqVm-SKGkrzs?authuser=0&hl=en&rclk=1"
