Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Richie's L I Appliance Home Service Center Inc","4.8","31","Appliance repair service","","https://www.richiesappliance.com/","+1 516-939-2649","https://www.google.com/maps/place/Richie%27s+L+I+Appliance+Home+Service+Center+Inc/data=!4m7!3m6!1s0x89c28136dba1034d:0xb05e78668c1f3f12!8m2!3d40.754757!4d-73.601734!16s%2Fg%2F11j8fkstjc!19sChIJTQOh2zaBwokREj8fjGZ4XrA?authuser=0&hl=en&rclk=1"
"Repair Master","4.6","20","Appliance repair service","","https://www.repairmasterinc.com/","+1 718-886-1132","https://www.google.com/maps/place/Repair+Master/data=!4m7!3m6!1s0x89c27b9980699e95:0xa435490f203ad139!8m2!3d40.6974881!4d-73.979681!16s%2Fg%2F1tptrjs2!19sChIJlZ5pgJl7wokROdE6IA9JNaQ?authuser=0&hl=en&rclk=1"
"Premier Service Of NY, Inc.","4.9","50","Appliance repair service","49 W Sunrise Hwy, Freeport, NY 11520, United States","","+1 516-670-5104","https://www.google.com/maps/place/Premier+Service+Of+NY,+Inc./data=!4m7!3m6!1s0x89c27b84d1aeaaab:0x18faf0a9bfe6a2d0!8m2!3d40.6562898!4d-73.5844336!16s%2Fg%2F11fll63x2s!19sChIJq6qu0YR7wokR0KLmv6nw-hg?authuser=0&hl=en&rclk=1"
"American Service","4.8","380","Appliance repair service","7 Richard St, Hicksville, NY 11801, United States","https://www.americanservice.co/","+1 516-997-5599","https://www.google.com/maps/place/American+Service/data=!4m7!3m6!1s0x89c280fc2c61b069:0x706bb17fc8c173e7!8m2!3d40.7647854!4d-73.5185885!16s%2Fg%2F1tr7k9q3!19sChIJabBhLPyAwokR53PByH-xa3A?authuser=0&hl=en&rclk=1"
"High'N Appliance Repair Services","4.7","47","Appliance repair service","","https://highnappliance.com/","+1 516-266-6464","https://www.google.com/maps/place/High%27N+Appliance+Repair+Services/data=!4m7!3m6!1s0x25843d2f84ebdd6f:0x3b764fc8eb90ece6!8m2!3d40.915446!4d-72.7788421!16s%2Fg%2F11p5zfwz4_!19sChIJb93rhC89hCUR5uyQ68hPdjs?authuser=0&hl=en&rclk=1"
"The Nassau County Handyman","5.0","40","Handyman/Handywoman/Handyperson","","https://thenassauhandyman.com/","+1 516-224-3203","https://www.google.com/maps/place/The+Nassau+County+Handyman/data=!4m7!3m6!1s0x6dd73e913a4e2aed:0x2614ec6199faaedb!8m2!3d40.7394015!4d-73.7326934!16s%2Fg%2F11s1rx4pqy!19sChIJ7SpOOpE-120R2676mWHsFCY?authuser=0&hl=en&rclk=1"
"SKJ Precise Repairs","4.6","11","Refrigerator repair service","","","+1 347-724-0998","https://www.google.com/maps/place/SKJ+Precise+Repairs/data=!4m7!3m6!1s0x89c263e41f627fb1:0x76dc1c09f6d54225!8m2!3d40.9000905!4d-72.9098014!16s%2Fg%2F11h6q7z9vp!19sChIJsX9iH-RjwokRJULV9gkc3HY?authuser=0&hl=en&rclk=1"
"Universe Home Services","4.8","4,471","Furnace repair service","3782 Merrick Rd, Seaford, NY 11783, United States","https://www.universehomeservices.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB%20Listing","+1 516-494-0490","https://www.google.com/maps/place/Universe+Home+Services/data=!4m7!3m6!1s0x89c27f1573a44d9d:0x85efe9c408911f1!8m2!3d40.6653655!4d-73.4911165!16s%2Fg%2F1tdn50c5!19sChIJnU2kcxV_wokR8RGJQJz-Xgg?authuser=0&hl=en&rclk=1"
"Dynamic's All The Best Services for Your Home and Business","4.4","151","General contractor","","https://www.allthebesthomeservices.com/","+1 800-875-3109","https://www.google.com/maps/place/Dynamic%27s+All+The+Best+Services+for+Your+Home+and+Business/data=!4m7!3m6!1s0x89c281654a85a95f:0x63f236e5a1328b88!8m2!3d40.778052!4d-73.5683375!16s%2Fg%2F11ggtgyhst!19sChIJX6mFSmWBwokRiIsyoeU28mM?authuser=0&hl=en&rclk=1"
"APPLIANCE REPAIR PROFESSIONALS, INC.","4.8","16","Appliance repair service","","https://appliancerepairprofessionals.com/","+1 877-543-7372","https://www.google.com/maps/place/APPLIANCE+REPAIR+PROFESSIONALS,+INC./data=!4m7!3m6!1s0x89c28237ff43916d:0xda99d105025fd606!8m2!3d41.074268!4d-73.771537!16s%2Fg%2F1tfmjrfn!19sChIJbZFD_zeCwokRBtZfAgXRmdo?authuser=0&hl=en&rclk=1"
