Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Kim's Maintenance Services","5.0","2","Commercial cleaning service","163-18 Northern Blvd #2, Queens, NY 11358, United States","http://www.kimsmaintenance.com/","+1 718-753-3666","https://www.google.com/maps/place/Kim%27s+Maintenance+Services/data=!4m7!3m6!1s0x89c2616d69c0f591:0xa3371a3905978d70!8m2!3d40.7607004!4d-73.8021628!16s%2Fg%2F11vdjt8mfs!19sChIJkfXAaW1hwokRcI2XBTkaN6M?authuser=0&hl=en&rclk=1"
"Gibbs Janitorial and Maintenance Services - Affordable Commercial Cleaning Service Jamaica NY, Janitorial Service","5.0","1","Commercial cleaning service","","http://www.gibbscleaningservicesinc.com/","+1 347-519-3030","https://www.google.com/maps/place/Gibbs+Janitorial+and+Maintenance+Services+-+Affordable+Commercial+Cleaning+Service+Jamaica+NY,+Janitorial+Service/data=!4m7!3m6!1s0x89c2633f0bb5e69d:0x7339a0590a0311ce!8m2!3d40.825517!4d-72.9564156!16s%2Fg%2F11sfrlkd_6!19sChIJnea1Cz9jwokRzhEDClmgOXM?authuser=0&hl=en&rclk=1"
"Prestigious Maintenance Inc.","3.7","6","Commercial cleaning service","89-20 Cooper Ave, Queens, NY 11385, United States","http://www.prestigiousmaintenanceinc.com/","+1 646-412-5900","https://www.google.com/maps/place/Prestigious+Maintenance+Inc./data=!4m7!3m6!1s0x89c25fcfb1c49137:0x75b097a2bef6467e!8m2!3d40.711935!4d-73.8623624!16s%2Fg%2F11h9hzjs60!19sChIJN5HEsc9fwokRfkb2vqKXsHU?authuser=0&hl=en&rclk=1"
"Home repair now","","","Construction company","8711 251st St, Queens, NY 11426, United States","","+1 718-986-4481","https://www.google.com/maps/place/Home+repair+now/data=!4m7!3m6!1s0x89c2635314709987:0xa0c8b2a7963780dc!8m2!3d40.7301731!4d-73.7146099!16s%2Fg%2F11jftf09q7!19sChIJh5lwFFNjwokR3IA3lqeyyKA?authuser=0&hl=en&rclk=1"
"A1 Commercial Refrigeration Repair NYC","5.0","8","Commercial refrigeration","60-42 80th Ave, Glendale, NY 11385, United States","https://refrigerationkingsofnyc.com/commercial-refrigeration-repair-queens-ny/","+1 347-418-0884","https://www.google.com/maps/place/A1+Commercial+Refrigeration+Repair+NYC/data=!4m7!3m6!1s0x89c25c2dcfdaa8ef:0xf5689e407736bb76!8m2!3d40.694985!4d-73.894051!16s%2Fg%2F11gdt9xbwv!19sChIJ76jazy1cwokRdrs2d0CeaPU?authuser=0&hl=en&rclk=1"
"Shine Champs","","","Commercial cleaning service","","","+1 929-269-2148","https://www.google.com/maps/place/Shine+Champs/data=!4m7!3m6!1s0x89c25d0a64a70f61:0xa7d3ecaaa7d32cbb!8m2!3d40.8193196!4d-73.0576455!16s%2Fg%2F11rhwf03f7!19sChIJYQ-nZApdwokRuyzTp6rs06c?authuser=0&hl=en&rclk=1"
"Golden Touch Commercial and Residential Cleaning Service LLC","4.3","6","Commercial cleaning service","9225 190th St, Hollis, NY 11423, United States","https://goldtouchcleaning.com/","+1 347-678-9811","https://www.google.com/maps/place/Golden+Touch+Commercial+and+Residential+Cleaning+Service+LLC/data=!4m7!3m6!1s0x89c261b185b323f3:0xd3b3a92e26f81941!8m2!3d40.7111324!4d-73.7689586!16s%2Fg%2F11g0m6twvb!19sChIJ8yOzhbFhwokRQRn4Ji6ps9M?authuser=0&hl=en&rclk=1"
"LI Home Repair & Maintenance, Inc.","4.4","22","Repair service","","","+1 516-847-4372","https://www.google.com/maps/place/LI+Home+Repair+%26+Maintenance,+Inc./data=!4m7!3m6!1s0x89c263c7098b17c7:0xf4d4a40946bf41bb!8m2!3d40.915446!4d-72.7788421!16s%2Fg%2F11ghlk81zf!19sChIJxxeLCcdjwokRu0G_Rgmk1PQ?authuser=0&hl=en&rclk=1"
"Handyman Queens NY","3.0","2","Handyman/Handywoman/Handyperson","","","+1 929-376-9255","https://www.google.com/maps/place/Handyman+Queens+NY/data=!4m7!3m6!1s0x89c260cc97b58ea5:0x92e056659d66df89!8m2!3d40.6974881!4d-73.870322!16s%2Fg%2F11dxdp069k!19sChIJpY61l8xgwokRid9mnWVW4JI?authuser=0&hl=en&rclk=1"
"ALL STATE COMPACTOR REPAIR NYC","","","Waste management service","","http://www.yellowpages.com/new-york-ny/mip/all-state-compactor-nyc-compactors-chute-door-repair-481898502?lid=481898502","+1 718-526-3800","https://www.google.com/maps/place/ALL+STATE+COMPACTOR+REPAIR+NYC/data=!4m7!3m6!1s0x89c261164fab9633:0x2423458ad1006f0e!8m2!3d40.8053206!4d-73.9003419!16s%2Fg%2F1q67tqj9j!19sChIJM5arTxZhwokRDm8A0YpFIyQ?authuser=0&hl=en&rclk=1"
