Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Just in time refrigeration","5.0","32","Commercial refrigeration","202 Whittier Dr, Mastic Beach, NY 11951, United States","","+1 631-875-9431","https://www.google.com/maps/place/Just+in+time+refrigeration/data=!4m7!3m6!1s0x89e8508fc315e087:0x1dfc595db3a15ef9!8m2!3d40.7726869!4d-72.8405678!16s%2Fg%2F11hbs9m8h3!19sChIJh-AVw49Q6IkR-V6hs11Z_B0?authuser=0&hl=en&rclk=1"
"Long Island and Westchester Refrigeration","4.9","149","Refrigerator repair service","","http://www.longislandrefrigeration.com/","+1 888-418-5666","https://www.google.com/maps/place/Long+Island+and+Westchester+Refrigeration/data=!4m7!3m6!1s0x89e8479f81e52de9:0xa596a72b546aa357!8m2!3d40.9435225!4d-72.8803876!16s%2Fg%2F11frnmxlfb!19sChIJ6S3lgZ9H6IkRV6NqVCunlqU?authuser=0&hl=en&rclk=1"
"Fleet Appliance Repair","4.3","407","Appliance repair service","","https://fleetappliance.com/","+1 631-286-7899","https://www.google.com/maps/place/Fleet+Appliance+Repair/data=!4m7!3m6!1s0x89e849218de153c3:0x47ff2a5feef06a99!8m2!3d40.922326!4d-72.690666!16s%2Fg%2F12lljzxnm!19sChIJw1PhjSFJ6IkRmWrw7l8q_0c?authuser=0&hl=en&rclk=1"
"Mr. Appliance of Long Island","4.3","140","Appliance repair service","","https://www.mrappliance.com/long-island/?cid=LSTL_MRA-US000194&utm_source=gmb&utm_campaign=local&utm_medium=organic","+1 631-792-6310","https://www.google.com/maps/place/Mr.+Appliance+of+Long+Island/data=!4m7!3m6!1s0x89e849bc53f5957b:0x657c453aadce5a85!8m2!3d40.7778249!4d-73.1870044!16s%2Fg%2F1tkc7qh1!19sChIJe5X1U7xJ6IkRhVrOrTpFfGU?authuser=0&hl=en&rclk=1"
"Blue Vision Appliance Repair","4.6","98","Appliance repair service","","http://www.bluevisionappliance.com/","+1 631-365-0789","https://www.google.com/maps/place/Blue+Vision+Appliance+Repair/data=!4m7!3m6!1s0x89e831a0ae637541:0x6385996743de80eb!8m2!3d40.9000905!4d-72.9170605!16s%2Fg%2F11hdjgylbf!19sChIJQXVjrqAx6IkR64DeQ2eZhWM?authuser=0&hl=en&rclk=1"
"Eddies Appliance Repair","4.9","210","Appliance repair service","1785 Express Dr S N, Hauppauge, NY 11788, United States","https://eddieshomeappliancerepairs.com/","+1 631-431-0849","https://www.google.com/maps/place/Eddies+Appliance+Repair/data=!4m7!3m6!1s0x89e831cfe4bbcc5b:0x7580c0d83a30c89!8m2!3d40.8067971!4d-73.2306017!16s%2Fg%2F11h24wrhyh!19sChIJW8y75M8x6IkRiQyjgw0MWAc?authuser=0&hl=en&rclk=1"
"JIC Appliance Care LLC","5.0","106","Appliance repair service","1347 Lincoln Ave, Holbrook, NY 11741, United States","http://jicappliances.com/","+1 631-204-8111","https://www.google.com/maps/place/JIC+Appliance+Care+LLC/data=!4m7!3m6!1s0x4cf323e30137bca5:0x21548c1974c63a79!8m2!3d40.7838236!4d-73.0833813!16s%2Fg%2F11tk1k3by1!19sChIJpbw3AeMj80wReTrGdBmMVCE?authuser=0&hl=en&rclk=1"
"D&L Installations Inc.","4.6","11","Appliance repair service","230 Knickerbocker Ave # A, Bohemia, NY 11716, United States","http://www.dlfix.com/","+1 631-567-0077","https://www.google.com/maps/place/D%26L+Installations+Inc./data=!4m7!3m6!1s0x89e83629fdea7569:0x10ba2af3cd756859!8m2!3d40.77672!4d-73.0883345!16s%2Fg%2F11c5strh4l!19sChIJaXXq_Sk26IkRWWh1zfMquhA?authuser=0&hl=en&rclk=1"
"all in repair","5.0","27","Appliance repair service","199 Jayne Blvd, Port Jefferson Station, NY 11776, United States","","+1 631-877-7331","https://www.google.com/maps/place/all+in+repair/data=!4m7!3m6!1s0x89e841cf56dffa0b:0x311390f06ee133f!8m2!3d40.9176057!4d-73.0477453!16s%2Fg%2F11rklwk7t8!19sChIJC_rfVs9B6IkRPxPuBg85EQM?authuser=0&hl=en&rclk=1"
"Long Island Home Maintenance","5.0","90","Handyman/Handywoman/Handyperson","3755 Veterans Memorial Hwy #1021, Bohemia, NY 11716, United States","https://www.longislandhomemaintenance.com/","+1 631-855-5272","https://www.google.com/maps/place/Long+Island+Home+Maintenance/data=!4m7!3m6!1s0x89e83721c6f9371f:0x8f87e0ef0d76330f!8m2!3d40.7859536!4d-73.1139997!16s%2Fg%2F11f72z_d2y!19sChIJHzf5xiE36IkRDzN2De_gh48?authuser=0&hl=en&rclk=1"
