Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Doral Health & Wellness","4.9","225","Urgent care center","331 Knickerbocker Ave, Brooklyn, NY 11237, United States","https://doraluc.org/","+1 718-400-1444","https://www.google.com/maps/place/Doral+Health+%26+Wellness/data=!4m7!3m6!1s0x89c25dbb938f2acf:0x5aefc2cd2c83b9b3!8m2!3d40.7013794!4d-73.9223492!16s%2Fg%2F11s9dvcpzx!19sChIJzyqPk7tdwokRs7mDLM3C71o?authuser=0&hl=en&rclk=1"
"Northwell Health-GoHealth Urgent Care","4.6","794","Urgent care center","41-19 Bell Blvd, Queens, NY 11361, United States","https://www.gohealthuc.com/northwell/locations/bayside?utm_source=gmb&utm_medium=organic&utm_content=northwell-bayside","+1 929-373-4480","https://www.google.com/maps/place/Northwell+Health-GoHealth+Urgent+Care/data=!4m7!3m6!1s0x89c261e00c4aac13:0xb4dba5b3fed0aceb!8m2!3d40.763035!4d-73.770481!16s%2Fg%2F11c1q8cw23!19sChIJE6xKDOBhwokR66zQ_rOl27Q?authuser=0&hl=en&rclk=1"
"Rapid MD Urgent Care","3.9","300","Urgent care center","217-14 Merrick Blvd, Queens, NY 11413, United States","https://www.rapid-md.com/","+1 718-618-6196","https://www.google.com/maps/place/Rapid+MD+Urgent+Care/data=!4m7!3m6!1s0x89c266aba3a0149d:0xd92a87d0622109ee!8m2!3d40.6796082!4d-73.7519458!16s%2Fg%2F11b634c4zz!19sChIJnRSgo6tmwokR7gkhYtCHKtk?authuser=0&hl=en&rclk=1"
"Urgent-MD","4.3","561","Urgent care center","380 Rockaway Turnpike, Cedarhurst, NY 11516, United States","http://www.urgent-md.com/","+1 516-858-4399","https://www.google.com/maps/place/Urgent-MD/data=!4m7!3m6!1s0x89c265c4aa63e311:0x6596a9592074b173!8m2!3d40.6258594!4d-73.7357957!16s%2Fg%2F1ptvyktqt!19sChIJEeNjqsRlwokRc7F0IFmplmU?authuser=0&hl=en&rclk=1"
"Queens Urgent Care","4.2","859","Urgent care center","178-11 Union Tpke, Queens, NY 11366, United States","","+1 718-480-1233","https://www.google.com/maps/place/Queens+Urgent+Care/data=!4m7!3m6!1s0x89c26100ba0291f5:0xd30d97d78ff78fc6!8m2!3d40.726567!4d-73.7897419!16s%2Fg%2F11byx847yf!19sChIJ9ZECugBhwokRxo_3j9eXDdM?authuser=0&hl=en&rclk=1"
"AFC Urgent Care Bayside","5.0","144","Urgent care center","213-04 Northern Blvd, Queens, NY 11361, United States","https://www.afcurgentcare.com/bayside/","+1 929-744-1197","https://www.google.com/maps/place/AFC+Urgent+Care+Bayside/data=!4m7!3m6!1s0x89c26130ace21d7d:0xe63d94a4333f5fed!8m2!3d40.7596355!4d-73.7700879!16s%2Fg%2F11kh_qgjyy!19sChIJfR3irDBhwokR7V8_M6SUPeY?authuser=0&hl=en&rclk=1"
"CityMD Bayside Urgent Care - Queens","4.1","361","Urgent care center","42-01 Bell Blvd, Bayside, NY 11361, United States","https://www.citymd.com/urgent-care-locations/ny/bayside?utm_source=google&utm_medium=GMB_listings&utm_campaign=citymd_locations_GMB_listings","+1 718-571-9341","https://www.google.com/maps/place/CityMD+Bayside+Urgent+Care+-+Queens/data=!4m7!3m6!1s0x89c261e069506f79:0x595ad6d049ad73c3!8m2!3d40.7625841!4d-73.7702399!16s%2Fg%2F11f2wbq6cb!19sChIJeW9QaeBhwokRw3OtSdDWWlk?authuser=0&hl=en&rclk=1"
"Northwell Health-GoHealth Urgent Care","4.5","205","Urgent care center","134-34 Springfield Blvd, Queens, NY 11413, United States","https://www.gohealthuc.com/northwell/locations/springfield-gardens?utm_source=gmb&utm_medium=organic&utm_content=northwell-springfield-gardens","+1 315-610-6973","https://www.google.com/maps/place/Northwell+Health-GoHealth+Urgent+Care/data=!4m7!3m6!1s0x89c2674e21d7a59f:0x194a199f625876!8m2!3d40.6796292!4d-73.7552725!16s%2Fg%2F11rkg9fhp3!19sChIJn6XXIU5nwokRdlhinxlKGQA?authuser=0&hl=en&rclk=1"
"Kāmin Health - Telehealth Services","","","Urgent care center","","","","https://www.google.com/maps/place/K%C4%81min+Health+-+Telehealth+Services/data=!4m7!3m6!1s0x485a0ba6d5610f69:0xf261da5aec7f2ecb!8m2!3d40.6974881!4d-73.979681!16s%2Fg%2F11trxy4d5j!19sChIJaQ9h1aYLWkgRyy5_7FraYfI?authuser=0&hl=en&rclk=1"
"UMD Care - Northern","3.4","193","Urgent care center","164-18 Northern Blvd, Queens, NY 11358, United States","http://www.umdcare.com/","+1 718-939-5900","https://www.google.com/maps/place/UMD+Care+-+Northern/data=!4m7!3m6!1s0x89c2602e58fdc6ef:0xee35956906eca4c1!8m2!3d40.7602452!4d-73.8015963!16s%2Fg%2F1tgfxk24!19sChIJ78b9WC5gwokRwaTsBmmVNe4?authuser=0&hl=en&rclk=1"
"CityMD Long Island City Urgent Care - Queens","4.0","377","Urgent care center","25-18 Queens Plaza S, Long Island City, NY 11101, United States","https://www.citymd.com/urgent-care-locations/ny/long-island-city?utm_source=google&utm_medium=GMB_listings&utm_campaign=citymd_locations_GMB_listings","+1 646-647-1261","https://www.google.com/maps/place/CityMD+Long+Island+City+Urgent+Care+-+Queens/data=!4m7!3m6!1s0x89c2596041a81125:0x7cb19fe1611ebc1c!8m2!3d40.7501729!4d-73.9400167!16s%2Fg%2F11h5dvbkmv!19sChIJJRGoQWBZwokRHLweYeGfsXw?authuser=0&hl=en&rclk=1"
