Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Doral Health & Wellness","4.9","225","Urgent care center","331 Knickerbocker Ave, Brooklyn, NY 11237, United States","https://doraluc.org/","+1 718-400-1444","https://www.google.com/maps/place/Doral+Health+%26+Wellness/data=!4m7!3m6!1s0x89c25dbb938f2acf:0x5aefc2cd2c83b9b3!8m2!3d40.7013794!4d-73.9223492!16s%2Fg%2F11s9dvcpzx!19sChIJzyqPk7tdwokRs7mDLM3C71o?authuser=0&hl=en&rclk=1"
"CityMD Jamaica Urgent Care - Queens","4.3","881","Urgent care center","162-21 Jamaica Ave, Jamaica, NY 11432, United States","https://www.citymd.com/urgent-care-locations/ny/jamaica?utm_source=google&utm_medium=GMB_listings&utm_campaign=citymd_locations_GMB_listings","+1 718-571-9116","https://www.google.com/maps/place/CityMD+Jamaica+Urgent+Care+-+Queens/data=!4m7!3m6!1s0x89c260df2589f473:0x83a77ac442be9d7e!8m2!3d40.7048512!4d-73.797057!16s%2Fg%2F11dzw3_scc!19sChIJc_SJJd9gwokRfp2-QsR6p4M?authuser=0&hl=en&rclk=1"
"CityMD Rego Park Urgent Care - Queens","4.1","488","Urgent care center","91-19 Queens Blvd, Elmhurst, NY 11373, United States","https://www.citymd.com/urgent-care-locations/ny/rego-park?utm_source=google&utm_medium=GMB_listings&utm_campaign=citymd_locations_GMB_listings","+1 646-647-1253","https://www.google.com/maps/place/CityMD+Rego+Park+Urgent+Care+-+Queens/data=!4m7!3m6!1s0x89c25fba7c2f8783:0x40dbc750003671ca!8m2!3d40.7337861!4d-73.8698025!16s%2Fg%2F11gvwn36ft!19sChIJg4cvfLpfwokRynE2AFDH20A?authuser=0&hl=en&rclk=1"
"Northwell Health-GoHealth Urgent Care","4.5","941","Urgent care center","102-29 Queens Blvd, Queens, NY 11375, United States","https://www.gohealthuc.com/northwell/locations/forest-hills?utm_source=gmb&utm_medium=organic&utm_content=northwell-foresthills","+1 718-502-9798","https://www.google.com/maps/place/Northwell+Health-GoHealth+Urgent+Care/data=!4m7!3m6!1s0x89c25e259b59605d:0xc723fc179ba19070!8m2!3d40.725683!4d-73.850369!16s%2Fg%2F11b6gpbsx2!19sChIJXWBZmyVewokRcJChmxf8I8c?authuser=0&hl=en&rclk=1"
"Centers Urgent Care of Middle Village","4.5","1,366","Urgent care center","6122g Fresh Pond Rd, Queens, NY 11379, United States","https://centersurgentcare.net/centers-urgent-care-of-middle-village/","+1 718-502-3000","https://www.google.com/maps/place/Centers+Urgent+Care+of+Middle+Village/data=!4m7!3m6!1s0x89c25e9aa8772c2f:0xe60bdd99baa3ea7f!8m2!3d40.713865!4d-73.901525!16s%2Fg%2F11b7gn_xgv!19sChIJLyx3qJpewokRf-qjupndC-Y?authuser=0&hl=en&rclk=1"
"Forest Urgent Care Forest hills Queens","4.5","258","Urgent care center","112-01 75th Ave, Forest Hills, NY 11375, United States","https://www.foresturgentcare.com/","+1 718-268-6808","https://www.google.com/maps/place/Forest+Urgent+Care+Forest+hills+Queens/data=!4m7!3m6!1s0x89c25e20a6327321:0x378bb1150b1c2c4!8m2!3d40.7191494!4d-73.8372301!16s%2Fg%2F1vj603mr!19sChIJIXMypiBewokRxMKxUBG7eAM?authuser=0&hl=en&rclk=1"
"CityMD Springfield Gardens Urgent Care- Queens","4.0","262","Urgent care center","130-20 Farmers Blvd, Jamaica, NY 11434, United States","https://www.citymd.com/urgent-care-locations/ny/springfield-gardens?utm_source=google&utm_medium=GMB_listings&utm_campaign=citymd_locations_GMB_listings","+1 646-518-8263","https://www.google.com/maps/place/CityMD+Springfield+Gardens+Urgent+Care-+Queens/data=!4m7!3m6!1s0x89c26746b1660b1d:0xadbd88df92b5ad6e!8m2!3d40.6792204!4d-73.7619894!16s%2Fg%2F11pc7strrg!19sChIJHQtmsUZnwokRbq21kt-Iva0?authuser=0&hl=en&rclk=1"
"AFC Urgent Care Queens Village","4.9","189","Urgent care center","23315 Hillside Ave., Queens, NY 11427, United States","https://www.afcurgentcare.com/queens-village/?UTM_source=GMB_listing&UTM_medium=organic","+1 718-210-1940","https://www.google.com/maps/place/AFC+Urgent+Care+Queens+Village/data=!4m7!3m6!1s0x89c26319fc0ab81f:0xda314718f24dda4e!8m2!3d40.7337175!4d-73.7365971!16s%2Fg%2F11twq_dxvd!19sChIJH7gK_BljwokRTtpN8hhHMdo?authuser=0&hl=en&rclk=1"
"CityMD Fresh Meadows Urgent Care - Queens","4.1","653","Urgent care center","61-18 188th St, Fresh Meadows, NY 11365, United States","https://www.citymd.com/urgent-care-locations/ny/fresh-meadows?utm_source=google&utm_medium=GMB_listings&utm_campaign=citymd_locations_GMB_listings","+1 718-489-5003","https://www.google.com/maps/place/CityMD+Fresh+Meadows+Urgent+Care+-+Queens/data=!4m7!3m6!1s0x89c261b10526454f:0xa1035cf7c92355c!8m2!3d40.7399637!4d-73.7867669!16s%2Fg%2F11b8_014n2!19sChIJT0UmBbFhwokRXDWSfM81EAo?authuser=0&hl=en&rclk=1"
"Northwell Health-GoHealth Urgent Care","4.7","669","Urgent care center","58-28 99th St, Queens, NY 11368, United States","https://www.gohealthuc.com/northwell/locations/lefrak-city?utm_source=gmb&utm_medium=organic&utm_content=northwell-lefrakcity","+1 718-502-9867","https://www.google.com/maps/place/Northwell+Health-GoHealth+Urgent+Care/data=!4m7!3m6!1s0x89c25e33560a3def:0x1fc49897cd718c34!8m2!3d40.7370907!4d-73.8597719!16s%2Fg%2F11bw5yxb2d!19sChIJ7z0KVjNewokRNIxxzZeYxB8?authuser=0&hl=en&rclk=1"
"+MEDRITE Jamaica Urgent Care - Queens","4.5","190","Urgent care center","160-15 Jamaica Ave, Queens, NY 11432, United States","https://medriteurgentcare.com/center/medrite-jamaica-urgent-care/","+1 718-908-7222","https://www.google.com/maps/place/%2BMEDRITE+Jamaica+Urgent+Care+-+Queens/data=!4m7!3m6!1s0x89c261d1ff609e79:0x7f7c8d9ddc3e66ae!8m2!3d40.7041396!4d-73.7987909!16s%2Fg%2F11rz59wpj2!19sChIJeZ5g_9FhwokRrmY-3J2NfH8?authuser=0&hl=en&rclk=1"
"MYDOC Urgent Care - Jackson Heights, Queens","4.8","317","Urgent care center","76-27 37th Ave, Queens, NY 11372, United States","https://mydocurgentcare.com/jackson-heights/","+1 718-569-0071","https://www.google.com/maps/place/MYDOC+Urgent+Care+-+Jackson+Heights,+Queens/data=!4m7!3m6!1s0x89c25f549f8a0029:0x41e3c62e704f14fe!8m2!3d40.749502!4d-73.8892349!16s%2Fg%2F11sdn_bggl!19sChIJKQCKn1RfwokR_hRPcC7G40E?authuser=0&hl=en&rclk=1"
"Chai Urgent Care - East Elmhurst, NY","3.8","88","Urgent care center","75-37 31st Ave, Queens, NY 11370, United States","https://www.chaicare.org/urgent-care/locations/queens/east-elmhurst/","+1 929-565-2424","https://www.google.com/maps/place/Chai+Urgent+Care+-+East+Elmhurst,+NY/data=!4m7!3m6!1s0x89c25f2b4b785d49:0xa4072f396b6b54ae!8m2!3d40.7597225!4d-73.8922905!16s%2Fg%2F11rgs05r6y!19sChIJSV14SytfwokRrlRrazkvB6Q?authuser=0&hl=en&rclk=1"
"Northwell Health-GoHealth Urgent Care","4.4","31","Urgent care center","108-40 Queens Blvd, Queens, NY 11375, United States","https://www.gohealthuc.com/northwell/locations/forest-hills-71st?utm_source=gmb&utm_medium=organic&utm_content=northwell-foresthills","+1 347-571-5149","https://www.google.com/maps/place/Northwell+Health-GoHealth+Urgent+Care/data=!4m7!3m6!1s0x89c25f869a22fdb7:0x6069d345b112b3ad!8m2!3d40.7205214!4d-73.8426032!16s%2Fg%2F11v60xt_rj!19sChIJt_0imoZfwokRrbMSsUXTaWA?authuser=0&hl=en&rclk=1"
"ModernMD Urgent Care - Woodhaven","4.8","1,225","Urgent care center","8922 Jamaica Ave, Queens, NY 11421, United States","http://modernmduc.com/","+1 646-604-8170","https://www.google.com/maps/place/ModernMD+Urgent+Care+-+Woodhaven/data=!4m7!3m6!1s0x89c25d2ca70cbd03:0x18eaefb80739cb17!8m2!3d40.6926205!4d-73.8547247!16s%2Fg%2F11j4dtdv2g!19sChIJA70MpyxdwokRF8s5B7jv6hg?authuser=0&hl=en&rclk=1"
"ModernMD Urgent Care - Jackson Heights","4.7","402","Urgent care center","37-33 82nd St, Queens, NY 11372, United States","http://modernmduc.com/","+1 646-604-8190","https://www.google.com/maps/place/ModernMD+Urgent+Care+-+Jackson+Heights/data=!4m7!3m6!1s0x89c25f8fc04ce003:0xdfe96ca29822083d!8m2!3d40.7487213!4d-73.8838633!16s%2Fg%2F11q1s99193!19sChIJA-BMwI9fwokRPQgimKJs6d8?authuser=0&hl=en&rclk=1"
"CityMD Corona Urgent Care - Queens","4.3","374","Urgent care center","37-26 Junction Blvd, Corona, NY 11368, United States","https://www.citymd.com/urgent-care-locations/ny/corona?utm_source=google&utm_medium=GMB_listings&utm_campaign=citymd_locations_GMB_listings","+1 718-571-9310","https://www.google.com/maps/place/CityMD+Corona+Urgent+Care+-+Queens/data=!4m7!3m6!1s0x89c25f105ce18379:0x3b3761cb6d4e2bd2!8m2!3d40.7507383!4d-73.8707154!16s%2Fg%2F11ghy2lcst!19sChIJeYPhXBBfwokR0itObcthNzs?authuser=0&hl=en&rclk=1"
"AFC Urgent Care Bayside","5.0","144","Urgent care center","213-04 Northern Blvd, Queens, NY 11361, United States","https://www.afcurgentcare.com/bayside/","+1 929-744-1197","https://www.google.com/maps/place/AFC+Urgent+Care+Bayside/data=!4m7!3m6!1s0x89c26130ace21d7d:0xe63d94a4333f5fed!8m2!3d40.7596355!4d-73.7700879!16s%2Fg%2F11kh_qgjyy!19sChIJfR3irDBhwokR7V8_M6SUPeY?authuser=0&hl=en&rclk=1"
"+MEDRITE Astoria Urgent Care - Queens","4.7","124","Urgent care center","33-02 30th Ave., Queens, NY 11103, United States","https://medriteurgentcare.com/center/medrite-astoria-urgent-care/","+1 718-813-0111","https://www.google.com/maps/place/%2BMEDRITE+Astoria+Urgent+Care+-+Queens/data=!4m7!3m6!1s0x89c25f1d54aa0329:0x66e1315fbb92e000!8m2!3d40.7658861!4d-73.9197573!16s%2Fg%2F11s_z0nwyg!19sChIJKQOqVB1fwokRAOCSu18x4WY?authuser=0&hl=en&rclk=1"
"CityMD Astoria Urgent Care - Queens","4.1","719","Urgent care center","31-11 Steinway St, Astoria, NY 11103, United States","https://www.citymd.com/urgent-care-locations/ny/astoria?utm_source=google&utm_medium=GMB_listings&utm_campaign=citymd_locations_GMB_listings","+1 718-475-2345","https://www.google.com/maps/place/CityMD+Astoria+Urgent+Care+-+Queens/data=!4m7!3m6!1s0x89c25f3ea16bec29:0xc4e06c38d1e1a881!8m2!3d40.760811!4d-73.917148!16s%2Fg%2F1ptxh1pdq!19sChIJKexroT5fwokRgajh0Ths4MQ?authuser=0&hl=en&rclk=1"
