Name,Rating,Reviews,Category,Address,Website,Phone,Url
"CityMD Long Island City Urgent Care - Queens","4.0","377","Urgent care center","25-18 Queens Plaza S, Long Island City, NY 11101, United States","https://www.citymd.com/urgent-care-locations/ny/long-island-city?utm_source=google&utm_medium=GMB_listings&utm_campaign=citymd_locations_GMB_listings","+1 646-647-1261","https://www.google.com/maps/place/CityMD+Long+Island+City+Urgent+Care+-+Queens/data=!4m7!3m6!1s0x89c2596041a81125:0x7cb19fe1611ebc1c!8m2!3d40.7501729!4d-73.9400167!16s%2Fg%2F11h5dvbkmv!19sChIJJRGoQWBZwokRHLweYeGfsXw?authuser=0&hl=en&rclk=1"
"Northwell Health-GoHealth Urgent Care","3.5","13","Urgent care center","25-01 Jackson Ave Suite 100, Queens, NY 11101, United States","https://www.gohealthuc.com/northwell/locations/long-island-city?utm_source=gmb&utm_medium=organic&utm_content=northwell-longislandcity","+1 347-588-4725","https://www.google.com/maps/place/Northwell+Health-GoHealth+Urgent+Care/data=!4m7!3m6!1s0x89c259a28655fc9d:0x444fc987934e8941!8m2!3d40.7472594!4d-73.9443527!16s%2Fg%2F11vbtn222y!19sChIJnfxVhqJZwokRQYlOk4fJT0Q?authuser=0&hl=en&rclk=1"
"HealthNeed Medical Urgent Care","4.9","105","Urgent care center","5-33 48th Ave, Queens, NY 11101, United States","https://www.healthneeduc.com/","+1 718-888-1117","https://www.google.com/maps/place/HealthNeed+Medical+Urgent+Care/data=!4m7!3m6!1s0x89c25923de2c5dab:0xa96085d95a46ac3c!8m2!3d40.744508!4d-73.954626!16s%2Fg%2F11khf57by1!19sChIJq10s3iNZwokRPKxGWtmFYKk?authuser=0&hl=en&rclk=1"
"Urgent-MD","4.3","561","Urgent care center","380 Rockaway Turnpike, Cedarhurst, NY 11516, United States","http://www.urgent-md.com/","+1 516-858-4399","https://www.google.com/maps/place/Urgent-MD/data=!4m7!3m6!1s0x89c265c4aa63e311:0x6596a9592074b173!8m2!3d40.6258594!4d-73.7357957!16s%2Fg%2F1ptvyktqt!19sChIJEeNjqsRlwokRc7F0IFmplmU?authuser=0&hl=en&rclk=1"
"Northwell Health-GoHealth Urgent Care","4.4","514","Urgent care center","37-01 Broadway, Queens, NY 11103, United States","https://www.gohealthuc.com/northwell/locations/astoria?utm_source=gmb&utm_medium=organic&utm_content=northwell-astoria","+1 929-265-5990","https://www.google.com/maps/place/Northwell+Health-GoHealth+Urgent+Care/data=!4m7!3m6!1s0x89c25f3bc71435c3:0x3d6c0bf4557e7331!8m2!3d40.7598249!4d-73.9203442!16s%2Fg%2F11c13mbyj5!19sChIJwzUUxztfwokRMXN-VfQLbD0?authuser=0&hl=en&rclk=1"
"Northwell Health-GoHealth Urgent Care","4.6","794","Urgent care center","41-19 Bell Blvd, Queens, NY 11361, United States","https://www.gohealthuc.com/northwell/locations/bayside?utm_source=gmb&utm_medium=organic&utm_content=northwell-bayside","+1 929-373-4480","https://www.google.com/maps/place/Northwell+Health-GoHealth+Urgent+Care/data=!4m7!3m6!1s0x89c261e00c4aac13:0xb4dba5b3fed0aceb!8m2!3d40.763035!4d-73.770481!16s%2Fg%2F11c1q8cw23!19sChIJE6xKDOBhwokR66zQ_rOl27Q?authuser=0&hl=en&rclk=1"
"UMD Urgent Care - LIC","3.6","127","Urgent care center","5-35 50th Ave, Queens, NY 11101, United States","http://www.umdcare.com/","+1 718-472-5900","https://www.google.com/maps/place/UMD+Urgent+Care+-+LIC/data=!4m7!3m6!1s0x89c25923729e8813:0x9f8b208869e3b512!8m2!3d40.7430778!4d-73.9550181!16s%2Fg%2F11cm0mzn6t!19sChIJE4ieciNZwokRErXjaYggi58?authuser=0&hl=en&rclk=1"
"Northwell Health-GoHealth Urgent Care","4.7","533","Urgent care center","365 Flatbush Ave, Brooklyn, NY 11238, United States","https://www.gohealthuc.com/northwell/locations/park-slope?utm_source=gmb&utm_medium=organic&utm_content=northwell-parkslope","+1 347-871-9485","https://www.google.com/maps/place/Northwell+Health-GoHealth+Urgent+Care/data=!4m7!3m6!1s0x89c25ba87d0e73f7:0xd50df174db0fe931!8m2!3d40.6768534!4d-73.9720108!16s%2Fg%2F11fy4p0fw7!19sChIJ93MOfahbwokRMekP23TxDdU?authuser=0&hl=en&rclk=1"
"Urgent Care Lawrence | Urgent Care Clinic 11559 | Medical Office","4.7","545","Urgent care center","625 Rockaway Turnpike, Lawrence, NY 11559, United States","https://silverstarurgentcare.com/","+1 516-750-0252","https://www.google.com/maps/place/Urgent+Care+Lawrence+%7C+Urgent+Care+Clinic+11559+%7C+Medical+Office/data=!4m7!3m6!1s0x89c2651b5513edcd:0xb022c2d71c475b72!8m2!3d40.6318913!4d-73.7397456!16s%2Fg%2F11j30xs9hb!19sChIJze0TVRtlwokRcltHHNfCIrA?authuser=0&hl=en&rclk=1"
"Nao Medical - Long Island City 36th Ave., Urgent Care","4.5","197","Urgent care center","30-07 36th Ave, Queens, NY 11106, United States","https://www.naomedical.com/locations/urgent-care-long-island-city-queens-nyc-new-york/","+1 917-310-3371","https://www.google.com/maps/place/Nao+Medical+-+Long+Island+City+36th+Ave.,+Urgent+Care/data=!4m7!3m6!1s0x89c25f92603aedcd:0xf39ba4db58424ba6!8m2!3d40.7569294!4d-73.9301804!16s%2Fg%2F11p_1s6b7k!19sChIJze06YJJfwokRpktCWNukm_M?authuser=0&hl=en&rclk=1"
