Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Assure Distribution","5.0","16","Distribution service","","https://www.assuredistribution.com/","+1 888-698-9590","https://www.google.com/maps/place/Assure+Distribution/data=!4m7!3m6!1s0x89c265e037b6a051:0x586c388e918c436!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11jgyd3d0r!19sChIJUaC2N-BlwokRNsQY6YjDhgU?authuser=0&hl=en&rclk=1"
"Amazon Distribution Center (DBU3)","3.9","41","Distribution service","2 Westbury Ave, Carle Place, NY 11514, United States","","","https://www.google.com/maps/place/Amazon+Distribution+Center+%28DBU3%29/data=!4m7!3m6!1s0x89c287667277ab73:0x6b708c55e5f9ebe6!8m2!3d40.7477191!4d-73.6220944!16s%2Fg%2F11nyr_4gjr!19sChIJc6t3cmaHwokR5uv55VWMcGs?authuser=0&hl=en&rclk=1"
"Affirma Distributors","4.0","5","Distribution service","","https://affirmadistributors.com/","+1 516-244-3318","https://www.google.com/maps/place/Affirma+Distributors/data=!4m7!3m6!1s0x89c27bea013e8ddd:0xac7c9116831d85fa!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11kqw00vt3!19sChIJ3Y0-Aep7wokR-oUdgxaRfKw?authuser=0&hl=en&rclk=1"
"Shah Distributor Inc.","4.2","5","Distribution service","47 Roselle St, Mineola, NY 11501, United States","","+1 516-492-3168","https://www.google.com/maps/place/Shah+Distributor+Inc./data=!4m7!3m6!1s0x89c262eb31b90597:0xe675bbbd26905e!8m2!3d40.7535153!4d-73.6357535!16s%2Fg%2F1tgdv1jl!19sChIJlwW5MetiwokRXpAmvbt15gA?authuser=0&hl=en&rclk=1"
"SLR Food DIstribution","","","Warehouse","495 W John St, Hicksville, NY 11801, United States","","+1 516-437-3782","https://www.google.com/maps/place/SLR+Food+DIstribution/data=!4m7!3m6!1s0x89c281d234e9a4d9:0x1b939bcf10d418da!8m2!3d40.7652225!4d-73.5458855!16s%2Fg%2F11qp1v5xrs!19sChIJ2aTpNNKBwokR2hjUEM-bkxs?authuser=0&hl=en&rclk=1"
"City Wide Distributors","","","Distribution service","35 Jericho Turnpike, Mineola, NY 11501, United States","http://www.citywidedistributors.com/","+1 516-521-6612","https://www.google.com/maps/place/City+Wide+Distributors/data=!4m7!3m6!1s0x89c287efab58b59d:0xc658759ccc039208!8m2!3d40.7506405!4d-73.6361038!16s%2Fg%2F1tgs1w23!19sChIJnbVYq--HwokRCJIDzJx1WMY?authuser=0&hl=en&rclk=1"
"Monaco Distribution Inc.","","","Distribution service","","http://www.facebook.com/monacodistributioninc","+1 516-399-0231","https://www.google.com/maps/place/Monaco+Distribution+Inc./data=!4m7!3m6!1s0x89c27fd60c5b1b75:0xc75d383b9eee2437!8m2!3d40.2003854!4d-76.1535438!16s%2Fg%2F1hc0rd3tt!19sChIJdRtbDNZ_wokRNyTunjs4Xcc?authuser=0&hl=en&rclk=1"
"USPS Logistical and Distribution Center","2.9","86","Distribution service","288 Grumman Rd W, Bethpage, NY 11714, United States","https://www.usps.com/welcome.htm","+1 516-349-5000","https://www.google.com/maps/place/USPS+Logistical+and+Distribution+Center/data=!4m7!3m6!1s0x89c280422c3bb7e3:0x1567924de2da99e6!8m2!3d40.7464206!4d-73.4950056!16s%2Fg%2F1tj97b7p!19sChIJ47c7LEKAwokR5pna4k2SZxU?authuser=0&hl=en&rclk=1"
"V.C.I.","","","Distribution service","","","+1 917-685-6464","https://www.google.com/maps/place/V.C.I./data=!4m7!3m6!1s0x89c27d50e608d495:0xc2c000566716b2d!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11q_0dt7vf!19sChIJldQI5lB9wokRLWtxZgUALAw?authuser=0&hl=en&rclk=1"
"Cloud Coast Distribution","5.0","3","Distribution service","","http://cloud-coast.com/","+1 929-217-6998","https://www.google.com/maps/place/Cloud+Coast+Distribution/data=!4m7!3m6!1s0x6729da37d70513db:0x1e9e5e127c52add4!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11svb8nxm6!19sChIJ2xMF1zfaKWcR1K1SfBJenh4?authuser=0&hl=en&rclk=1"
"Mineola Mack Distributors","5.0","1","Distribution service","880 S Oyster Bay Rd, Hicksville, NY 11801, United States","","+1 516-931-7915","https://www.google.com/maps/place/Mineola+Mack+Distributors/data=!4m7!3m6!1s0x89c2804d83f97717:0x3cdd18d80a4cacb!8m2!3d40.7606025!4d-73.5008908!16s%2Fg%2F1tjt2w5q!19sChIJF3f5g02AwokRy8qkgI3RzQM?authuser=0&hl=en&rclk=1"
"SBG Distribution LLC","5.0","1","Distribution service","257 E 2nd St, Mineola, NY 11501, United States","http://sbgdistribution.com/","+1 516-853-7377","https://www.google.com/maps/place/SBG+Distribution+LLC/data=!4m7!3m6!1s0x89c287f5f7efffff:0xe58397055f07329!8m2!3d40.7447741!4d-73.623754!16s%2Fg%2F11h3vc22_0!19sChIJ___v9_WHwokRKXPwVXA5WA4?authuser=0&hl=en&rclk=1"
"Belco Distributors","","","Distribution service","100 Adams Blvd, Farmingdale, NY 11735, United States","https://www.belcodist.com/","+1 631-501-2020","https://www.google.com/maps/place/Belco+Distributors/data=!4m7!3m6!1s0x89e82b2ebac193e5:0xd75765cf31bbbe19!8m2!3d40.7174491!4d-73.4115066!16s%2Fg%2F11hy9p82kj!19sChIJ5ZPBui4r6IkRGb67Mc9lV9c?authuser=0&hl=en&rclk=1"
"Northwell Health Integrated Distribution Center","4.3","27","Warehouse","401 Grumman Rd W, Bethpage, NY 11714, United States","https://www.northwell.edu/","","https://www.google.com/maps/place/Northwell+Health+Integrated+Distribution+Center/data=!4m7!3m6!1s0x89c28044dd79dabd:0xc6e9d21eb6d575f0!8m2!3d40.749852!4d-73.4963325!16s%2Fg%2F1hc2jh6k9!19sChIJvdp53USAwokR8HXVth7S6cY?authuser=0&hl=en&rclk=1"
"Primeful Distribution Inc","","","Distribution service","309 Christopher St Suite # 9, Ronkonkoma, NY 11779, United States","https://primefuldistribution.com/","+1 888-503-5770","https://www.google.com/maps/place/Primeful+Distribution+Inc/data=!4m7!3m6!1s0x89e83707207ba455:0xddb2de60199673ab!8m2!3d40.7960985!4d-73.1380613!16s%2Fg%2F11p73q3_kw!19sChIJVaR7IAc36IkRq3OWGWDest0?authuser=0&hl=en&rclk=1"
"Advanced Distribution Systems, Inc.","4.3","33","Distribution service","614 NY-303, Blauvelt, NY 10913, United States","http://www.ads-outsource.com/","+1 201-767-7350","https://www.google.com/maps/place/Advanced+Distribution+Systems,+Inc./data=!4m7!3m6!1s0x89c2ee9a5921a767:0x987ff1f5e856ecce!8m2!3d41.0743222!4d-73.952263!16s%2Fg%2F1trxl69c!19sChIJZ6chWZruwokRzuxW6PXxf5g?authuser=0&hl=en&rclk=1"
