Name,Rating,Reviews,Category,Address,Website,Phone,Url
"AZ Distributor","5.0","1","Distribution service","164-19 Hillside Ave., Queens, NY 11432, United States","","+1 516-597-0877","https://www.google.com/maps/place/AZ+Distributor/data=!4m7!3m6!1s0x89c2613da1fe4b33:0x4d443a8488ba3235!8m2!3d40.7091548!4d-73.7983595!16s%2Fg%2F11km_xgs2k!19sChIJM0v-oT1hwokRNTK6iIQ6RE0?authuser=0&hl=en&rclk=1"
"Metro Food Distributors Inc","","","Distribution service","175-1 Rockaway Blvd #201, Queens, NY 11434, United States","","+1 718-995-4140","https://www.google.com/maps/place/Metro+Food+Distributors+Inc/data=!4m7!3m6!1s0x89c26693b970cc0d:0xfb38cb3f11876fdf!8m2!3d40.6581655!4d-73.7704325!16s%2Fg%2F1tdw8_5v!19sChIJDcxwuZNmwokR32-HET_LOPs?authuser=0&hl=en&rclk=1"
"National Distribution Center","4.3","3","Distribution service","4823 55th Ave, Flushing, NY 11378, United States","","","https://www.google.com/maps/place/National+Distribution+Center/data=!4m7!3m6!1s0x89c25ec132bafd87:0x302949fa9c4f35e!8m2!3d40.7287578!4d-73.9183419!16s%2Fg%2F1ttphthd!19sChIJh_26MsFewokRXvPEqZ-UAgM?authuser=0&hl=en&rclk=1"
"OG Distribution (Convenience Store Wholesaler)","","","Wholesaler","","","+1 347-586-9013","https://www.google.com/maps/place/OG+Distribution+%28Convenience+Store+Wholesaler%29/data=!4m7!3m6!1s0x89c25ba78218c163:0xf7d98f99dd79d6f1!8m2!3d38.1335219!4d-79.0110466!16s%2Fg%2F11rs00vwh4!19sChIJY8EYgqdbwokR8dZ53ZmP2fc?authuser=0&hl=en&rclk=1"
"Gold Coast Distributors Ltd","5.0","2","Distribution service","79-11 69th Dr, Queens, NY 11379, United States","http://www.goldcoastbklyn.com/","+1 917-838-2136","https://www.google.com/maps/place/Gold+Coast+Distributors+Ltd/data=!4m7!3m6!1s0x89e82f75ed5de4e7:0x376b2c12ca28a4f!8m2!3d40.7086098!4d-73.8726421!16s%2Fg%2F11j03bv89g!19sChIJ5-Rd7XUv6IkRT4qiLMGydgM?authuser=0&hl=en&rclk=1"
"S S Ny Distribution Inc","","","Distribution service","14717 176th St, Jamaica, NY 11434, United States","","+1 718-376-2002","https://www.google.com/maps/place/S+S+Ny+Distribution+Inc/data=!4m7!3m6!1s0x89c2669361f1664b:0xf3a992df47831e9d!8m2!3d40.6602951!4d-73.769699!16s%2Fg%2F1tp285np!19sChIJS2bxYZNmwokRnR6DR9-SqfM?authuser=0&hl=en&rclk=1"
"Dinas Corp.","4.3","29","Distribution service","104-46 Dunkirk St, Jamaica, NY 11412, United States","http://www.dinascorp.com/#!visit_us/cl4l","+1 718-628-9899","https://www.google.com/maps/place/Dinas+Corp./data=!4m7!3m6!1s0x89c2613e4eaebcc7:0xeb3a045a4b04da1d!8m2!3d40.703994!4d-73.7746569!16s%2Fg%2F11bwqbszch!19sChIJx7yuTj5hwokRHdoES1oEOus?authuser=0&hl=en&rclk=1"
"Preferred Beverage Distributors, Inc","5.0","3","Distribution service","1539 Covert St., Flushing, NY 11385, United States","https://preferredbev.com/","+1 347-889-5585","https://www.google.com/maps/place/Preferred+Beverage+Distributors,+Inc/data=!4m7!3m6!1s0x89c25c24d7624a6d:0xe31e52b13ceb7cbd!8m2!3d40.69503!4d-73.9038953!16s%2Fg%2F11h3vbtrnz!19sChIJbUpi1yRcwokRvXzrPLFSHuM?authuser=0&hl=en&rclk=1"
"Capitol Distributors Corporation","","","Distribution service","5560 58th St, Flushing, NY 11378, United States","","+1 718-326-7802","https://www.google.com/maps/place/Capitol+Distributors+Corporation/data=!4m7!3m6!1s0x89c25ec00e8c8b59:0x4fe282e592b1fd82!8m2!3d40.7260831!4d-73.9125564!16s%2Fg%2F1tfs1_7g!19sChIJWYuMDsBewokRgv2xkuWC4k8?authuser=0&hl=en&rclk=1"
"Ace Distributors Inc","5.0","2","Distribution service","57-41 Penrod St, Corona, NY 11368, United States","http://flyersdistributionnyc.com/","+1 347-685-5109","https://www.google.com/maps/place/Ace+Distributors+Inc/data=!4m7!3m6!1s0x89c25fcda6ced847:0x4848d6a34dc82527!8m2!3d40.739607!4d-73.85554!16s%2Fg%2F11gfdfl3np!19sChIJR9jOps1fwokRJyXITaPWSEg?authuser=0&hl=en&rclk=1"
"K.F. Flooring Distribution Center","","","Warehouse","53-35 97th Pl, Queens, NY 11368, United States","http://www.kfflooring.com/","+1 718-321-1223","https://www.google.com/maps/place/K.F.+Flooring+Distribution+Center/data=!4m7!3m6!1s0x89c25f3462d7294f:0xf87cec01afbcb95f!8m2!3d40.7398268!4d-73.8638849!16s%2Fg%2F11f65t7sdq!19sChIJTynXYjRfwokRX7m8rwHsfPg?authuser=0&hl=en&rclk=1"
"Ontime Distribution Inc.","","","Warehouse","56-25 56th Terrace, Queens, NY 11378, United States","http://www.ontime-usa.com/","+1 718-417-1100","https://www.google.com/maps/place/Ontime+Distribution+Inc./data=!4m7!3m6!1s0x89c2fc5789842857:0x79f13aadfab3cafb!8m2!3d40.7238048!4d-73.9137332!16s%2Fg%2F11gblftnv0!19sChIJVyiEiVf8wokR-8qz-q068Xk?authuser=0&hl=en&rclk=1"
"Corcraft Distribution Center","5.0","1","Distribution service","1006 35th Ave, Astoria, NY 11106, United States","","","https://www.google.com/maps/place/Corcraft+Distribution+Center/data=!4m7!3m6!1s0x89c258cc64423cff:0xf6b32fee42b5d857!8m2!3d40.762888!4d-73.939387!16s%2Fg%2F11hctksptl!19sChIJ_zxCZMxYwokRV9i1Qu4vs_Y?authuser=0&hl=en&rclk=1"
"JCD Distribution, Inc.","5.0","2","Wholesaler","13-20 131st St, Queens, NY 11356, United States","http://jcdus.com/","+1 929-335-7755","https://www.google.com/maps/place/JCD+Distribution,+Inc./data=!4m7!3m6!1s0x89c28b12f22a8f5d:0x6873817ed10d74e1!8m2!3d40.7868595!4d-73.8376333!16s%2Fg%2F11sjwh7kv1!19sChIJXY8q8hKLwokR4XQN0X6Bc2g?authuser=0&hl=en&rclk=1"
"LNA Distributors","1.0","1","Distribution service","4331 165th St, Flushing, NY 11358, United States","","+1 718-445-7124","https://www.google.com/maps/place/LNA+Distributors/data=!4m7!3m6!1s0x89c260318cd22253:0xa19367b2975b5591!8m2!3d40.7575432!4d-73.8012418!16s%2Fg%2F1vpptflw!19sChIJUyLSjDFgwokRkVVbl7Jnk6E?authuser=0&hl=en&rclk=1"
"BCS International Corp.","3.3","39","Food products supplier","47-15 33rd St, Queens, NY 11101, United States","http://www.bcsroyal.com/","+1 718-392-3355","https://www.google.com/maps/place/BCS+International+Corp./data=!4m7!3m6!1s0x89c25ed3937153b7:0x221ce1d455b6386b!8m2!3d40.7423233!4d-73.93174!16s%2Fg%2F1pp2vm1_n!19sChIJt1Nxk9NewokRazi2VdThHCI?authuser=0&hl=en&rclk=1"
"Hillside Beer & Soda Distribution","4.2","18","Beer distributor","26508 Hillside Ave., Queens, NY 11004, United States","","+1 718-347-6220","https://www.google.com/maps/place/Hillside+Beer+%26+Soda+Distribution/data=!4m7!3m6!1s0x89c26261a0e638cf:0x8cdec18397d280c8!8m2!3d40.7381591!4d-73.7032882!16s%2Fg%2F1trprqv0!19sChIJzzjmoGFiwokRyIDSl4PB3ow?authuser=0&hl=en&rclk=1"
"USPS: Queens Processing & Distribution Center","2.5","384","Shipping company","1402 20th Ave, Queens, NY 11356, United States","http://usps.com/","","https://www.google.com/maps/place/USPS:+Queens+Processing+%26+Distribution+Center/data=!4m7!3m6!1s0x89c28aa5a5aaf035:0x6f10d1ae7dcc6485!8m2!3d40.7807684!4d-73.8275849!16s%2Fg%2F1tdkym0g!19sChIJNfCqpaWKwokRhWTMfa7REG8?authuser=0&hl=en&rclk=1"
"State Warehouse Distributors","4.8","11","Warehouse","3346 Prince St, Flushing, NY 11354, United States","http://www.swdcorp.com/","+1 718-353-2525","https://www.google.com/maps/place/State+Warehouse+Distributors/data=!4m7!3m6!1s0x89c26005a5f8c921:0x6c0b72ceed678ac0!8m2!3d40.7652594!4d-73.8335238!16s%2Fg%2F1tfcp7zf!19sChIJIcn4pQVgwokRwIpn7c5yC2w?authuser=0&hl=en&rclk=1"
"Clover Distributor","4.0","1","Distribution service","5149 35th St, Long Island City, NY 11101, United States","","+1 718-729-6721","https://www.google.com/maps/place/Clover+Distributor/data=!4m7!3m6!1s0x89c25ecd21f6c23b:0x251791c313a6d2c0!8m2!3d40.7361549!4d-73.934574!16s%2Fg%2F1td3sd_l!19sChIJO8L2Ic1ewokRwNKmE8ORFyU?authuser=0&hl=en&rclk=1"
"Brooklyn Distribution Center","2.1","47","Distribution service","1194 Metropolitan Ave, Brooklyn, NY 11237, United States","","+1 718-497-1385","https://www.google.com/maps/place/Brooklyn+Distribution+Center/data=!4m7!3m6!1s0x89c25eaebcfd0b55:0x18082b713e29362e!8m2!3d40.7139674!4d-73.9292447!16s%2Fg%2F1tff8jmj!19sChIJVQv9vK5ewokRLjYpPnErCBg?authuser=0&hl=en&rclk=1"
"Distribution International","3.8","6","Industrial equipment supplier","56-23 55th Ave, Flushing, NY 11378, United States","https://www.distributioninternational.com/","+1 718-894-2345","https://www.google.com/maps/place/Distribution+International/data=!4m7!3m6!1s0x89c25ec034f7805b:0x79486b86a98f5367!8m2!3d40.7281584!4d-73.9140428!16s%2Fg%2F1tftm3mw!19sChIJW4D3NMBewokRZ1OPqYZrSHk?authuser=0&hl=en&rclk=1"
"National Distribution Warehouse","3.7","3","Distribution service","1850 Utica Ave, Brooklyn, NY 11234, United States","","+1 718-251-0096","https://www.google.com/maps/place/National+Distribution+Warehouse/data=!4m7!3m6!1s0x89c24334d7c5faa7:0xb4cacd76947e813e!8m2!3d40.6271084!4d-73.9280874!16s%2Fg%2F1tg4xrpt!19sChIJp_rF1zRDwokRPoF-lHbNyrQ?authuser=0&hl=en&rclk=1"
"L&R Distributors Inc.","3.8","8","Distribution service","88 35th St, Brooklyn, NY 11232, United States","http://www.lrdist.com/","+1 718-272-2100","https://www.google.com/maps/place/L%26R+Distributors+Inc./data=!4m7!3m6!1s0x89c25ceae19b3135:0xb4755685ebc0520b!8m2!3d40.6564158!4d-74.0067845!16s%2Fg%2F11fxvn09ms!19sChIJNTGb4epcwokRC1LA64VWdbQ?authuser=0&hl=en&rclk=1"
"Rite Way Wholesale Inc.","4.3","7","Wholesaler","48-25 Metropolitan Ave, Queens, NY 11385, United States","http://www.ritewaywholesale.com/","+1 718-417-8886","https://www.google.com/maps/place/Rite+Way+Wholesale+Inc./data=!4m7!3m6!1s0x89c25ea30b8c77b1:0x65e0187a95bb7846!8m2!3d40.714911!4d-73.916822!16s%2Fg%2F1vfwdsd_!19sChIJsXeMC6NewokRRni7lXoY4GU?authuser=0&hl=en&rclk=1"
