Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Home Helpers Home Care of Mineola, NY","4.6","24","Home health care service","","https://www.homehelpershomecare.com/mineola-ny/","+1 516-344-8811","https://www.google.com/maps/place/Home+Helpers+Home+Care+of+Mineola,+NY/data=!4m7!3m6!1s0x89c263729c021251:0xe1b05073eef106a3!8m2!3d40.7114289!4d-73.7053535!16s%2Fg%2F11fm_461vz!19sChIJURICnHJjwokRowbx7nNQsOE?authuser=0&hl=en&rclk=1"
"North Shore Home Care","3.3","7","Home health care service","972 Brush Hollow Rd, Westbury, NY 11590, United States","https://profiles.health.ny.gov/home_care/view/14035","+1 516-876-5300","https://www.google.com/maps/place/North+Shore+Home+Care/data=!4m7!3m6!1s0x89c286d57a8c5327:0xafa286518768d858!8m2!3d40.7730512!4d-73.5613625!16s%2Fg%2F1264jvwjx!19sChIJJ1OMetWGwokRWNhoh1GGoq8?authuser=0&hl=en&rclk=1"
"Guardian Angel Home Care, LLC","5.0","1","Home health care service","","","+1 800-739-8837","https://www.google.com/maps/place/Guardian+Angel+Home+Care,+LLC/data=!4m7!3m6!1s0x89c2876ab43fdd85:0x616b0c8cf0e0bbc6!8m2!3d40.7529144!4d-73.5818874!16s%2Fg%2F11c1x00vy2!19sChIJhd0_tGqHwokRxrvg8IwMa2E?authuser=0&hl=en&rclk=1"
"Galaxy Home Care of Nassau County","","","Home health care service","175 Fulton Ave Suite 202, Hempstead, NY 11550, United States","https://galaxyhomecareny.com/nassau/?utm_source=google&utm_medium=organic&utm_campaign=google-maps","+1 516-708-0900","https://www.google.com/maps/place/Galaxy+Home+Care+of+Nassau+County/data=!4m7!3m6!1s0x89c27dab8982a925:0xd73891fe0449598e!8m2!3d40.7078642!4d-73.6295536!16s%2Fg%2F11jz13srpx!19sChIJJamCiat9wokRjllJBP6RONc?authuser=0&hl=en&rclk=1"
"Better Home Health Care","4.7","41","Home health care service","202 Merrick Rd, Rockville Centre, NY 11570, United States","http://www.betterhomecare.com/?y_source=1_MTUzNTQ4ODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 516-763-3260","https://www.google.com/maps/place/Better+Home+Health+Care/data=!4m7!3m6!1s0x89c27b4fc7ac0f4b:0xc102c7249cc54645!8m2!3d40.6566031!4d-73.6484548!16s%2Fg%2F1tf0rjxc!19sChIJSw-sx097wokRRUbFnCTHAsE?authuser=0&hl=en&rclk=1"
"Homewatch CareGivers of Nassau County","4.8","39","Home health care service","68 E Marie St, Hicksville, NY 11801, United States","https://www.homewatchcaregivers.com/nassau-county/?utm_source=GMB&utm_medium=organic&utm_campaign=hicksville","+1 516-217-8506","https://www.google.com/maps/place/Homewatch+CareGivers+of+Nassau+County/data=!4m7!3m6!1s0x89c287169c1993b3:0x39254ae8ed43bebd!8m2!3d40.7682451!4d-73.5207931!16s%2Fg%2F1ydpk9btn!19sChIJs5MZnBaHwokRvb5D7ehKJTk?authuser=0&hl=en&rclk=1"
"Cottage Home Care Services","4.6","127","Home health care service","","http://www.cottagehomecare.com/","+1 800-499-9963","https://www.google.com/maps/place/Cottage+Home+Care+Services/data=!4m7!3m6!1s0x89c2820a8609bb55:0xc177018b1d63c092!8m2!3d41.5068609!4d-72.9098014!16s%2Fg%2F1hc2tp2vs!19sChIJVbsJhgqCwokRksBjHYsBd8E?authuser=0&hl=en&rclk=1"
"South Nassau Communities Hospital Certified Home Health Agency","","","Home health care service","1000 S Oyster Bay Rd, Hicksville, NY 11801, United States","https://www.southnassau.org/sn/home-health-care","+1 516-377-5000","https://www.google.com/maps/place/South+Nassau+Communities+Hospital+Certified+Home+Health+Agency/data=!4m7!3m6!1s0x63fbaa62e15b80fd:0x466e9eb5be16d59b!8m2!3d40.7546887!4d-73.5030884!16s%2Fg%2F11sz2y4qy_!19sChIJ_YBb4WKq-2MRm9UWvrWebkY?authuser=0&hl=en&rclk=1"
"Care Connection Home Care LLC","5.0","10","Home health care service","1100 Wantagh Ave, Wantagh, NY 11793, United States","https://careconnectionhomecare.com/","+1 516-308-4633","https://www.google.com/maps/place/Care+Connection+Home+Care+LLC/data=!4m7!3m6!1s0x89c27f146e7a70ff:0xbca600772a43b96a!8m2!3d40.6964486!4d-73.5075295!16s%2Fg%2F11nn2mfykz!19sChIJ_3B6bhR_wokRarlDKncAprw?authuser=0&hl=en&rclk=1"
"HomeCare Live Inc.","","","Home health care service","","http://homecaregood.com/","+1 516-856-7199","https://www.google.com/maps/place/HomeCare+Live+Inc./data=!4m7!3m6!1s0x4942d27dc25d0345:0xdbec3e89bd5c8762!8m2!3d40.6334684!4d-73.6405794!16s%2Fg%2F11sghz6rnf!19sChIJRQNdwn3SQkkRYodcvYk-7Ns?authuser=0&hl=en&rclk=1"
"Generations Home Care","4.5","6","Home health care service","246 Mineola Blvd Suite 104B, Mineola, NY 11501, United States","http://generationshomecareny.com/","+1 516-849-1226","https://www.google.com/maps/place/Generations+Home+Care/data=!4m7!3m6!1s0x89c27b5304060481:0xdc8e6335c78d9faa!8m2!3d40.7471895!4d-73.6428823!16s%2Fg%2F11fnr7whpt!19sChIJgQQGBFN7wokRqp-NxzVjjtw?authuser=0&hl=en&rclk=1"
"Precious Pearls Home Health Care","4.8","27","Home health care service","2570 N Jerusalem Rd, North Bellmore, NY 11710, United States","https://preciouspearlshomecare.com/","+1 516-221-4500","https://www.google.com/maps/place/Precious+Pearls+Home+Health+Care/data=!4m7!3m6!1s0x89c27fccf4add5a5:0x26bf2bba9f29de53!8m2!3d40.7058633!4d-73.539664!16s%2Fg%2F11gy7989nq!19sChIJpdWt9Mx_wokRU94pn7orvyY?authuser=0&hl=en&rclk=1"
"Friends for Life Homecare & Medicaid Consultants","5.0","29","Home health care service","5501 Merrick Rd, Massapequa, NY 11758, United States","http://friendsforlifeny.com/","+1 516-614-5396","https://www.google.com/maps/place/Friends+for+Life+Homecare+%26+Medicaid+Consultants/data=!4m7!3m6!1s0x89e9d5902c2cc703:0x82d2df5741fee8e6!8m2!3d40.6689896!4d-73.4349623!16s%2Fg%2F113htw4hx!19sChIJA8csLJDV6YkR5uj-QVff0oI?authuser=0&hl=en&rclk=1"
"Jzanus Home Care, Inc.","4.7","89","Home health care service","170 Jericho Turnpike, Floral Park, NY 11001, United States","https://jzanushomecare.com/","+1 516-437-4747","https://www.google.com/maps/place/Jzanus+Home+Care,+Inc./data=!4m7!3m6!1s0x89c2625911871e13:0xcb9f687cebcf27db!8m2!3d40.7282374!4d-73.7046832!16s%2Fg%2F1thcnp_l!19sChIJEx6HEVliwokR2yfP63xon8s?authuser=0&hl=en&rclk=1"
"Right at Home","4.1","8","Home health care service","400 Post Ave Ste 302, Westbury, NY 11590, United States","https://www.rightathome.net/north-shore-long-island/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=1219","+1 516-513-1070","https://www.google.com/maps/place/Right+at+Home/data=!4m7!3m6!1s0x89c280e088cfb9e1:0x70c04ce88b5c2b12!8m2!3d40.7627324!4d-73.5863515!16s%2Fg%2F1q6kk5bx_!19sChIJ4bnPiOCAwokREitci-hMwHA?authuser=0&hl=en&rclk=1"
