Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Today's Homecare, Inc.","5.0","2","Home health care service","70-09 Austin St 2nd floor, Queens, NY 11375, United States","http://www.todayshc.com/","+1 718-650-3558","https://www.google.com/maps/place/Today%27s+Homecare,+Inc./data=!4m7!3m6!1s0x89c25f7ecfcd207b:0x990050037c088cb7!8m2!3d40.7209913!4d-73.8465745!16s%2Fg%2F11frthn0l5!19sChIJeyDNz35fwokRt4wIfANQAJk?authuser=0&hl=en&rclk=1"
"Link Homecare","4.8","511","Home health care service","103-15 101st St, Queens, NY 11417, United States","https://linkhomecare.com/","+1 718-843-1333","https://www.google.com/maps/place/Link+Homecare/data=!4m7!3m6!1s0x89c267411696dfad:0x68e249b66e957f0a!8m2!3d40.683087!4d-73.8401219!16s%2Fg%2F11csqzl7rf!19sChIJrd-WFkFnwokRCn-VbrZJ4mg?authuser=0&hl=en&rclk=1"
"True Care Home Care - Queens","4.8","259","Home health care service","92-10 165th St, Queens, NY 11433, United States","https://www.truecareny.com/","+1 347-899-4565","https://www.google.com/maps/place/True+Care+Home+Care+-+Queens/data=!4m7!3m6!1s0x89c2611199d8d297:0x51eca58ad765332c!8m2!3d40.7051078!4d-73.7947694!16s%2Fg%2F11hzbw3fph!19sChIJl9LYmRFhwokRLDNl14ql7FE?authuser=0&hl=en&rclk=1"
"Queens Home Health Care Services","5.0","5","Home health care service","79-1 Albion Ave #145, Queens, NY 11373, United States","","+1 917-993-7457","https://www.google.com/maps/place/Queens+Home+Health+Care+Services/data=!4m7!3m6!1s0x89c25f1d598d6685:0xc67d3634e4004df6!8m2!3d40.7387163!4d-73.8858409!16s%2Fg%2F11h7rqhpzj!19sChIJhWaNWR1fwokR9k0A5DQ2fcY?authuser=0&hl=en&rclk=1"
"Special Touch Home Care Services - CDPAP and HHA Services","4.6","44","Home health care service","92-12 147th Pl 2nd Floor, Queens, NY 11435, United States","https://www.specialtouchhomecare.com/","+1 718-627-1122","https://www.google.com/maps/place/Special+Touch+Home+Care+Services+-+CDPAP+and+HHA+Services/data=!4m7!3m6!1s0x89c2600ff2db78fb:0x7fb02ce487664839!8m2!3d40.701497!4d-73.8070332!16s%2Fg%2F11bbyjzmcw!19sChIJ-3jb8g9gwokROUhmh-QssH8?authuser=0&hl=en&rclk=1"
"Queens Home Care Agency","5.0","5","Home health care service","72-16 Roosevelt Ave suite 205, Queens, NY 11372, United States","http://housecallshc.org/","+1 917-993-7149","https://www.google.com/maps/place/Queens+Home+Care+Agency/data=!4m7!3m6!1s0x89c25ff19fb0789f:0xa37602f81a685b3a!8m2!3d40.7464745!4d-73.892856!16s%2Fg%2F11q3sp_t9z!19sChIJn3iwn_FfwokROltoGvgCdqM?authuser=0&hl=en&rclk=1"
"DHCare Licensed Home Care Agency","5.0","223","Home health care service","172-15 Hillside Ave., Queens, NY 11432, United States","https://www.dhcareny.com/","+1 718-459-0180","https://www.google.com/maps/place/DHCare+Licensed+Home+Care+Agency/data=!4m7!3m6!1s0x89c25e49eca51467:0x4213ea6bb29a2a6c!8m2!3d40.7120627!4d-73.7897882!16s%2Fg%2F11f1km33lm!19sChIJZxSl7ElewokRbCqasmvqE0I?authuser=0&hl=en&rclk=1"
"Home Sheba Home Care Agency Queens","5.0","10","Home health care service","3432 58th St apt #2, Queens, NY 11377, United States","https://homeshebas.com/","+1 347-891-6577","https://www.google.com/maps/place/Home+Sheba+Home+Care+Agency+Queens/data=!4m7!3m6!1s0x6f33bf1acd5ed5ff:0xc25a63401c530681!8m2!3d40.7510001!4d-73.9042573!16s%2Fg%2F11s84jtc5l!19sChIJ_9VezRq_M28RgQZTHEBjWsI?authuser=0&hl=en&rclk=1"
"Global Home Care I Queens","5.0","3","Home health care service","97-13 64th Rd, Rego Park, NY 11374, United States","http://globalhomecare.us/","+1 718-872-6494","https://www.google.com/maps/place/Global+Home+Care+I+Queens/data=!4m7!3m6!1s0x89c25fdc1aff374d:0x2b11a218abf4510!8m2!3d40.7295724!4d-73.8590207!16s%2Fg%2F11j4s_5g9t!19sChIJTTf_GtxfwokREEW_iiEasQI?authuser=0&hl=en&rclk=1"
"Personal-Touch Home Care","3.9","176","Home health care service","36-36 33rd St, Queens, NY 11106, United States","http://www.pthomecare.com/","+1 718-468-2500","https://www.google.com/maps/place/Personal-Touch+Home+Care/data=!4m7!3m6!1s0x89c261126a10bea7:0xa10c167cc96a1d7b!8m2!3d40.7548967!4d-73.9291936!16s%2Fg%2F1ttyxnhb!19sChIJp74QahJhwokRex1qyXwWDKE?authuser=0&hl=en&rclk=1"
"Blossom Home Care","4.4","70","Home health care service","113-13 76th Rd, Queens, NY 11375, United States","https://blossomhc.net/","+1 718-732-0100","https://www.google.com/maps/place/Blossom+Home+Care/data=!4m7!3m6!1s0x89c25f4f68c2141f:0x951c652ea3a81018!8m2!3d40.7182702!4d-73.8339737!16s%2Fg%2F11ggs0kbwf!19sChIJHxTCaE9fwokRGBCooy5lHJU?authuser=0&hl=en&rclk=1"
"House Calls Home Care","4.9","119","Home health care service","90-50 Sutphin Blvd, Jamaica, NY 11435, United States","http://housecallshc.org/","+1 718-922-9200","https://www.google.com/maps/place/House+Calls+Home+Care/data=!4m7!3m6!1s0x89c261a9ee828545:0xa1a042cf9b5fd536!8m2!3d40.7015786!4d-73.8081539!16s%2Fg%2F11g1ggh0fs!19sChIJRYWC7qlhwokRNtVfm89CoKE?authuser=0&hl=en&rclk=1"
"Preferred Home Care of New York - Queens","3.4","42","Home health care service","147-30 Jamaica Ave, Queens, NY 11435, United States","https://preferredhcny.com/","+1 718-841-8000","https://www.google.com/maps/place/Preferred+Home+Care+of+New+York+-+Queens/data=!4m7!3m6!1s0x89c25f3d3b07d46d:0x2af8e5b20ed26837!8m2!3d40.7016542!4d-73.8067531!16s%2Fg%2F11fjv_4gm1!19sChIJbdQHOz1fwokRN2jSDrLl-Co?authuser=0&hl=en&rclk=1"
"Home Health Care Agency Queens","5.0","4","Home health care service","126-12 34th Ave #147, Corona, NY 11368, United States","http://homehealthcareagencyny.com/","","https://www.google.com/maps/place/Home+Health+Care+Agency+Queens/data=!4m7!3m6!1s0x89c25f7a9fa7abb7:0xaef6fce254885a07!8m2!3d40.7596953!4d-73.844779!16s%2Fg%2F11fnw0n0tq!19sChIJt6unn3pfwokRB1qIVOL89q4?authuser=0&hl=en&rclk=1"
"Elite Home Health Care","4.9","219","Home health care service","121-17 Liberty Ave Suite 2, Queens, NY 11419, United States","https://www.elitehhc.com/?y_source=1_MTM2Njc2MzctNzE1LWxvY2F0aW9uLndlYnNpdGU=","+1 718-925-2528","https://www.google.com/maps/place/Elite+Home+Health+Care/data=!4m7!3m6!1s0x89c25f094cd321df:0x9c7c48a355577ef4!8m2!3d40.6873443!4d-73.8218407!16s%2Fg%2F11fmjpn17d!19sChIJ3yHTTAlfwokR9H5XVaNIfJw?authuser=0&hl=en&rclk=1"
"Infiniti Home Care, Inc DBA Continental Home Care","4.3","116","Home health care service","116-55 Queens Blvd #224, Queens, NY 11375, United States","http://www.continentalhcny.com/","+1 718-544-4488","https://www.google.com/maps/place/Infiniti+Home+Care,+Inc+DBA+Continental+Home+Care/data=!4m7!3m6!1s0x89c260984526e1b7:0x7d676364c50e8f9b!8m2!3d40.7156451!4d-73.832238!16s%2Fg%2F1td7d1zs!19sChIJt-EmRZhgwokRm48OxWRjZ30?authuser=0&hl=en&rclk=1"
"Bena Home Care Agency","4.7","32","Home health care service","116-07 Liberty Ave, Queens, NY 11419, United States","http://benahomecare.com/","+1 718-323-3050","https://www.google.com/maps/place/Bena+Home+Care+Agency/data=!4m7!3m6!1s0x89c26716039c2b7b:0xf0d61a19e029c031!8m2!3d40.6860815!4d-73.8265937!16s%2Fg%2F11hdr6gs_9!19sChIJeyucAxZnwokRMcAp4Bka1vA?authuser=0&hl=en&rclk=1"
"CDPAP FreedomCare - Queens","4.7","562","Home health care service","118-35 Queens Blvd Suite 414, Queens, NY 11375, United States","https://freedomcare.com/","+1 718-514-2199","https://www.google.com/maps/place/CDPAP+FreedomCare+-+Queens/data=!4m7!3m6!1s0x89c244a1a58e4853:0x7994c2e72a33524a!8m2!3d40.7147939!4d-73.8311815!16s%2Fg%2F11by_dbn_c!19sChIJU0iOpaFEwokRSlIzKufClHk?authuser=0&hl=en&rclk=1"
"C&T Home Care","4.4","111","Home health care service","175-61 Hillside Ave. Suite 403, Queens, NY 11432, United States","https://www.candthomecare.com/","+1 718-424-4200","https://www.google.com/maps/place/C%26T+Home+Care/data=!4m7!3m6!1s0x89c2611a2c7be5db:0xd53b35a4fde09079!8m2!3d40.7124396!4d-73.7858209!16s%2Fg%2F11g0k21p2q!19sChIJ2-V7LBphwokReZDg_aQ1O9U?authuser=0&hl=en&rclk=1"
"Amazing Homecare","3.1","21","Home health care service","146-19 Archer Ave, Queens, NY 11435, United States","https://amazinghomecare.com/","+1 718-206-3050","https://www.google.com/maps/place/Amazing+Homecare/data=!4m7!3m6!1s0x89c260c548fdaad9:0x9495d27079fed243!8m2!3d40.7008667!4d-73.8075986!16s%2Fg%2F1tcx7yk6!19sChIJ2ar9SMVgwokRQ9L-eXDSlZQ?authuser=0&hl=en&rclk=1"
"Caring Professionals Home Care Agency","4.5","284","Home health care service","70-20 Austin St #135, Queens, NY 11375, United States","https://www.caringprofessionals.com/contact-page/","+1 718-897-2273","https://www.google.com/maps/place/Caring+Professionals+Home+Care+Agency/data=!4m7!3m6!1s0x89c25e214a193591:0xaa40139afadf7c8a!8m2!3d40.7205894!4d-73.8464497!16s%2Fg%2F1wc324y5!19sChIJkTUZSiFewokRinzf-poTQKo?authuser=0&hl=en&rclk=1"
"Caring Professionals Home Care Agency","4.5","284","Home health care service","70-20 Austin St #135, Queens, NY 11375, United States","https://www.caringprofessionals.com/contact-page/","+1 718-897-2273","https://www.google.com/maps/place/Caring+Professionals+Home+Care+Agency/data=!4m7!3m6!1s0x89c25e214a193591:0xaa40139afadf7c8a!8m2!3d40.7205894!4d-73.8464497!16s%2Fg%2F1wc324y5!19sChIJkTUZSiFewokRinzf-poTQKo?authuser=0&hl=en&rclk=1"
"Addus HomeCare","3.8","24","Home health care service","116-08 Myrtle Ave, Richmond Hill, NY 11418, United States","https://addus.com/?y_source=1_MTQ4MTI3ODgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 718-847-8700","https://www.google.com/maps/place/Addus+HomeCare/data=!4m7!3m6!1s0x89c260ae66e9733b:0x622ca520174c6691!8m2!3d40.7000084!4d-73.8335899!16s%2Fg%2F1tn4z26w!19sChIJO3PpZq5gwokRkWZMFyClLGI?authuser=0&hl=en&rclk=1"
"Home Health Care Queens","5.0","3","Home health care service","","http://housecallshc.org/","+1 917-963-8634","https://www.google.com/maps/place/Home+Health+Care+Queens/data=!4m7!3m6!1s0x89c259c40565c963:0xef7782ceca08cc86!8m2!3d40.651018!4d-73.871192!16s%2Fg%2F11j5cmgt3c!19sChIJY8llBcRZwokRhswIys6Cd-8?authuser=0&hl=en&rclk=1"
"M&N Home Care","4.4","26","Home health care service","168-29 Hillside Ave. 2nd floor, Queens, NY 11432, United States","http://www.mnnhomecare.com/","+1 866-218-0358","https://www.google.com/maps/place/M%26N+Home+Care/data=!4m7!3m6!1s0x89c261126f021cc3:0xf4b4c0f319db8ca4!8m2!3d40.7106182!4d-73.7938635!16s%2Fg%2F11g_xzdtmk!19sChIJwxwCbxJhwokRpIzbGfPAtPQ?authuser=0&hl=en&rclk=1"
"Caring Home Care","4.6","52","Home health care service","105-05 Cross Bay Blvd, Ozone Park, NY 11417, United States","http://caringhcny.org/","+1 718-822-7464","https://www.google.com/maps/place/Caring+Home+Care/data=!4m7!3m6!1s0x89c267493fc37081:0x497bf0d8e5405077!8m2!3d40.6800474!4d-73.8441216!16s%2Fg%2F1vrqbkj0!19sChIJgXDDP0lnwokRd1BA5djwe0k?authuser=0&hl=en&rclk=1"
"Perfect Gentle Hands Home Care LLC","4.3","12","Home health care service","92-11 172nd St, Jamaica, NY 11433, United States","http://www.gentlehandshomecare.net/","+1 347-809-4407","https://www.google.com/maps/place/Perfect+Gentle+Hands+Home+Care+LLC/data=!4m7!3m6!1s0x89c261220bfe85db:0x90b08ec948a3ee0!8m2!3d40.707282!4d-73.787634!16s%2Fg%2F1pp2xbqsk!19sChIJ24X-CyJhwokR4D6KlOwICwk?authuser=0&hl=en&rclk=1"
"International Home Care Services of NewYork, LLC","4.1","18","Home health care service","9777 Queens Blvd, Rego Park, NY 11374, United States","http://www.ihcsofny.com/","+1 718-459-4663","https://www.google.com/maps/place/International+Home+Care+Services+of+NewYork,+LLC/data=!4m7!3m6!1s0x89c25e30c3806ba9:0xc0b9ca1ad4021169!8m2!3d40.729156!4d-73.8584415!16s%2Fg%2F11h3vc5qqz!19sChIJqWuAwzBewokRaREC1BrKucA?authuser=0&hl=en&rclk=1"
"Help Home Care","5.0","26","Home health care service","37-62 85th St, Queens, NY 11372, United States","https://helphomecare.net/","+1 718-600-2454","https://www.google.com/maps/place/Help+Home+Care/data=!4m7!3m6!1s0x89c25faf1ebc29ad:0xca2779a8ae964ec!8m2!3d40.7482089!4d-73.8813981!16s%2Fg%2F11k5lv0y40!19sChIJrSm8Hq9fwokR7GTpipp3ogw?authuser=0&hl=en&rclk=1"
"Marks Home Care Agency (Corona)","4.8","92","Home health care service","4004 Junction Blvd, Queens, NY 11368, United States","http://www.markshhc.com/","+1 718-713-0005","https://www.google.com/maps/place/Marks+Home+Care+Agency+%28Corona%29/data=!4m7!3m6!1s0x89c25fc1d849bc95:0x5c93e0f5094a7e6c!8m2!3d40.7488661!4d-73.8695063!16s%2Fg%2F11h84smqr7!19sChIJlbxJ2MFfwokRbH5KCfXgk1w?authuser=0&hl=en&rclk=1"
"Above All Home Health Care Services Inc.","4.7","17","Home health care service","86-15 65th Dr, Rego Park, NY 11374, United States","http://aboveallhomehealthcare.com/","+1 718-841-7551","https://www.google.com/maps/place/Above+All+Home+Health+Care+Services+Inc./data=!4m7!3m6!1s0x89c25e348d85bafd:0x870d6206935b7e03!8m2!3d40.720256!4d-73.862577!16s%2Fg%2F11ghr0_bnx!19sChIJ_bqFjTRewokRA35bkwZiDYc?authuser=0&hl=en&rclk=1"
