Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Galaxy Home Care of Nassau County","","","Home health care service","175 Fulton Ave Suite 202, Hempstead, NY 11550, United States","https://galaxyhomecareny.com/nassau/?utm_source=google&utm_medium=organic&utm_campaign=google-maps","+1 516-708-0900","https://www.google.com/maps/place/Galaxy+Home+Care+of+Nassau+County/data=!4m7!3m6!1s0x89c27dab8982a925:0xd73891fe0449598e!8m2!3d40.7078642!4d-73.6295536!16s%2Fg%2F11jz13srpx!19sChIJJamCiat9wokRjllJBP6RONc?authuser=0&hl=en&rclk=1"
"Home Helpers Home Care of Mineola, NY","4.6","24","Home health care service","","https://www.homehelpershomecare.com/mineola-ny/","+1 516-344-8811","https://www.google.com/maps/place/Home+Helpers+Home+Care+of+Mineola,+NY/data=!4m7!3m6!1s0x89c263729c021251:0xe1b05073eef106a3!8m2!3d40.7114289!4d-73.7053535!16s%2Fg%2F11fm_461vz!19sChIJURICnHJjwokRowbx7nNQsOE?authuser=0&hl=en&rclk=1"
"Better Home Health Care","4.7","41","Home health care service","202 Merrick Rd, Rockville Centre, NY 11570, United States","http://www.betterhomecare.com/?y_source=1_MTUzNTQ4ODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","+1 516-763-3260","https://www.google.com/maps/place/Better+Home+Health+Care/data=!4m7!3m6!1s0x89c27b4fc7ac0f4b:0xc102c7249cc54645!8m2!3d40.6566031!4d-73.6484548!16s%2Fg%2F1tf0rjxc!19sChIJSw-sx097wokRRUbFnCTHAsE?authuser=0&hl=en&rclk=1"
"Right at Home","4.1","35","Home health care service","754 Old Country Rd, Plainview, NY 11803, United States","https://www.rightathome.net/nassau-suffolk/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=1390","+1 516-719-5999","https://www.google.com/maps/place/Right+at+Home/data=!4m7!3m6!1s0x89c281c518fbcb0b:0x810ae13418b234f7!8m2!3d40.7732672!4d-73.4868954!16s%2Fg%2F1q6cb9lwx!19sChIJC8v7GMWBwokR9zSyGDThCoE?authuser=0&hl=en&rclk=1"
"Angels Care","","","Home health care service","","","+1 516-567-8047","https://www.google.com/maps/place/Angels+Care/data=!4m7!3m6!1s0x6e783ae9ed7cd3e9:0x6792392ee1b67aac!8m2!3d40.754757!4d-73.601734!16s%2Fg%2F11swxhf87f!19sChIJ6dN87ek6eG4RrHq24S45kmc?authuser=0&hl=en&rclk=1"
"Axis Care Coordination","","","Home health care service","260 Doughty Blvd Suite 2, Inwood, NY 11096, United States","https://axiscareco.com/","+1 516-206-0807","https://www.google.com/maps/place/Axis+Care+Coordination/data=!4m7!3m6!1s0x89c2651357e1fc7b:0x66fbfe379c7d08bf!8m2!3d40.6187074!4d-73.7463607!16s%2Fg%2F11vcmt8y32!19sChIJe_zhVxNlwokRvwh9nDf--2Y?authuser=0&hl=en&rclk=1"
"Guardian Angel Home Care, LLC","5.0","1","Home health care service","","","+1 800-739-8837","https://www.google.com/maps/place/Guardian+Angel+Home+Care,+LLC/data=!4m7!3m6!1s0x89c2876ab43fdd85:0x616b0c8cf0e0bbc6!8m2!3d40.7529144!4d-73.5818874!16s%2Fg%2F11c1x00vy2!19sChIJhd0_tGqHwokRxrvg8IwMa2E?authuser=0&hl=en&rclk=1"
"Home Helpers Home Care of Huntington, NY","4.9","36","Home health care service","","https://www.homehelpershomecare.com/huntington-ny/","+1 631-212-1717","https://www.google.com/maps/place/Home+Helpers+Home+Care+of+Huntington,+NY/data=!4m7!3m6!1s0x89e829478c496eb3:0xe2448f96d145e6f6!8m2!3d40.8021056!4d-73.325137!16s%2Fg%2F11fkjpb70p!19sChIJs25JjEcp6IkR9uZF0ZaPROI?authuser=0&hl=en&rclk=1"
"Universal Care NY, LLC","5.0","15","Home health care service","","https://www.universalcareny.com/","+1 516-368-4799","https://www.google.com/maps/place/Universal+Care+NY,+LLC/data=!4m7!3m6!1s0xa573a7b58afda4b1:0x6dce46899c3f972e!8m2!3d40.9000905!4d-72.9123639!16s%2Fg%2F11q2ss8_vt!19sChIJsaT9irWnc6URLpc_nIlGzm0?authuser=0&hl=en&rclk=1"
"TheKey by Home Care Assistance","3.7","9","Home health care service","888 Veterans Memorial Hwy Suite 320, Hauppauge, NY 11788, United States","https://thekey.com/suffolk-county?utm_source=gmb&utm_medium=Yext","+1 631-894-9630","https://www.google.com/maps/place/TheKey+by+Home+Care+Assistance/data=!4m7!3m6!1s0x89e83f767783d919:0xa4f373c2ab5c64dd!8m2!3d40.8188126!4d-73.2021648!16s%2Fg%2F11c1sjwzbh!19sChIJGdmDd3Y_6IkR3WRcq8Jz86Q?authuser=0&hl=en&rclk=1"
"Freedom Care - CDPAP Agency Suffolk Office","4.8","650","Home health care service","445 Broadhollow Rd #25, Melville, NY 11747, United States","https://freedomcare.com/","+1 718-989-3734","https://www.google.com/maps/place/Freedom+Care+-+CDPAP+Agency+Suffolk+Office/data=!4m7!3m6!1s0x89e82a34e6969ff1:0x43fae265b7537154!8m2!3d40.7752145!4d-73.4197939!16s%2Fg%2F11ggm4216h!19sChIJ8Z-W5jQq6IkRVHFTt2Xi-kM?authuser=0&hl=en&rclk=1"
"The Helpful Care Company Inc.","5.0","2","Home health care service","129 Broadway, Lynbrook, NY 11563, United States","http://helpfulcare.com/","+1 516-599-5870","https://www.google.com/maps/place/The+Helpful+Care+Company+Inc./data=!4m7!3m6!1s0x89c264be32ddc8b1:0x74343207be496a7f!8m2!3d40.6543948!4d-73.6763029!16s%2Fg%2F1tmy5zsc!19sChIJscjdMr5kwokRf2pJvgcyNHQ?authuser=0&hl=en&rclk=1"
"Right at Home","4.1","8","Home health care service","400 Post Ave Ste 302, Westbury, NY 11590, United States","https://www.rightathome.net/north-shore-long-island/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=1219","+1 516-513-1070","https://www.google.com/maps/place/Right+at+Home/data=!4m7!3m6!1s0x89c280e088cfb9e1:0x70c04ce88b5c2b12!8m2!3d40.7627324!4d-73.5863515!16s%2Fg%2F1q6kk5bx_!19sChIJ4bnPiOCAwokREitci-hMwHA?authuser=0&hl=en&rclk=1"
"Friends For Life Homecare & Medicaid Consultants","4.8","32","Home health care service","1045 B Park Blvd, Massapequa Park, NY 11762, United States","http://www.friendsforlifeny.com/","+1 516-614-5396","https://www.google.com/maps/place/Friends+For+Life+Homecare+%26+Medicaid+Consultants/data=!4m7!3m6!1s0x89e9d5784221a90f:0x22dce8295c10abf8!8m2!3d40.6801984!4d-73.4551149!16s%2Fg%2F11g6lx8xsk!19sChIJD6khQnjV6YkR-KsQXCno3CI?authuser=0&hl=en&rclk=1"
"All Metro Health Care","2.4","41","Home health care service","170 Earle Ave, Lynbrook, NY 11563, United States","http://www.all-metro.com/","+1 516-887-1200","https://www.google.com/maps/place/All+Metro+Health+Care/data=!4m7!3m6!1s0x89c264be98d1092f:0xcc2f00548be0c694!8m2!3d40.6569423!4d-73.6682525!16s%2Fg%2F11bzrj9tt5!19sChIJLwnRmL5kwokRlMbgi1QAL8w?authuser=0&hl=en&rclk=1"
