Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Northwell Health Labs at Bayside","4.8","431","Medical laboratory","23-91 Bell Blvd, Bayside, NY 11361, United States","https://www.northwell.edu/northwell-health-labs/locations/bayside?utm_source=provider_listing&utm_medium=partner&utm_campaign=doctor_dot_com","+1 718-631-4930","https://www.google.com/maps/place/Northwell+Health+Labs+at+Bayside/data=!4m7!3m6!1s0x89c28b58ab6d9cf1:0xdc92586109b8ab35!8m2!3d40.7798331!4d-73.7751313!16s%2Fg%2F11g1_x1lw5!19sChIJ8Zxtq1iLwokRNau4CWFYktw?authuser=0&hl=en&rclk=1"
"Northshore Health Systems Lab","","","Medical laboratory","23-91 Bell Blvd, Bayside, NY 11360, United States","","+1 718-631-4930","https://www.google.com/maps/place/Northshore+Health+Systems+Lab/data=!4m7!3m6!1s0x89c28a6b8a72f805:0x5de5a05dd342a5d9!8m2!3d40.7662472!4d-73.7726968!16s%2Fg%2F1tj9cy4z!19sChIJBfhyimuKwokR2aVC012g5V0?authuser=0&hl=en&rclk=1"
"Northwell Health Labs at 170 East 77th Street","4.9","653","Medical laboratory","170 E 77th St, New York, NY 10075, United States","https://www.northwell.edu/northwell-health-labs/locations/170-east-77th-street?utm_source=provider_listing&utm_medium=partner&utm_campaign=doctor_dot_com","+1 646-590-0495","https://www.google.com/maps/place/Northwell+Health+Labs+at+170+East+77th+Street/data=!4m7!3m6!1s0x89c259fbedc7d127:0xa75a89979d13195e!8m2!3d40.7731496!4d-73.9591955!16s%2Fg%2F11gk5r60zj!19sChIJJ9HH7ftZwokRXhkTnZeJWqc?authuser=0&hl=en&rclk=1"
"Northwell Health Labs at 20 East 46th Street","4.7","87","Medical laboratory","20 E 46th St #401, New York, NY 10017, United States","https://www.northwell.edu/northwell-health-labs/locations/20-east-46th-street?utm_source=provider_listing&utm_medium=partner&utm_campaign=doctor_dot_com","+1 646-864-2191","https://www.google.com/maps/place/Northwell+Health+Labs+at+20+East+46th+Street/data=!4m7!3m6!1s0x89c259d395fc5163:0x6961ec838a86d3a7!8m2!3d40.7552841!4d-73.9779295!16s%2Fg%2F11gk5r5czm!19sChIJY1H8ldNZwokRp9OGioPsYWk?authuser=0&hl=en&rclk=1"
"Northwell Health Labs at 30 7th Avenue - Lenox Health Greenwich Village","4.8","24","Medical laboratory","30 7th Ave, New York, NY 10011, United States","https://www.northwell.edu/northwell-health-labs/locations/30-7?utm_source=provider_listing&utm_medium=partner&utm_campaign=doctor_dot_com","+1 516-719-1100","https://www.google.com/maps/place/Northwell+Health+Labs+at+30+7th+Avenue+-+Lenox+Health+Greenwich+Village/data=!4m7!3m6!1s0x89c259c30c9dad67:0x2ffd6111cd942908!8m2!3d40.7376033!4d-74.0005919!16s%2Fg%2F11h31zg8rw!19sChIJZ62dDMNZwokRCCmUzRFh_S8?authuser=0&hl=en&rclk=1"
"Labcorp","2.2","104","Medical laboratory","3100 47th Ave, Queens, NY 11101, United States","https://locations.labcorp.com/ny/long-island-city/18948/","+1 718-784-2245","https://www.google.com/maps/place/Labcorp/data=!4m7!3m6!1s0x89c25ed336406c07:0xbfbb70c21b17246d!8m2!3d40.7422803!4d-73.9351472!16s%2Fg%2F11g8wj1tv4!19sChIJB2xANtNewokRbSQXG8Jwu78?authuser=0&hl=en&rclk=1"
"Northwell Health Labs at 110 East 60th Street","4.7","54","Medical laboratory","110 E 60th St Suite 700, New York, NY 10022, United States","https://www.northwell.edu/northwell-health-labs/110-east-60th-street","+1 646-438-9365","https://www.google.com/maps/place/Northwell+Health+Labs+at+110+East+60th+Street/data=!4m7!3m6!1s0x89c25978efdddc9d:0x580532f7fb585f95!8m2!3d40.7630908!4d-73.9688548!16s%2Fg%2F11g1_x3w6c!19sChIJndzd73hZwokRlV9Y-_cyBVg?authuser=0&hl=en&rclk=1"
"Bayside Laboratories","3.0","8","Medical laboratory","4557 Bell Blvd, Flushing, NY 11361, United States","http://www.baysidelab.com/","+1 718-229-8800","https://www.google.com/maps/place/Bayside+Laboratories/data=!4m7!3m6!1s0x89c261e6d5856281:0x71a39994d0b8d8de!8m2!3d40.7588149!4d-73.7682748!16s%2Fg%2F1tcxw4qy!19sChIJgWKF1eZhwokR3ti40JSZo3E?authuser=0&hl=en&rclk=1"
"Northwell Health Labs at Greenpoint Avenue","4.7","12","Medical laboratory","126 Greenpoint Ave Suite 2C, Brooklyn, NY 11222, United States","https://www.northwell.edu/northwell-health-labs/locations/greenpoint-avenue","+1 929-303-5400","https://www.google.com/maps/place/Northwell+Health+Labs+at+Greenpoint+Avenue/data=!4m7!3m6!1s0x89c259cee6860fc3:0x2e29587e3e6eb58a!8m2!3d40.729799!4d-73.9556895!16s%2Fg%2F11rvk65hg4!19sChIJww-G5s5ZwokRirVuPn5YKS4?authuser=0&hl=en&rclk=1"
"Northwell Health Labs at Rego Park","4.6","192","Medical laboratory","95-25 Queens Blvd Suite 502, Rego Park, NY 11374, United States","https://www.northwell.edu/northwell-health-labs/locations/rego-park?utm_source=provider_listing&utm_medium=partner&utm_campaign=doctor_dot_com","+1 718-925-6530","https://www.google.com/maps/place/Northwell+Health+Labs+at+Rego+Park/data=!4m7!3m6!1s0x89c25f2cbb8234db:0x2a4be0702bc1e53c!8m2!3d40.7308361!4d-73.8631325!16s%2Fg%2F11gk5r6xwc!19sChIJ2zSCuyxfwokRPOXBK3DgSyo?authuser=0&hl=en&rclk=1"
"Northwell Health Labs at 247 3rd Ave","5.0","13","Medical laboratory","between 20th and, 247 3rd Avenue, E 21st St # 303, New York, NY 10010, United States","https://www.northwell.edu/northwell-health-labs/247-3rd-ave","+1 212-933-0574","https://www.google.com/maps/place/Northwell+Health+Labs+at+247+3rd+Ave/data=!4m7!3m6!1s0x89c259d528495c7f:0xa46789b30ec7ebbe!8m2!3d40.7370639!4d-73.9841044!16s%2Fg%2F11ll6wbcgf!19sChIJf1xJKNVZwokRvuvHDrOJZ6Q?authuser=0&hl=en&rclk=1"
"Northwell Health Labs at Astoria","4.0","21","Medical laboratory","30-14 37th St, Astoria, NY 11103, United States","https://www.northwell.edu/northwell-health-labs/astoria","+1 347-212-2401","https://www.google.com/maps/place/Northwell+Health+Labs+at+Astoria/data=!4m7!3m6!1s0x89c25f7dc5952add:0xe9ccda3dd3c5699b!8m2!3d40.7644291!4d-73.9171378!16s%2Fg%2F11skbk5pmv!19sChIJ3SqVxX1fwokRm2nF0z3azOk?authuser=0&hl=en&rclk=1"
"Northwell Health Labs at Forest Hills","3.1","14","Medical laboratory","102-29 Queens Blvd, Forest Hills, NY 11375, United States","https://www.northwell.edu/northwell-health-labs/locations/forest-hills?utm_source=provider_listing&utm_medium=partner&utm_campaign=doctor_dot_com","+1 516-858-3723","https://www.google.com/maps/place/Northwell+Health+Labs+at+Forest+Hills/data=!4m7!3m6!1s0x89c25fc9bb1fd849:0x3d696b7a9cc0ec21!8m2!3d40.7256631!4d-73.8503666!16s%2Fg%2F11gk5r3236!19sChIJSdgfu8lfwokRIezAnHpraT0?authuser=0&hl=en&rclk=1"
"Xeron Lab Queens-1 Patient Service Center","1.7","6","Medical laboratory","48-25 36th St, Queens, NY 11101, United States","","+1 866-937-6652","https://www.google.com/maps/place/Xeron+Lab+Queens-1+Patient+Service+Center/data=!4m7!3m6!1s0x89c25ed18f155555:0x81ce1cb07e79dc2!8m2!3d40.7398033!4d-73.9294891!16s%2Fg%2F11mb_bszdr!19sChIJVVUVj9FewokRwp3nB8vhHAg?authuser=0&hl=en&rclk=1"
