Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Sunrise Medical Laboratories","3.4","5","Medical laboratory","40-08 Forley St, Queens, NY 11373, United States","https://www.sunriselab.com/locations/new-york-pscs/","+1 718-433-9559","https://www.google.com/maps/place/Sunrise+Medical+Laboratories/data=!4m7!3m6!1s0x89c25f3ff2e02e3b:0x6c7258e7b1e7683!8m2!3d40.7476242!4d-73.8811621!16s%2Fg%2F11pzyyqflt!19sChIJOy7g8j9fwokRg3Yee44lxwY?authuser=0&hl=en&rclk=1"
"North Shore Medical Labs - Elmhurst PSC","3.0","2","Laboratory","85-94 60th Ave, Middle Village, NY 11379, United States","","+1 947-527-1467","https://www.google.com/maps/place/North+Shore+Medical+Labs+-+Elmhurst+PSC/data=!4m7!3m6!1s0x89c25f622c24ef6d:0x27d81ade5f20e291!8m2!3d40.7299723!4d-73.8742544!16s%2Fg%2F11jxdhp2sr!19sChIJbe8kLGJfwokRkeIgX94a2Cc?authuser=0&hl=en&rclk=1"
"Xeron Lab Queens-1 Patient Service Center","1.7","6","Medical laboratory","48-25 36th St, Queens, NY 11101, United States","","+1 866-937-6652","https://www.google.com/maps/place/Xeron+Lab+Queens-1+Patient+Service+Center/data=!4m7!3m6!1s0x89c25ed18f155555:0x81ce1cb07e79dc2!8m2!3d40.7398033!4d-73.9294891!16s%2Fg%2F11mb_bszdr!19sChIJVVUVj9FewokRwp3nB8vhHAg?authuser=0&hl=en&rclk=1"
"Labcorp","3.7","75","Medical laboratory","6916 Metropolitan Ave, Queens, NY 11379, United States","https://locations.labcorp.com/ny/middle-village/22879/","+1 718-416-1790","https://www.google.com/maps/place/Labcorp/data=!4m7!3m6!1s0x89c25e6329584247:0x170cdce72c62b795!8m2!3d40.7118585!4d-73.8859373!16s%2Fg%2F1264cc2n5!19sChIJR0JYKWNewokRlbdiLOfcDBc?authuser=0&hl=en&rclk=1"
"Shiel Medical Laboratory","","","Medical laboratory","3012 36th St, Astoria, NY 11103, United States","","+1 718-721-2490","https://www.google.com/maps/place/Shiel+Medical+Laboratory/data=!4m7!3m6!1s0x89c25f3f4e92ea8f:0x34df1eb2a7ba49f7!8m2!3d40.764775!4d-73.917893!16s%2Fg%2F1tx1v31n!19sChIJj-qSTj9fwokR90m6p7Ie3zQ?authuser=0&hl=en&rclk=1"
"Xeron Lab Queens-2 Patient Service Center","2.0","2","Medical laboratory","48-25 36th St, Queens, NY 11101, United States","","+1 866-937-6652","https://www.google.com/maps/place/Xeron+Lab+Queens-2+Patient+Service+Center/data=!4m7!3m6!1s0x89c2603c29f52251:0xd85f569831d1e46e!8m2!3d40.7394047!4d-73.9296444!16s%2Fg%2F11mb_b838w!19sChIJUSL1KTxgwokRbuTRMZhWX9g?authuser=0&hl=en&rclk=1"
"Sunrise Medical Laboratory","1.9","28","Medical laboratory","87-08 Justice Ave Ste Cb, Queens, NY 11373, United States","https://www.sunriselab.com/","+1 718-429-3140","https://www.google.com/maps/place/Sunrise+Medical+Laboratory/data=!4m7!3m6!1s0x89c25e4d9da3f2d5:0xfe41555d4fad65dc!8m2!3d40.737237!4d-73.8763172!16s%2Fg%2F1tmy5zpg!19sChIJ1fKjnU1ewokR3GWtT11VQf4?authuser=0&hl=en&rclk=1"
"Lenco Diagnostic Laboratory Patient Service Center","3.6","36","Medical laboratory","131-08 Liberty Ave, Jamaica, NY 11419, United States","http://www.lencolab.com/","+1 718-232-1515","https://www.google.com/maps/place/Lenco+Diagnostic+Laboratory+Patient+Service+Center/data=!4m7!3m6!1s0x89c26734e97e8f79:0x296ddf50ac1793c6!8m2!3d40.690022!4d-73.81432!16s%2Fg%2F11f261l8x3!19sChIJeY9-6TRnwokRxpMXrFDfbSk?authuser=0&hl=en&rclk=1"
"Queens, NY COVID-19 Testing - Ridgewood Diagnostic Lab","2.5","30","Medical laboratory","127-30 101st Ave, South Richmond Hill, NY 11419, United States","","+1 973-346-9128","https://www.google.com/maps/place/Queens,+NY+COVID-19+Testing+-+Ridgewood+Diagnostic+Lab/data=!4m7!3m6!1s0x89c2673553452e8d:0xc75e99189468ec42!8m2!3d40.691968!4d-73.817965!16s%2Fg%2F11p4d21v16!19sChIJjS5FUzVnwokRQuxolBiZXsc?authuser=0&hl=en&rclk=1"
"Bayside Laboratories","3.0","8","Medical laboratory","4557 Bell Blvd, Flushing, NY 11361, United States","http://www.baysidelab.com/","+1 718-229-8800","https://www.google.com/maps/place/Bayside+Laboratories/data=!4m7!3m6!1s0x89c261e6d5856281:0x71a39994d0b8d8de!8m2!3d40.7588149!4d-73.7682748!16s%2Fg%2F1tcxw4qy!19sChIJgWKF1eZhwokR3ti40JSZo3E?authuser=0&hl=en&rclk=1"
