Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Gig Strategic","","a month ago","5.0","516 Brookway Dr, Charlottesville, VA 22901, United States","http://gigstrategic.com/?utm_source=gmb&utm_medium=organic&utm_campaign=cville","+1 434-288-3020","https://www.google.com/maps/place/Gig+Strategic/data=!4m7!3m6!1s0x89b389a09eab8f37:0x6f22923d13b7a11d!8m2!3d38.0491488!4d-78.4679402!16s%2Fg%2F11h3g3_wnb!19sChIJN4-rnqCJs4kRHaG3Ez2SIm8"
"Hive Creative Group","","a year ago","5.0","375 Four Leaf Ln Suite 204B, Charlottesville, VA 22903, United States","https://hivecreativegroup.com/","+1 434-205-4714","https://www.google.com/maps/place/Hive+Creative+Group/data=!4m7!3m6!1s0x89b37ef8d1ef3d1f:0xb95919fd82894bdf!8m2!3d38.0519182!4d-78.6816661!16s%2Fg%2F11bxg1vgvs!19sChIJHz3v0fh-s4kR30uJgv0ZWbk"
"Lifeview Marketing and Visuals","","4 years ago","5.0","820 E High St STE A, Charlottesville, VA 22902, United States","http://lifeviewmarketingandvisuals.com/","+1 434-825-0650","https://www.google.com/maps/place/Lifeview+Marketing+and+Visuals/data=!4m7!3m6!1s0x89b3872894a692dd:0xd99403ce3ff34bd7!8m2!3d38.0311262!4d-78.4737518!16s%2Fg%2F11qkrzjxhf!19sChIJ3ZKmlCiHs4kR10vzP84DlNk"
"Anne Flinn Advertising, LLC","","4 months ago","5.0","240 W Main St, Charlottesville, VA 22902, United States","http://www.anneflinnadvertising.com/","+1 434-825-9320","https://www.google.com/maps/place/Anne+Flinn+Advertising,+LLC/data=!4m7!3m6!1s0x89b3872520fc80cd:0xdaee0ae8ff509c32!8m2!3d38.0309257!4d-78.4829983!16s%2Fg%2F11qg99_0q3!19sChIJzYD8ICWHs4kRMpxQ_-gK7to"
"Main Opt Marketing","","6 years ago","5.0","1145 River Rd #1b, Charlottesville, VA 22901, United States","https://www.mainopt.com/","+1 434-284-1587","https://www.google.com/maps/place/Main+Opt+Marketing/data=!4m7!3m6!1s0x89b38807b14a7437:0xfd6727ba2a455196!8m2!3d38.0390569!4d-78.4573796!16s%2Fg%2F11dx93hfm9!19sChIJN3RKsQeIs4kRllFFKronZ_0"
"The Ivy Group","","6 months ago","5.0","1001 E Market St #202, Charlottesville, VA 22902, United States","https://ivygroup.com/","+1 434-979-2678","https://www.google.com/maps/place/The+Ivy+Group/data=!4m7!3m6!1s0x89b386242b1a590d:0x61ed37a78068115c!8m2!3d38.0289104!4d-78.4732515!16s%2Fg%2F1tx1672d!19sChIJDVkaKySGs4kRXBFogKc37WE"
"Full Deck Agency","","3 years ago","5.0","435 Merchant Walk Sq STE 300-570, Charlottesville, VA 22902, United States","https://www.fulldeckagency.com/?utm_source=GMB&utm_medium=Website&utm_campaign=mapstakeover","+1 434-771-3874","https://www.google.com/maps/place/Full+Deck+Agency/data=!4m7!3m6!1s0x23912b709cf51747:0x725fe51421023671!8m2!3d38.0110704!4d-78.4983687!16s%2Fg%2F11p_03nj2j!19sChIJRxf1nHArkSMRcTYCIRTlX3I"
"Charlottesville SEO Web Development","","6 months ago","4.9","969 2nd St SE, Charlottesville, VA 22902, United States","https://nick-stone.com/","+1 434-284-2840","https://www.google.com/maps/place/Charlottesville+SEO+Web+Development/data=!4m7!3m6!1s0x89b387ffe735ddad:0xe8bfd3519de5964e!8m2!3d38.0242112!4d-78.4834792!16s%2Fg%2F1tfpkpx_!19sChIJrd015_-Hs4kRTpblnVHTv-g"
"Logical","","7 years ago","5.0","108 5th St SE #207, Charlottesville, VA 22902, United States","https://logicalseo.net/","+1 434-979-1252","https://www.google.com/maps/place/Logical/data=!4m7!3m6!1s0x89b3862f41640c03:0xfce094250887bd0f!8m2!3d38.0295281!4d-78.4785754!16s%2Fg%2F11cjkpn2k8!19sChIJAwxkQS-Gs4kRD72HCCWU4Pw"
"Feeder Digital Marketing","","a year ago","5.0","4835 Mechums River Rd, Charlottesville, VA 22901, United States","https://feederdigital.com/","+1 434-344-1060","https://www.google.com/maps/place/Feeder+Digital+Marketing/data=!4m7!3m6!1s0x89b387cb9f3f5639:0x1efa8c27d21ae2f5!8m2!3d38.0678137!4d-78.6668713!16s%2Fg%2F11sszg55b7!19sChIJOVY_n8uHs4kR9eIa0ieM-h4"
"Vector Marketing Charlottesville VA","","2 months ago","4.0","2211 Hydraulic Rd Ste 204, Charlottesville, VA 22901, United States","http://www.vectormarketing.com/gm","+1 617-733-2127","https://www.google.com/maps/place/Vector+Marketing+Charlottesville+VA/data=!4m7!3m6!1s0x89b387b31215f8ad:0xb0e8b59dba368bef!8m2!3d38.063888!4d-78.493663!16s%2Fg%2F11b7c8f_d8!19sChIJrfgVErOHs4kR74s2up216LA"
"Mountain High Media","","8 years ago","5.0","116 W Jefferson St, Charlottesville, VA 22902, United States","http://www.mountainhigh.media/","+1 434-964-0004","https://www.google.com/maps/place/Mountain+High+Media/data=!4m7!3m6!1s0x89b38625e7b9fac5:0xfe27c76c603eb9a6!8m2!3d38.0323481!4d-78.4814811!16s%2Fg%2F11cmh7ty_p!19sChIJxfq55yWGs4kRprk-YGzHJ_4"
"SteppeMedia","","a year ago","5.0","","http://steppemedia.com/","+1 434-201-6499","https://www.google.com/maps/place/SteppeMedia/data=!4m7!3m6!1s0x89b3873046ffa25d:0x79d30a0e1eef638c!8m2!3d38.1118231!4d-78.0638409!16s%2Fg%2F11jfqmx09y!19sChIJXaL_RjCHs4kRjGPvHg4K03k"
"Marketing Mojo","","4 months ago","5.0","100 10th St NE UNIT 301, Charlottesville, VA 22902, United States","https://www.marketing-mojo.com/","+1 434-975-6656","https://www.google.com/maps/place/Marketing+Mojo/data=!4m7!3m6!1s0x89b3889dc46e2077:0xb59b18b40b0947e1!8m2!3d38.0285428!4d-78.4735307!16s%2Fg%2F1tg3bztr!19sChIJdyBuxJ2Is4kR4UcJC7QYm7U"
"OTHER10 : Premier Website Design and Hosting Company with locations in Charlottesville & Richmond.","","3 years ago","5.0","1417 Westwood Rd, Charlottesville, VA 22903, United States","","+1 804-215-6594","https://www.google.com/maps/place/OTHER10+:+Premier+Website+Design+and+Hosting+Company+with+locations+in+Charlottesville+%26+Richmond./data=!4m7!3m6!1s0x89b387d4a85fc59d:0xce68990eb3e2a3e1!8m2!3d38.0444169!4d-78.4807107!16s%2Fg%2F11bwkb4c_r!19sChIJncVfqNSHs4kR4aPisw6ZaM4"
"Albano Design","","3 months ago","5.0","333 2nd St SE, Charlottesville, VA 22902, United States","https://albanodesign.com/","+1 434-989-2546","https://www.google.com/maps/place/Albano+Design/data=!4m7!3m6!1s0x89b38624498d9ea9:0x4bb511c7e85c192c!8m2!3d38.0286345!4d-78.4813845!16s%2Fg%2F11r9g7z_v!19sChIJqZ6NSSSGs4kRLBlc6McRtUs"
"Keister Williams Newspaper Services","","7 years ago","5.0","1807 Emmet St N, Charlottesville, VA 22901, United States","","+1 434-293-4709","https://www.google.com/maps/place/Keister+Williams+Newspaper+Services/data=!4m7!3m6!1s0x89b387c6c73b91b5:0x32abdd29df10e2da!8m2!3d38.0605121!4d-78.4936787!16s%2Fg%2F1thq1l95!19sChIJtZE7x8aHs4kR2uIQ3yndqzI"
