Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Royal Jewelery - תכשיטי רויאל","4.7","50","Jewelry store","Herzl St 38, Haifa, Israel","https://www.facebook.com/royal.jewellry/","+972 52-232-8706","https://www.google.com/maps/place/Royal+Jewelery+-+%D7%AA%D7%9B%D7%A9%D7%99%D7%98%D7%99+%D7%A8%D7%95%D7%99%D7%90%D7%9C%E2%80%AD/data=!4m7!3m6!1s0x151dba4dcc04f66b:0xe10d683ea1c2ffdb!8m2!3d32.809125!4d34.9992601!16s%2Fg%2F11f15czqcw!19sChIJa_YEzE26HRUR2__CoT5oDeE?authuser=0&hl=en&rclk=1"
"Horev Jewellery S. S.","4.5","39","Jewelry store","Khorev St 15, Haifa, Israel","http://www.jawhome.co.il/","+972 4-824-3762","https://www.google.com/maps/place/Horev+Jewellery+S.+S./data=!4m7!3m6!1s0x151dbb19042ca187:0x4aa170beadbb68ad!8m2!3d32.785003!4d34.987517!16s%2Fg%2F1tf7zz84!19sChIJh6EsBBm7HRURrWi7rb5woUo?authuser=0&hl=en&rclk=1"
"Herman","4.9","15","Jewelry store","Flieman St 8, Haifa, 3508418, Israel","https://herman-jewelry.co.il/","+972 4-603-4331","https://www.google.com/maps/place/Herman/data=!4m7!3m6!1s0x151dbb7b635ccebd:0xd740a1b3144e9c4e!8m2!3d32.7884609!4d34.9680917!16s%2Fg%2F11mxzcyt5y!19sChIJvc5cY3u7HRURTpxOFLOhQNc?authuser=0&hl=en&rclk=1"
"Impress","4.0","82","Watch store","Derech Simha Golan 54, Shop No. 157, Haifa, Israel","https://www.impress-stores.co.il/","+972 4-822-1178","https://www.google.com/maps/place/Impress/data=!4m7!3m6!1s0x151dbaf72c295391:0xbf093d4b9d1c0b55!8m2!3d32.7895036!4d35.0080234!16s%2Fg%2F1q6h_d3zd!19sChIJkVMpLPe6HRURVQscnUs9Cb8?authuser=0&hl=en&rclk=1"
"תכשיטי לוי","5.0","10","Jewelry store","HeHaluts St 12, Haifa, 3310202, Israel","","+972 54-996-6949","https://www.google.com/maps/place/%D7%AA%D7%9B%D7%A9%D7%99%D7%98%D7%99+%D7%9C%D7%95%D7%99%E2%80%AD/data=!4m7!3m6!1s0x151dbbcebb4189ed:0xf79d40678e40e7a5!8m2!3d32.812941!4d34.997273!16s%2Fg%2F11khcggp70!19sChIJ7YlBu867HRURpedAjmdAnfc?authuser=0&hl=en&rclk=1"
"תכשיטי המלכה","4.5","16","Jewelry store","Kikar Meirhoff 5, Haifa, Israel","https://haifa.mynet.co.il/business/article/byhzkfrsj","+972 50-231-6833","https://www.google.com/maps/place/%D7%AA%D7%9B%D7%A9%D7%99%D7%98%D7%99+%D7%94%D7%9E%D7%9C%D7%9B%D7%94%E2%80%AD/data=!4m7!3m6!1s0x151dbbc30a7214f1:0xa95601456981a9f4!8m2!3d32.8243017!4d34.9822312!16s%2Fg%2F11qp51ffqm!19sChIJ8RRyCsO7HRUR9KmBaUUBVqk?authuser=0&hl=en&rclk=1"
"הבורסה לתכשיטים - סניף חיפה","4.5","114","Jewelry store","Derech Simha Golan 54, Haifa, Israel","https://www.thebursa.co.il/branch/%D7%92%D7%A8%D7%A0%D7%93-%D7%A7%D7%A0%D7%99%D7%95%D7%9F-%D7%97%D7%99%D7%A4%D7%94/","+972 4-812-1299","https://www.google.com/maps/place/%D7%94%D7%91%D7%95%D7%A8%D7%A1%D7%94+%D7%9C%D7%AA%D7%9B%D7%A9%D7%99%D7%98%D7%99%D7%9D+-+%D7%A1%D7%A0%D7%99%D7%A3+%D7%97%D7%99%D7%A4%D7%94%E2%80%AD/data=!4m7!3m6!1s0x151dbaf72dc96f5d:0xd506fee59011f162!8m2!3d32.789558!4d35.007983!16s%2Fg%2F1q6jkb4yf!19sChIJXW_JLfe6HRURYvERkOX-BtU?authuser=0&hl=en&rclk=1"
"Barry jewelry","4.8","681","Jewelry store","HeHaluts St 55, Haifa, Israel","https://instagram.com/ronibeery?igshid=NDk5N2NlZjQ=","+972 4-866-3711","https://www.google.com/maps/place/Barry+jewelry/data=!4m7!3m6!1s0x151dba4e80cc58bd:0xac6b31b6bc20445a!8m2!3d32.8090862!4d35.0005938!16s%2Fg%2F11c70660yl!19sChIJvVjMgE66HRURWkQgvLYxa6w?authuser=0&hl=en&rclk=1"
"GIOLLI Jewelry","4.0","44","Jewelry store","Derech Simha Golan 54, Haifa, Israel","https://giolli.co.il/","+972 52-577-7045","https://www.google.com/maps/place/GIOLLI+Jewelry/data=!4m7!3m6!1s0x151dbb3eaf3f8db1:0x55993e7927a26889!8m2!3d32.7897693!4d35.0080075!16s%2Fg%2F11pxlb_vvj!19sChIJsY0_rz67HRURiWiiJ3k-mVU?authuser=0&hl=en&rclk=1"
"בר תכשיטים אהרון הצורף","4.8","58","Jewelry store","Yishak Shamir St 20, Tirat Carmel, Israel","","+972 77-541-0228","https://www.google.com/maps/place/%D7%91%D7%A8+%D7%AA%D7%9B%D7%A9%D7%99%D7%98%D7%99%D7%9D+%D7%90%D7%94%D7%A8%D7%95%D7%9F+%D7%94%D7%A6%D7%95%D7%A8%D7%A3%E2%80%AD/data=!4m7!3m6!1s0x151dba4e7e128fe7:0x8f7c99cb2d20e3bf!8m2!3d32.7657898!4d34.9647507!16s%2Fg%2F11gbfdh2m5!19sChIJ548Sfk66HRURv-MgLcuZfI8?authuser=0&hl=en&rclk=1"
