Name,Rating,Reviews,Category,Address,Website,Phone,Url
She-Ra Jewelry,4.6,221,Jewelry store,"Shabazi St 57, Tel Aviv-Yafo, 6514430, Israel",https://www.she-ra-jewelry.com/,+972 54-455-7799,https://www.google.com/maps/place/She-Ra+Jewelry/data=!4m7!3m6!1s0x151d4c9b0759ec27:0x5ca8b144ef0cef0c!8m2!3d32.063214!4d34.7676223!16s%2Fg%2F11c0rqyh40!19sChIJJ-xZB5tMHRURDO8M70SxqFw?authuser=0&hl=en&rclk=1
Agas & Tamar,4.8,82,Jewelry store,"Shabazi St 43, Tel Aviv-Yafo, Israel",http://www.agasandtamar.com/,+972 3-516-8421,https://www.google.com/maps/place/Agas+%26+Tamar/data=!4m7!3m6!1s0x151d4c9ba41fcd73:0x3d2af5349ad38ca3!8m2!3d32.0628406!4d34.7665519!16s%2Fg%2F1td44qjb!19sChIJc80fpJtMHRURo4zTmjT1Kj0?authuser=0&hl=en&rclk=1
HOTCROWN,4.8,173,Jewelry store,"Dizengoff St 209, Tel Aviv-Yafo, Israel",https://hotcrown.co.il/,+972 72-299-1000,https://www.google.com/maps/place/HOTCROWN/data=!4m7!3m6!1s0x151d4b8a18e04663:0xf4503b82f394ee79!8m2!3d32.0883573!4d34.7751609!16s%2Fg%2F11bt_g_msr!19sChIJY0bgGIpLHRURee6U84I7UPQ?authuser=0&hl=en&rclk=1
Charme - Tel Aviv's first Charm Bar,4.9,41,Jewelry store,"Sheinkin St 36, Tel Aviv-Yafo, 6523218, Israel",http://charmetlv.com/,+972 54-240-0982,https://www.google.com/maps/place/Charme+-+Tel+Aviv%27s+first+Charm+Bar/data=!4m7!3m6!1s0x151d4b0a9001fae9:0x2d7a76c637e035f2!8m2!3d32.0688649!4d34.7744349!16s%2Fg%2F11wjp4rhpj!19sChIJ6foBkApLHRUR8jXgN8Z2ei0?authuser=0&hl=en&rclk=1
Jb Jewelers,5,180,Jewelry store,"Hei be-Iyar St 76, Tel Aviv-Yafo, 6219818, Israel",https://www.jb-jewelers.com/,+972 3-523-5577,https://www.google.com/maps/place/Jb+Jewelers/data=!4m7!3m6!1s0x151d4b8f16fb6a27:0x46ee335e84bec939!8m2!3d32.08717!4d34.788405!16s%2Fg%2F1tdty3nc!19sChIJJ2r7Fo9LHRUROcm-hF4z7kY?authuser=0&hl=en&rclk=1
Kwintner Jewelry Design - קוינטנר עיצוב תכשיטים,5,166,Jewelry designer,"Mazal Arieh St 16, Tel Aviv-Yafo, Israel",https://kwintner.com/,+972 54-453-4620,https://www.google.com/maps/place/Kwintner+Jewelry+Design+-+%D7%A7%D7%95%D7%99%D7%A0%D7%98%D7%A0%D7%A8+%D7%A2%D7%99%D7%A6%D7%95%D7%91+%D7%AA%D7%9B%D7%A9%D7%99%D7%98%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4c7f9d771c17:0x115cc6c4a602b96e!8m2!3d32.0531311!4d34.7522583!16s%2Fg%2F11f3gbtp53!19sChIJFxx3nX9MHRURbrkCpsTGXBE?authuser=0&hl=en&rclk=1
ננו תכשיטים,4.9,258,Jewelry manufacturer,"Mazal Shor St 1, Tel Aviv-Yafo, 6803660, Israel",https://www.nano-jewelry.co.il/,+972 53-546-1233,https://www.google.com/maps/place/%D7%A0%D7%A0%D7%95+%D7%AA%D7%9B%D7%A9%D7%99%D7%98%D7%99%D7%9D%E2%80%AD/data=!4m7!3m6!1s0x151d4cb940f4d433:0xbda1b95418dbe4d3!8m2!3d32.0530416!4d34.7518849!16s%2Fg%2F11f01xptkd!19sChIJM9T0QLlMHRUR0-TbGFS5ob0?authuser=0&hl=en&rclk=1
Adina Plastelina Jewelry,4.5,174,Jewelry store,"Netiv HaMazalot 23, Tel Aviv-Yafo, 6803726, Israel",http://www.adinaplastelina.com/,+972 3-518-7894,https://www.google.com/maps/place/Adina+Plastelina+Jewelry/data=!4m7!3m6!1s0x151d4cc70d45a96f:0x4057b129a243217a!8m2!3d32.0539498!4d34.7506457!16s%2Fg%2F12hqxv7pt!19sChIJb6lFDcdMHRUReiFDoimxV0A?authuser=0&hl=en&rclk=1
YAMA jewelry,5,46,Jewelry designer,"Hei be-Iyar St 44, Tel Aviv-Yafo, Israel",http://www.yamajewelry.co.il/,+972 54-252-4949,https://www.google.com/maps/place/YAMA+jewelry/data=!4m7!3m6!1s0x151d4b933962ed4f:0xbdf7c2ba397f6fd4!8m2!3d32.0871451!4d34.7913137!16s%2Fg%2F11hd21xhfv!19sChIJT-1iOZNLHRUR1G9_ObrC970?authuser=0&hl=en&rclk=1
Shuna Jewelry Studio,4.8,93,Jewelry designer,"Sderot Masaryk 17, Tel Aviv-Yafo, Israel",https://shunastudio.com/,+972 54-567-7062,https://www.google.com/maps/place/Shuna+Jewelry+Studio/data=!4m7!3m6!1s0x151d4b8688d23e5b:0x7725a7751173caa1!8m2!3d32.0791312!4d34.7787345!16s%2Fg%2F11gckx2_wb!19sChIJWz7SiIZLHRURocpzEXWnJXc?authuser=0&hl=en&rclk=1
