Name,Rating,Reviews,Category,Address,Website,Phone,Url
"BEYOND REMEDY Mobile Anti-Aging & Wellness","5.0","90","Medical spa","","http://www.beyondremedyny.com/","+1 516-350-0567","https://www.google.com/maps/place/BEYOND+REMEDY+Mobile+Anti-Aging+%26+Wellness/data=!4m7!3m6!1s0x89c2797c37800de3:0x4c8bb50a51beeec5!8m2!3d40.8938931!4d-73.0182904!16s%2Fg%2F11qr868nzc!19sChIJ4w2AN3x5wokRxe6-UQq1i0w?authuser=0&hl=en&rclk=1"
"Trifecta Med Spa Long Island","4.9","59","Medical spa","1453 Broadway, Hewlett, NY 11557, United States","https://trifectamedspanyc.com/","+1 516-792-0800","https://www.google.com/maps/place/Trifecta+Med+Spa+Long+Island/data=!4m7!3m6!1s0x89c264f998226e77:0x49f6d117903e4916!8m2!3d40.6425804!4d-73.6963015!16s%2Fg%2F1ptxgfjrz!19sChIJd24imPlkwokRFkk-kBfR9kk?authuser=0&hl=en&rclk=1"
"SUITE SKIN MEDICAL SPA, Botox & Filler, Facials, Chemical Peels, Microneedling, IV Hydration","5.0","209","Medical spa","68 Forest Ave, Locust Valley, NY 11560, United States","http://www.suiteskinmedspa.com/","+1 516-996-4810","https://www.google.com/maps/place/SUITE+SKIN+MEDICAL+SPA,+Botox+%26+Filler,+Facials,+Chemical+Peels,+Microneedling,+IV+Hydration/data=!4m7!3m6!1s0x89c285d78fb3cdcf:0xe1938c11696db9b!8m2!3d40.8758482!4d-73.5986306!16s%2Fg%2F11js2tdvkf!19sChIJz82zj9eFwokRm9uWFsE4GQ4?authuser=0&hl=en&rclk=1"
"Deep Blue Med Spa","4.7","163","Medical spa","999 Franklin Ave First Floor, Garden City, NY 11530, United States","https://www.deepbluemedspa.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=deep+blue+med+spa+garden+city","+1 516-665-1922","https://www.google.com/maps/place/Deep+Blue+Med+Spa/data=!4m7!3m6!1s0x89c27d41513f6695:0xd3e99a033c977f62!8m2!3d40.729438!4d-73.63527!16s%2Fg%2F12hkm4mwj!19sChIJlWY_UUF9wokRYn-XPAOa6dM?authuser=0&hl=en&rclk=1"
"Prism Med Spa","4.8","95","Medical spa","41 Main St, Roslyn, NY 11576, United States","http://www.prismmedspa.com/","+1 516-277-2293","https://www.google.com/maps/place/Prism+Med+Spa/data=!4m7!3m6!1s0x89c28626f744dc1b:0x7fa49786190d0c3!8m2!3d40.7988287!4d-73.6499744!16s%2Fg%2F11b7gq1phn!19sChIJG9xE9yaGwokRw9CQYXhJ-gc?authuser=0&hl=en&rclk=1"
"Rainforest Med Spa","4.0","62","Medical spa","1757 Front St, East Meadow, NY 11554, United States","http://rainforestmedspa.net/","+1 516-900-7772","https://www.google.com/maps/place/Rainforest+Med+Spa/data=!4m7!3m6!1s0x89c27de6fe9b1f41:0xd90fed22a749c62f!8m2!3d40.717793!4d-73.5679066!16s%2Fg%2F11c1vjvmf8!19sChIJQR-b_uZ9wokRL8ZJpyLtD9k?authuser=0&hl=en&rclk=1"
"Ideal Body Med Spa","5.0","50","Medical spa","400 Post Ave Suite LL1, Westbury, NY 11590, United States","http://www.idealbodymedspa.com/","+1 516-266-6363","https://www.google.com/maps/place/Ideal+Body+Med+Spa/data=!4m7!3m6!1s0x65f306adc8f8b0cb:0x399cfc36947424eb!8m2!3d40.7627893!4d-73.5861341!16s%2Fg%2F11pzkzl6ng!19sChIJy7D4yK0G82UR6yR0lDb8nDk?authuser=0&hl=en&rclk=1"
"Body and Beauty by Imma, Medical Spa","5.0","78","Medical spa","1702 Rockaway Ave, Lynbrook, NY 11563, United States","https://www.bodyandbeautybyimma.com/","+1 516-632-9000","https://www.google.com/maps/place/Body+and+Beauty+by+Imma,+Medical+Spa/data=!4m7!3m6!1s0x89c2657f1375e74d:0xb315f2379d1909af!8m2!3d40.6497041!4d-73.6890108!16s%2Fg%2F11rb9s8rqp!19sChIJTed1E39lwokRrwkZnTfyFbM?authuser=0&hl=en&rclk=1"
"Vita Medical Spa","4.8","59","Medical spa","609 Plandome Rd, Manhasset, NY 11030, United States","http://www.vitalaserspa.com/","+1 718-357-2300","https://www.google.com/maps/place/Vita+Medical+Spa/data=!4m7!3m6!1s0x89c28a949f87abad:0xe63f6a66bead388b!8m2!3d40.8004119!4d-73.7020229!16s%2Fg%2F1tt8d5s3!19sChIJrauHn5SKwokRizitvmZqP-Y?authuser=0&hl=en&rclk=1"
"Gerald A. Acker, MD managed by Boost Your Beauty Medispa: Mena Abitino-Howe, PA-C","4.9","141","Medical spa","2159 Merrick Rd, Merrick, NY 11566, United States","https://www.boostyourbeautymedispa.com/","+1 516-868-3450","https://www.google.com/maps/place/Gerald+A.+Acker,+MD+managed+by+Boost+Your+Beauty+Medispa:+Mena+Abitino-Howe,+PA-C/data=!4m7!3m6!1s0x89c27fc3a8ea7453:0x34d6b674feb7c577!8m2!3d40.6592677!4d-73.5441646!16s%2Fg%2F11fkr1gq3s!19sChIJU3TqqMN_wokRd8W3_nS21jQ?authuser=0&hl=en&rclk=1"
