Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Berry Blonde Spa","4.9","518","Medical spa","767 Lexington Ave #402, New York, NY 10065, United States","https://berryblondespa.com/","+1 917-446-7720","https://www.google.com/maps/place/Berry+Blonde+Spa/data=!4m7!3m6!1s0x89c258eff1c15c85:0xe73370c1d2089c51!8m2!3d40.7630668!4d-73.9673806!16s%2Fg%2F11g6ypc69g!19sChIJhVzB8e9YwokRUZwI0sFwM-c?authuser=0&hl=en&rclk=1"
"Dr V's Queens Botox, Morpheus 8 Body Sculpting, Emsculpt Skin Tightning & Acne Scars Laser Spa","4.8","92","Medical spa","106-15 Queens Blvd # B15, Queens, NY 11375, United States","https://www.mymdspa.com/","+1 917-789-6963","https://www.google.com/maps/place/Dr+V%27s+Queens+Botox,+Morpheus+8+Body+Sculpting,+Emsculpt+Skin+Tightning+%26+Acne+Scars+Laser+Spa/data=!4m7!3m6!1s0x89c25ced32b990d3:0x66ed7b8a20a00248!8m2!3d40.7228392!4d-73.8460953!16s%2Fg%2F1q63cm80p!19sChIJ05C5Mu1cwokRSAKgIIp77WY?authuser=0&hl=en&rclk=1"
"Diamond Works Medspa","4.8","124","Medical spa","32-12 Broadway 2nd floor, Astoria, NY 11106, United States","https://www.diamondworksmedspa.com/","+1 347-631-0922","https://www.google.com/maps/place/Diamond+Works+Medspa/data=!4m7!3m6!1s0x89c25f3ea832dec3:0xf6a027ad4d915bf6!8m2!3d40.7612085!4d-73.9242476!16s%2Fg%2F1vvdw3zr!19sChIJw94yqD5fwokR9luRTa0noPY?authuser=0&hl=en&rclk=1"
"Wellness Med Art","4.6","231","Medical spa","116-16 Queens Blvd #202, Queens, NY 11375, United States","https://www.wellnessmedart.com/?utm_source=gmb_auth","+1 718-872-6465","https://www.google.com/maps/place/Wellness+Med+Art/data=!4m7!3m6!1s0x89c26098f3f8e3dd:0x7e2e9d51ecc1ba8c!8m2!3d40.715523!4d-73.8334625!16s%2Fg%2F11bx1xx_lf!19sChIJ3eP485hgwokRjLrB7FGdLn4?authuser=0&hl=en&rclk=1"
"Flushing Medical Spa","4.5","41","Medical spa","136-20 38th Ave Ste 5D, Queens, NY 11354, United States","http://www.flushingmedspa.com/","+1 718-539-3366","https://www.google.com/maps/place/Flushing+Medical+Spa/data=!4m7!3m6!1s0x9dc6f078a0a95a5:0xfb5258d12ccb8628!8m2!3d40.7609223!4d-73.8300252!16s%2Fg%2F11s9xsgz9s!19sChIJpZUKigdv3AkRKIbLLNFYUvs?authuser=0&hl=en&rclk=1"
"Allure Med Spas Inc.","5.0","9","Medical spa","7915 Metropolitan Ave, Queens, NY 11379, United States","https://alluremedspas.us/","+1 718-725-7500","https://www.google.com/maps/place/Allure+Med+Spas+Inc./data=!4m7!3m6!1s0x89c25f6b738f19c5:0x4d78c00345854d0d!8m2!3d40.7134249!4d-73.8737257!16s%2Fg%2F11tnk5tvdl!19sChIJxRmPc2tfwokRDU2FRQPAeE0?authuser=0&hl=en&rclk=1"
"Glam Glow Med Spa","4.8","129","Medical spa","90-15 Jamaica Ave, Woodhaven, NY 11421, United States","https://glam-glow-med-spa.myshopify.com/","+1 718-805-7701","https://www.google.com/maps/place/Glam+Glow+Med+Spa/data=!4m7!3m6!1s0x89c25d62116bea65:0x2699358a4565016c!8m2!3d40.6930981!4d-73.8541622!16s%2Fg%2F11fkqjnc10!19sChIJZeprEWJdwokRbAFlRYo1mSY?authuser=0&hl=en&rclk=1"
"Esansyel Med Spa","5.0","14","Medical spa","54-14 74th St suite 4407, Queens, NY 11373, United States","https://www.esansyelmedspa.com/","+1 212-287-5743","https://www.google.com/maps/place/Esansyel+Med+Spa/data=!4m7!3m6!1s0x89c25fcea11e426d:0x23e2bbc75a1e45d4!8m2!3d40.7296819!4d-73.8877082!16s%2Fg%2F11tjsbn53n!19sChIJbUIeoc5fwokR1EUeWse74iM?authuser=0&hl=en&rclk=1"
"DivaLux Med Spa: Best Medspa Astoria, Laser Hair Removal, Botox, Fillers, Microneedling, Mesotherapy and Carboxytherapy","5.0","29","Medical spa","36-16 Broadway, Astoria, NY 11106, United States","https://divaluxmedspa.com/","+1 646-822-2505","https://www.google.com/maps/place/DivaLux+Med+Spa:+Best+Medspa+Astoria,+Laser+Hair+Removal,+Botox,+Fillers,+Microneedling,+Mesotherapy+and+Carboxytherapy/data=!4m7!3m6!1s0x89c25fe40a89d415:0x1502366cce47f5ea!8m2!3d40.75964!4d-73.9209413!16s%2Fg%2F11rpdf5vch!19sChIJFdSJCuRfwokR6vVHzmw2AhU?authuser=0&hl=en&rclk=1"
"Dyana Raskin Aesthetics","4.9","37","Medical spa","31-19 Newtown Ave #801, Queens, NY 11102, United States","http://www.dyanaraskin.com/","+1 718-255-6025","https://www.google.com/maps/place/Dyana+Raskin+Aesthetics/data=!4m7!3m6!1s0x89c25ff30c8bfec3:0xa91b86dfa699c50d!8m2!3d40.7671967!4d-73.9202294!16s%2Fg%2F11sjwq2dz7!19sChIJw_6LDPNfwokRDcWZpt-GG6k?authuser=0&hl=en&rclk=1"
