Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Berry Blonde Spa","4.9","518","Medical spa","767 Lexington Ave #402, New York, NY 10065, United States","https://berryblondespa.com/","+1 917-446-7720","https://www.google.com/maps/place/Berry+Blonde+Spa/data=!4m7!3m6!1s0x89c258eff1c15c85:0xe73370c1d2089c51!8m2!3d40.7630668!4d-73.9673806!16s%2Fg%2F11g6ypc69g!19sChIJhVzB8e9YwokRUZwI0sFwM-c?authuser=0&hl=en&rclk=1"
"Smooth Synergy Medical Spa & Laser Center","5.0","131","Medical spa","139 E 57th St 8th Floor, New York, NY 10022, United States","https://smoothsynergy.com/","+1 212-397-0111","https://www.google.com/maps/place/Smooth+Synergy+Medical+Spa+%26+Laser+Center/data=!4m7!3m6!1s0x89c258e51e770df9:0xcc62ea120ed89b18!8m2!3d40.761057!4d-73.9687578!16s%2Fg%2F1tfbzcqy!19sChIJ-Q13HuVYwokRGJvYDhLqYsw?authuser=0&hl=en&rclk=1"
"Sono Gioventù Medical Spa /SonoMedSpa","5.0","155","Medical spa","329 E Main St Suite 2, Smithtown, NY 11787, United States","https://www.sonomedspa.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12670685708317930064","+1 631-837-3445","https://www.google.com/maps/place/Sono+Giovent%C3%B9+Medical+Spa+%2FSonoMedSpa/data=!4m7!3m6!1s0x89e829821b48342d:0x6414bd0468011b06!8m2!3d40.8557683!4d-73.1732319!16s%2Fg%2F11h0n5rc2p!19sChIJLTRIG4Ip6IkRBhsBaAS9FGQ?authuser=0&hl=en&rclk=1"
"Bellissima Aesthetics & Wellness Spa","5.0","21","Medical spa","2854 Chestnut Ave, Ronkonkoma, NY 11779, United States","http://www.bellissimaaesthetics.com/","+1 516-325-0531","https://www.google.com/maps/place/Bellissima+Aesthetics+%26+Wellness+Spa/data=!4m7!3m6!1s0x89e84113bb2a9dfb:0xb891183930fa6fe5!8m2!3d40.8169092!4d-73.1242886!16s%2Fg%2F11fkdk379f!19sChIJ-50quxNB6IkR5W_6MDkYkbg?authuser=0&hl=en&rclk=1"
"La Maison de jolie Aesthetic Spa","5.0","482","Spa","130 E Main St, Village of the Branch, NY 11787, United States","http://lamaisondejolie.com/","+1 516-853-3500","https://www.google.com/maps/place/La+Maison+de+jolie+Aesthetic+Spa/data=!4m7!3m6!1s0x89c2671f1874a729:0xdc86fa37f7eca95d!8m2!3d40.8549009!4d-73.1891611!16s%2Fg%2F11fn8q5602!19sChIJKad0GB9nwokRXans9zf6htw?authuser=0&hl=en&rclk=1"
"Shore Medical Aesthetics & Anti-Aging","5.0","154","Medical spa","184 E Main St, Babylon, NY 11702, United States","http://shoremedaesthetics.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","+1 516-690-7546","https://www.google.com/maps/place/Shore+Medical+Aesthetics+%26+Anti-Aging/data=!4m7!3m6!1s0x89e9d2d4ef3f3ceb:0x491dfdbbd83519de!8m2!3d40.6969335!4d-73.3199693!16s%2Fg%2F11fy9qqcyx!19sChIJ6zw_79TS6YkR3hk12Lv9HUk?authuser=0&hl=en&rclk=1"
"Meraki Integrative of Ronkonkoma","4.9","43","Wellness center","120 Remington Blvd, Ronkonkoma, NY 11779, United States","https://www.merakiintegrative.com/","+1 516-307-0776","https://www.google.com/maps/place/Meraki+Integrative+of+Ronkonkoma/data=!4m7!3m6!1s0x89e83386200769c1:0x2a76fa116ee181bd!8m2!3d40.7913712!4d-73.1331856!16s%2Fg%2F11ppnq31fk!19sChIJwWkHIIYz6IkRvYHhbhH6dio?authuser=0&hl=en&rclk=1"
"Deep Blue Med Spa","4.9","154","Medical spa","200 W Main St building a suite 101, Babylon, NY 11702, United States","https://www.deepbluemedspa.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=deep+blue+med+spa+babylon","+1 516-665-1922","https://www.google.com/maps/place/Deep+Blue+Med+Spa/data=!4m7!3m6!1s0x89e9d32bdc1fb64d:0x586cad0c9316b4b!8m2!3d40.6949026!4d-73.3278276!16s%2Fg%2F11g6rn6rjp!19sChIJTbYf3CvT6YkRS2sxydDKhgU?authuser=0&hl=en&rclk=1"
"Long Island Medical And Spa","5.0","1","Medical spa","751 Coates Ave #31, Holbrook, NY 11741, United States","http://holbrookmedicalandspa.com/","+1 631-580-0000","https://www.google.com/maps/place/Long+Island+Medical+And+Spa/data=!4m7!3m6!1s0x89e8482d317882f1:0xa2705861db260b8c!8m2!3d40.7809724!4d-73.0779648!16s%2Fg%2F11cm5ksx6n!19sChIJ8YJ4MS1I6IkRjAsm22FYcKI?authuser=0&hl=en&rclk=1"
"Babe Aesthetics","4.9","122","Medical spa","28 S Main St, Sayville, NY 11782, United States","http://babeaestheticsny.com/","+1 631-256-5175","https://www.google.com/maps/place/Babe+Aesthetics/data=!4m7!3m6!1s0x89e84b3f0d319607:0xea541b527340dfc8!8m2!3d40.7360764!4d-73.0816699!16s%2Fg%2F11jycgv1fc!19sChIJB5YxDT9L6IkRyN9Ac1IbVOo?authuser=0&hl=en&rclk=1"
