Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Horizon Staffing Solutions","4.0","38","Temp agency","20 Jerusalem Ave, Hicksville, NY 11801, United States","https://www.horizonstaffingsolutions.com/","+1 516-719-4080","https://www.google.com/maps/place/Horizon+Staffing+Solutions/data=!4m7!3m6!1s0x89c280e295038f31:0x842d051fb7757ec8!8m2!3d40.7669043!4d-73.5255588!16s%2Fg%2F126235j93!19sChIJMY8DleKAwokRyH51tx8FLYQ?authuser=0&hl=en&rclk=1"
"County Agency","4.9","476","Employment agency","499 Chestnut St STE 208, Cedarhurst, NY 11516, United States","https://www.countyagency.net/","+1 516-537-1155","https://www.google.com/maps/place/County+Agency/data=!4m7!3m6!1s0x89c25bde4f080ab9:0x88dfe7f4ba5bcb30!8m2!3d40.6225239!4d-73.7250743!16s%2Fg%2F1tdgl59n!19sChIJuQoIT95bwokRMMtbuvTn34g?authuser=0&hl=en&rclk=1"
"Event Staffing by Marsell, Inc","5.0","1","Temp agency","","","+1 718-506-2321","https://www.google.com/maps/place/Event+Staffing+by+Marsell,+Inc/data=!4m7!3m6!1s0x89c25dfcf987721b:0xf236c8c80c045984!8m2!3d40.9000905!4d-72.9170605!16s%2Fg%2F1t_wq8bm!19sChIJG3KH-fxdwokRhFkEDMjINvI?authuser=0&hl=en&rclk=1"
"PrideStaff","4.6","146","Employment agency","1121 Walt Whitman Rd Suite 202, Melville, NY 11747, United States","https://www.pridestaff.com/melville","+1 631-752-7777","https://www.google.com/maps/place/PrideStaff/data=!4m7!3m6!1s0x89e82a4ead897a93:0x186269ab4a9de75!8m2!3d40.7925288!4d-73.4171923!16s%2Fg%2F1td4w99_!19sChIJk3qJrU4q6IkRdd6ptJomhgE?authuser=0&hl=en&rclk=1"
"FlexStaff","4.3","59","Employment agency","1111 Marcus Ave, North New Hyde Park, NY 11042, United States","https://www.flexstaff.org/about-us/","+1 516-224-2800","https://www.google.com/maps/place/FlexStaff/data=!4m7!3m6!1s0x89c2882b34040949:0x6ded7f73d709385b!8m2!3d40.7575186!4d-73.7003652!16s%2Fg%2F11q2y_r0zv!19sChIJSQkENCuIwokRWzgJ13N_7W0?authuser=0&hl=en&rclk=1"
"One Call Staffing Inc","3.7","3","Employment agency","658 Christie St, South Hempstead, NY 11550, United States","https://onecallstaffing.org/","+1 516-489-7201","https://www.google.com/maps/place/One+Call+Staffing+Inc/data=!4m7!3m6!1s0x89c27c8d34637c29:0xafad01315480f072!8m2!3d40.6825394!4d-73.6165046!16s%2Fg%2F1tcw9322!19sChIJKXxjNI18wokRcvCAVDEBra8?authuser=0&hl=en&rclk=1"
"Express Employment Professionals","4.9","271","Employment agency","100 Jericho Quadrangle # 215, Jericho, NY 11753, United States","http://www.expresspros.com/nassaucountynorthny","+1 516-234-5932","https://www.google.com/maps/place/Express+Employment+Professionals/data=!4m7!3m6!1s0x89c287f7019190e3:0x1e0f2990467a822f!8m2!3d40.7854848!4d-73.5550673!16s%2Fg%2F11f770xgh6!19sChIJ45CRAfeHwokRL4J6RpApDx4?authuser=0&hl=en&rclk=1"
"Dragon Staffing","","","Employment agency","","http://www.dragonstaffing.com/","+1 347-780-1846","https://www.google.com/maps/place/Dragon+Staffing/data=!4m7!3m6!1s0x6089dc493b2cb6ef:0x25f0de0871e44643!8m2!3d41.3654532!4d-72.9172379!16s%2Fg%2F11kr754m0g!19sChIJ77YsO0nciWARQ0bkcQje8CU?authuser=0&hl=en&rclk=1"
"AV Staffing Solutions","5.0","1","Employment agency","255 Executive Dr Suite 303, Plainview, NY 11803, United States","http://avstaffingsolutions.com/","+1 516-743-9734","https://www.google.com/maps/place/AV+Staffing+Solutions/data=!4m7!3m6!1s0x89e82bbb0bae59e1:0x997215587349ad4f!8m2!3d40.7929208!4d-73.464886!16s%2Fg%2F11h28tvbtw!19sChIJ4VmuC7sr6IkRT61Jc1gVcpk?authuser=0&hl=en&rclk=1"
"Bequest Staffing Solutions","5.0","2","Employment agency","","http://www.bequeststaffingsolutions.com/","+1 888-237-8371","https://www.google.com/maps/place/Bequest+Staffing+Solutions/data=!4m7!3m6!1s0x244ead9688bff61f:0x9fd6ffe611819cdf!8m2!3d40.754757!4d-73.601734!16s%2Fg%2F11t28dq2zf!19sChIJH_a_iJatTiQR35yBEeb_1p8?authuser=0&hl=en&rclk=1"
