Name,Rating,Reviews,Category,Address,Website,Phone,Url
"PrideStaff","5.0","89","Employment agency","218-14 Hempstead Ave Level C, Suite 1, Queens, NY 11429, United States","https://www.pridestaff.com/brooklynqueens/","+1 929-733-7200","https://www.google.com/maps/place/PrideStaff/data=!4m7!3m6!1s0x89c2632bfe3040ad:0x7adb72e287ffb3fe!8m2!3d40.7136582!4d-73.7379023!16s%2Fg%2F11sx04r7yr!19sChIJrUAw_itjwokR_rP_h-Jy23o?authuser=0&hl=en&rclk=1"
"World Wide Access Staffing Queens NY","5.0","18","Employment agency","8236 242nd St, Queens, NY 11426, United States","https://www.worldwideaccess.net/","+1 347-843-9700","https://www.google.com/maps/place/World+Wide+Access+Staffing+Queens+NY/data=!4m7!3m6!1s0x2df95ab3c2202753:0x749af0949d5783be!8m2!3d40.7364739!4d-73.7260301!16s%2Fg%2F11t0pnkt8k!19sChIJUycgwrNa-S0RvoNXnZTwmnQ?authuser=0&hl=en&rclk=1"
"Empressive Staffing Agency","4.5","26","Employment agency","9609 Springfield Blvd suite 205, Queens, NY 11429, United States","http://www.empressivestaffing.com/","+1 718-413-2025","https://www.google.com/maps/place/Empressive+Staffing+Agency/data=!4m7!3m6!1s0x89c2632bbd50afef:0x69df9eab4b0a2fa3!8m2!3d40.7183021!4d-73.7350152!16s%2Fg%2F11q8w93mpy!19sChIJ769QvStjwokRoy8KS6ue32k?authuser=0&hl=en&rclk=1"
"All In One Services","4.7","209","Employment agency","25-40 27th St #2f, Astoria, NY 11102, United States","http://www.allinoneservices.com/","+1 718-267-5090","https://www.google.com/maps/place/All+In+One+Services/data=!4m7!3m6!1s0x89c25f45d4cdc05f:0x3fb8fabf41fd9a5b!8m2!3d40.771255!4d-73.9213178!16s%2Fg%2F1tgjm6bk!19sChIJX8DN1EVfwokRW5r9Qb_6uD8?authuser=0&hl=en&rclk=1"
"Tempwork Staffing Solution, Inc.","4.3","174","Temp agency","4012 83rd St 3rd floor, Elmhurst, NY 11373, United States","http://twork247.com/","+1 718-734-0505","https://www.google.com/maps/place/Tempwork+Staffing+Solution,+Inc./data=!4m7!3m6!1s0x89c25faeccb04d03:0x7b13961d06aabef1!8m2!3d40.747296!4d-73.8831639!16s%2Fg%2F11b8_mvk0g!19sChIJA02wzK5fwokR8b6qBh2WE3s?authuser=0&hl=en&rclk=1"
"Napoli Employment Agency","4.5","1,052","Employment agency","7915 Roosevelt Ave #2floor, Queens, NY 11372, United States","http://www.napoliemploymentagency.com/","+1 718-565-2445","https://www.google.com/maps/place/Napoli+Employment+Agency/data=!4m7!3m6!1s0x89c25fa9a1b0859b:0x4d9f888d18f3ba78!8m2!3d40.7475999!4d-73.8860989!16s%2Fg%2F1vn9p_rg!19sChIJm4WwoalfwokReLrzGI2In00?authuser=0&hl=en&rclk=1"
"Z Skill Interchange Inc","4.2","74","Employment agency","37-11 74th Street Suite#203, Jackson Heights, NY 11372, United States","","+1 718-898-0401","https://www.google.com/maps/place/Z+Skill+Interchange+Inc/data=!4m7!3m6!1s0x89c25fb011a7faef:0x97a2d8422cefaaf5!8m2!3d40.748612!4d-73.891478!16s%2Fg%2F1vq9n61s!19sChIJ7_qnEbBfwokR9arvLELYopc?authuser=0&hl=en&rclk=1"
"","","","","28-48 31 Street 2nd FL, Astoria, NY 11102, United States","http://www.naimaagency.com/","+1 929-522-0542","https://www.google.com/maps/place/Naima+Employment+Agency/data=!4m7!3m6!1s0x89c25ed9343f3ecb:0xc76b96c4e735420e!8m2!3d40.7671605!4d-73.9213919!16s%2Fg%2F11bxfy4477!19sChIJyz4_NNlewokRDkI158SWa8c?authuser=0&hl=en&rclk=1"
"Specialty Professional Services, Corp | NYC Nurse Staffing","4.8","23","Nursing agency","17-20 Whitestone Expy #303, Queens, NY 11357, United States","http://www.thespecialty.com/","+1 718-428-3600","https://www.google.com/maps/place/Specialty+Professional+Services,+Corp+%7C+NYC+Nurse+Staffing/data=!4m7!3m6!1s0x89c28abb72faa8c5:0x4a45ea3841275262!8m2!3d40.7839149!4d-73.8254045!16s%2Fg%2F1260qj25w!19sChIJxaj6cruKwokRYlInQTjqRUo?authuser=0&hl=en&rclk=1"
"EL MUNDO EMPLOYMENT AGENCY","4.4","172","Employment agency","36-26 Union St, Flushing, NY 11354, United States","","+1 718-762-7742","https://www.google.com/maps/place/EL+MUNDO+EMPLOYMENT+AGENCY/data=!4m7!3m6!1s0x89c2601a9b8ce195:0x900b89c93b8c8b5a!8m2!3d40.7629896!4d-73.8280898!16s%2Fg%2F1tj2pcxf!19sChIJleGMmxpgwokRWouMO8mJC5A?authuser=0&hl=en&rclk=1"
"General Workforce Inc.","4.2","10","Employment agency","9616 101st Ave, Queens, NY 11416, United States","http://www.generalworkforce.com/","+1 718-674-6829","https://www.google.com/maps/place/General+Workforce+Inc./data=!4m7!3m6!1s0x89c25de1f752de25:0xaa976a69f871d941!8m2!3d40.6846138!4d-73.8443681!16s%2Fg%2F11fn6z2hzm!19sChIJJd5S9-FdwokRQdlx-Glql6o?authuser=0&hl=en&rclk=1"
"Golden Touch Employment Agency","2.6","26","Employment agency","5217 Van Loon St 1st floor, Queens, NY 11373, United States","http://goldentouchny.yolasite.com/","+1 718-205-0018","https://www.google.com/maps/place/Golden+Touch+Employment+Agency/data=!4m7!3m6!1s0x89c25e523992e5fd:0xee8c3a7b0a2f0b6a!8m2!3d40.7364196!4d-73.879298!16s%2Fg%2F1tj5rnl1!19sChIJ_eWSOVJewokRagsvCns6jO4?authuser=0&hl=en&rclk=1"
"Rupa Agency","4.7","57","Employment agency","7532 Broadway, Queens, NY 11373, United States","","+1 347-935-9028","https://www.google.com/maps/place/Rupa+Agency/data=!4m7!3m6!1s0x89c25ff328d22807:0x340a5aa3e36f1598!8m2!3d40.7457243!4d-73.8896147!16s%2Fg%2F11fr777y10!19sChIJByjSKPNfwokRmBVv46NaCjQ?authuser=0&hl=en&rclk=1"
"Alex Employment agency","3.7","26","Employment agency","69-06 Roosevelt Ave, Queens, NY 11377, United States","","+1 347-935-3049","https://www.google.com/maps/place/Alex+Employment+agency/data=!4m7!3m6!1s0x89c25f2e72f9a801:0x925e2bb55487877f!8m2!3d40.7461911!4d-73.895923!16s%2Fg%2F11s7wtc1jh!19sChIJAaj5ci5fwokRf4eHVLUrXpI?authuser=0&hl=en&rclk=1"
"CMP- EMPLOYMENT AGENCY - AGENCIA DE EMPLEOS","3.8","201","Employment agency","3119 35th Ave, Astoria, NY 11106, United States","http://www.cmpstaff.com/","+1 718-433-9071","https://www.google.com/maps/place/CMP-+EMPLOYMENT+AGENCY+-+AGENCIA+DE+EMPLEOS/data=!4m7!3m6!1s0x89c25f31cf70c361:0x5dd38728a05dbcf1!8m2!3d40.7579509!4d-73.9278229!16s%2Fg%2F11f1vrrgyc!19sChIJYcNwzzFfwokR8bxdoCiH010?authuser=0&hl=en&rclk=1"
"Automobile Work Force","4.0","8","Temp agency","96-16 101st Ave, Ozone Park, NY 11416, United States","","+1 718-674-6829","https://www.google.com/maps/place/Automobile+Work+Force/data=!4m7!3m6!1s0x89c25df7a223273b:0x5133455e4b6cb6b5!8m2!3d40.6846274!4d-73.8443545!16s%2Fg%2F11f4pvddwd!19sChIJOycjovddwokRtbZsS15FM1E?authuser=0&hl=en&rclk=1"
"Quality Healthcare Staffing","5.0","16","Employment agency","29-10 Thomson Ave, Queens, NY 11101, United States","http://qhstaff.com/","+1 718-400-6166","https://www.google.com/maps/place/Quality+Healthcare+Staffing/data=!4m7!3m6!1s0x89c261a4bcbd16ab:0xaf1f21691b99006e!8m2!3d40.7451291!4d-73.9377106!16s%2Fg%2F11mvr5k7tg!19sChIJqxa9vKRhwokRbgCZG2khH68?authuser=0&hl=en&rclk=1"
"","","","","118-21 Queens Blvd Suite 505, Queens, NY 11375, United States","https://www.nonprofitstaffingsolution.com/","+1 718-960-7060","https://www.google.com/maps/place/The+Nonprofit+Staffing+Solution/data=!4m7!3m6!1s0x89c2616e62f6cdb7:0xac5502a6d9ea7b8a!8m2!3d40.7150909!4d-73.831523!16s%2Fg%2F11scs01qp6!19sChIJt832Ym5hwokRinvq2aYCVaw?authuser=0&hl=en&rclk=1"
"","","","","10702 R, Jamaica Ave, Richmond Hill, NY 11418, United States","http://www.ameristarstaffingny.com/","+1 347-829-3890","https://www.google.com/maps/place/AMERISTAR+STAFFING+INC./data=!4m7!3m6!1s0x89c2675535aaebf3:0xdb0e26a733971496!8m2!3d40.695059!4d-73.8418631!16s%2Fg%2F11s0z9bc85!19sChIJ8-uqNVVnwokRlhSXM6cmDts?authuser=0&hl=en&rclk=1"
"Direct Hire Employment Agency","4.1","24","Employment agency","69-11D Roosevelt Ave, Queens, NY 11377, United States","https://www.directhireagency.com/","+1 347-688-4808","https://www.google.com/maps/place/Direct+Hire+Employment+Agency/data=!4m7!3m6!1s0x89c25f1fdf6d0d59:0x75fdb6cbdb515b1d!8m2!3d40.7466438!4d-73.8955698!16s%2Fg%2F11c6_vvxcv!19sChIJWQ1t3x9fwokRHVtR28u2_XU?authuser=0&hl=en&rclk=1"
"Cure Staffing Inc.","3.0","2","Employment agency","","http://www.curestaffing.com/","+1 646-315-3932","https://www.google.com/maps/place/Cure+Staffing+Inc./data=!4m7!3m6!1s0x89c28a8e6ea6cf79:0xd5c75a7fbb9f1e7!8m2!3d41.902259!4d-75.7700406!16s%2Fg%2F11d_xgqr6x!19sChIJec-mbo6KwokR5_G5-6d1XA0?authuser=0&hl=en&rclk=1"
"Procareer Staffing","5.0","1","Employment agency","86-26 53rd Ave, Queens, NY 11373, United States","https://www.procareerstaffing.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13096297959669764212","+1 718-440-8269","https://www.google.com/maps/place/Procareer+Staffing/data=!4m7!3m6!1s0x89c25f77b529b83d:0x35b8e56c4df1c65e!8m2!3d40.735272!4d-73.8786688!16s%2Fg%2F11t_q054w0!19sChIJPbgptXdfwokRXsbxTWzluDU?authuser=0&hl=en&rclk=1"
"Match One Staffing","1.8","4","Employment agency","205-07 Hillside Ave. #26, Hollis, NY 11423, United States","https://www.matchonestaffing.com/","+1 718-217-1666","https://www.google.com/maps/place/Match+One+Staffing/data=!4m7!3m6!1s0x89c261771c296f9b:0xdb8c0248f8c23cc!8m2!3d40.7211628!4d-73.7603821!16s%2Fg%2F1td54bwn!19sChIJm28pHHdhwokRzCOMjyTAuA0?authuser=0&hl=en&rclk=1"
"Jheny Employment Agency","2.5","89","Employment agency","6907 Roosevelt Ave, Queens, NY 11377, United States","","+1 718-205-1050","https://www.google.com/maps/place/Jheny+Employment+Agency/data=!4m7!3m6!1s0x89c25f03ea1aa7e3:0x8f7fbf2080cb631b!8m2!3d40.7464969!4d-73.8961137!16s%2Fg%2F1vn9p_qz!19sChIJ46ca6gNfwokRG2PLgCC_f48?authuser=0&hl=en&rclk=1"
"Bells Staffing Services","2.5","45","Employment agency","89-31 161st St #701, Jamaica, NY 11432, United States","https://www.bellscares.com/","+1 718-297-4441","https://www.google.com/maps/place/Bells+Staffing+Services/data=!4m7!3m6!1s0x89c260d95905691f:0x1a352466cd00c9f4!8m2!3d40.7055899!4d-73.7991801!16s%2Fg%2F11g0k19s6f!19sChIJH2kFWdlgwokR9MkAzWYkNRo?authuser=0&hl=en&rclk=1"
