Name,Rating,Reviews,Category,Address,Website,Phone,Url
"Express Employment Professionals","4.3","47","Employment agency","44-02 11th St #616, Queens, NY 11101, United States","http://expresspros.com/NWQueensNY","+1 917-832-6081","https://www.google.com/maps/place/Express+Employment+Professionals/data=!4m7!3m6!1s0x89c2592c9796aaa9:0x80e59a6248041e8!8m2!3d40.7496654!4d-73.9496671!16s%2Fg%2F11b7lmn6ms!19sChIJqaqWlyxZwokR6EGAJKZZDgg?authuser=0&hl=en&rclk=1"
"RN Staffing Solutions","4.9","47","Temp agency","1672 Victory Blvd, Staten Island, NY 10314, United States","https://rnstaffingsolutions.com/","+1 718-720-7242","https://www.google.com/maps/place/RN+Staffing+Solutions/data=!4m7!3m6!1s0x89c24e8123a04bdf:0x647442f3bc28496!8m2!3d40.613121!4d-74.119323!16s%2Fg%2F1vn9p_ch!19sChIJ30ugI4FOwokRloTCOy9ERwY?authuser=0&hl=en&rclk=1"
"New Solutions Staffing","5.0","70","Temp agency","1733 Sheepshead Bay Rd #39, Brooklyn, NY 11235, United States","http://www.newsolutionsstaffing.com/","+1 718-975-2860","https://www.google.com/maps/place/New+Solutions+Staffing/data=!4m7!3m6!1s0x89c2447b0468543d:0x64f2322f58c7a566!8m2!3d40.585242!4d-73.950907!16s%2Fg%2F11bv_dnmsj!19sChIJPVRoBHtEwokRZqXHWC8y8mQ?authuser=0&hl=en&rclk=1"
"Empressive Staffing Agency","4.5","26","Employment agency","9609 Springfield Blvd suite 205, Queens, NY 11429, United States","http://www.empressivestaffing.com/","+1 718-413-2025","https://www.google.com/maps/place/Empressive+Staffing+Agency/data=!4m7!3m6!1s0x89c2632bbd50afef:0x69df9eab4b0a2fa3!8m2!3d40.7183021!4d-73.7350152!16s%2Fg%2F11q8w93mpy!19sChIJ769QvStjwokRoy8KS6ue32k?authuser=0&hl=en&rclk=1"
"All Aces Promotional Staffing, Inc.","4.7","14","Event management company","46-28 Vernon Blvd Suite 306, Queens, NY 11101, United States","https://www.acespromo.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing","+1 646-829-1602","https://www.google.com/maps/place/All+Aces+Promotional+Staffing,+Inc./data=!4m7!3m6!1s0x89c259bcc50743c1:0x701d1c5ce2a9bd30!8m2!3d40.7461232!4d-73.9531976!16s%2Fg%2F11c4bd35l2!19sChIJwUMHxbxZwokRML2p4lwcHXA?authuser=0&hl=en&rclk=1"
"","","","","1111 Marcus Ave, North New Hyde Park, NY 11042, United States","https://www.flexstaff.org/about-us/","+1 516-224-2800","https://www.google.com/maps/place/FlexStaff/data=!4m7!3m6!1s0x89c2882b34040949:0x6ded7f73d709385b!8m2!3d40.7575186!4d-73.7003652!16s%2Fg%2F11q2y_r0zv!19sChIJSQkENCuIwokRWzgJ13N_7W0?authuser=0&hl=en&rclk=1"
"Custom Staffing","4.4","93","Employment agency","228 E 45th St, New York, NY 10017, United States","","+1 212-818-0300","https://www.google.com/maps/place/Custom+Staffing/data=!4m7!3m6!1s0x89c25902c96097eb:0x9384efd8dbb668a7!8m2!3d40.751962!4d-73.971676!16s%2Fg%2F1tdxrcmy!19sChIJ65dgyQJZwokRp2i229jvhJM?authuser=0&hl=en&rclk=1"
"Tempwork Staffing Solution, Inc.","4.3","174","Temp agency","4012 83rd St 3rd floor, Elmhurst, NY 11373, United States","http://twork247.com/","+1 718-734-0505","https://www.google.com/maps/place/Tempwork+Staffing+Solution,+Inc./data=!4m7!3m6!1s0x89c25faeccb04d03:0x7b13961d06aabef1!8m2!3d40.747296!4d-73.8831639!16s%2Fg%2F11b8_mvk0g!19sChIJA02wzK5fwokR8b6qBh2WE3s?authuser=0&hl=en&rclk=1"
"Specialty Professional Services, Corp | NYC Nurse Staffing","4.8","23","Nursing agency","17-20 Whitestone Expy #303, Queens, NY 11357, United States","http://www.thespecialty.com/","+1 718-428-3600","https://www.google.com/maps/place/Specialty+Professional+Services,+Corp+%7C+NYC+Nurse+Staffing/data=!4m7!3m6!1s0x89c28abb72faa8c5:0x4a45ea3841275262!8m2!3d40.7839149!4d-73.8254045!16s%2Fg%2F1260qj25w!19sChIJxaj6cruKwokRYlInQTjqRUo?authuser=0&hl=en&rclk=1"
"Direct Hire Employment Agency","4.1","24","Employment agency","69-11D Roosevelt Ave, Queens, NY 11377, United States","https://www.directhireagency.com/","+1 347-688-4808","https://www.google.com/maps/place/Direct+Hire+Employment+Agency/data=!4m7!3m6!1s0x89c25f1fdf6d0d59:0x75fdb6cbdb515b1d!8m2!3d40.7466438!4d-73.8955698!16s%2Fg%2F11c6_vvxcv!19sChIJWQ1t3x9fwokRHVtR28u2_XU?authuser=0&hl=en&rclk=1"
